"country","party_id","party","cmp_id","electionyear","vote","year_first","year_last"
"IT",845,"M5S",32956,2013,25.6,2014,2014
"IT",846,"SC",32460,2013,8.3,2014,2014
"IT",847,"VdA",32906,2013,0,2014,2014
"NL",1001,"CDA",22521,2002,27.9,1999,2014
"NL",1002,"PvdA",22320,1998,29,1999,2014
"NL",1003,"VVD",22420,2012,26.6,1999,2014
"NL",1004,"D66",22330,1998,9,1999,2014
"NL",1005,"GL",22110,1998,7.3,1999,2014
"NL",1006,"SGP",22952,2012,2.1,1999,2014
"NL",1007,"GPV",,1998,1.2,1999,1999
"NL",1008,"RPF",,1998,2,1999,1999
"NL",1014,"SP",22220,2006,16.6,1999,2014
"NL",1015,"LPF",22720,2002,17,2002,2002
"NL",1016,"CU",22526,2006,4,2002,2014
"NL",1017,"PVV",22722,2010,15.5,2006,2014
"NL",1018,"PvdD",22951,2012,1.9,2010,2014
"NL",1020,"50PLUS",22953,2012,1.9,2014,2014
"UK",1101,"CONS",51620,2010,36.1,1999,2014
"UK",1102,"LAB",51320,1997,43.2,1999,2014
"UK",1104,"LibDem",51421,2010,23,1999,2014
"UK",1105,"SNP",51902,1997,2,1999,2014
"UK",1106,"PLAID",51901,2001,0.7,1999,2014
"UK",1107,"GREEN",,2005,1,1999,2014
"UK",1108,"UKIP",51951,2010,3.1,1999,2014
"UK",1109,"BNP",,2010,1.9,2010,2010
"POR",1201,"CDU",35229,1999,9,1999,2014
"POR",1202,"PP",35520,2011,12.2,1999,2014
"POR",1205,"PS",35311,2005,45,1999,2014
"POR",1206,"PSD",35313,2011,40.3,1999,2014
"POR",1208,"BE",35211,2009,9.8,1999,2014
"POR",1209,"MPT",,2011,0.4,2014,2014
"AUS",1301,"SPO",42320,2002,36.5,1999,2014
"AUS",1302,"OVP",42520,2002,42.3,1999,2014
"AUS",1303,"FPO",42420,1999,26.9,1999,2014
"AUS",1304,"GRUNE",42110,2013,12.4,1999,2014
"AUS",1306,"NEOS",42421,2013,5,1999,2014
"AUS",1307,"BZO",42710,2008,10.7,2006,2014
"AUS",1308,"MARTIN",,2006,2.8,2006,2010
"AUS",1310,"TeamStronach",,2013,5.7,2014,2014
"FIN",1401,"SDP",14320,2003,24.5,1999,2014
"FIN",1402,"KOK",14620,2007,22.3,1999,2014
"FIN",1403,"KESK",14810,2003,24.7,1999,2014
"FIN",1404,"VAS",14223,1999,10.9,1999,2014
"FIN",1405,"PS",14820,2011,19.1,1999,2014
"FIN",1406,"SFP",14901,1999,5.1,1999,2014
"FIN",1408,"VIHR",14110,2007,8.5,1999,2014
"FIN",1409,"KD",14520,2003,5.3,1999,2014
"FIN",1412,"REM",,1999,1.1,1999,1999
"FIN",1413,"KIPU",,1999,0.4,1999,1999
"SV",1601,"V",11220,1998,12,1999,2014
"SV",1602,"SAP",11320,2002,39.9,1999,2014
"SV",1603,"C",11810,2006,7.9,1999,2014
"SV",1604,"FP",11420,2002,13.4,1999,2014
"SV",1605,"M",11620,2010,30.1,1999,2014
"SV",1606,"KD",11520,1998,11.8,1999,2014
"SV",1607,"MP",11110,2010,7.3,1999,2014
"SV",1610,"SD",11710,2014,12.9,2010,2014
"SV",1611,"PIRAT",,2010,0.7,2010,2014
"SV",1612,"FI",,2014,3.1,2014,2014
"BUL",2001,"NDSV",80902,2001,42.7,2002,2010
"BUL",2002,"ODS",80411,2001,18.2,2002,2014
"BUL",2003,"KzB",80221,2005,31,2002,2014
"BUL",2004,"DPS",80951,2014,14.8,2002,2014
"BUL",2005,"G-VMRO",,2001,3.6,2002,2014
"BUL",2006,"KSII",,2001,3.4,2002,2002
"BUL",2007,"NOA",80710,2009,9.4,2006,2014
"BUL",2008,"DSB",80610,2005,6.4,2006,2014
"BUL",2009,"BNS",,2005,5.2,2006,2010
"BUL",2010,"GERB",80510,2009,39.7,2010,2014
"BUL",2011,"L",,2009,3.3,2010,2010
"BUL",2012,"RZS",,2009,4.1,2010,2010
"BUL",2013,"DBG",,2014,2.7,2014,2014
"BUL",2014,"NFSB",,2014,4.2,2014,2014
"BUL",2015,"BBT",,2014,5.7,2014,2014
"BUL",2016,"ABV",,2014,4.2,2014,2014
"CZ",2101,"CSSD",82320,2006,32.3,2002,2014
"CZ",2102,"ODS",82413,2006,35.4,2002,2014
"CZ",2103,"KSCM",82220,2002,18.5,2002,2014
"CZ",2104,"KDU-CSL",82523,2002,10.3,2002,2014
"CZ",2105,"US-DEU",,2002,4.2,2002,2002
"CZ",2106,"SNK-ED",,2006,2.1,2006,2006
"CZ",2107,"SZ",82110,2006,6.3,2006,2014
"CZ",2109,"TOP09",82530,2010,16.7,2010,2014
"CZ",2110,"VV",82952,2010,10.9,2010,2010
"CZ",2111,"ANO2011",82430,2013,18.7,2014,2014
"CZ",2112,"USVIT",82720,2013,6.9,2014,2014
"CZ",2113,"SVOBODNI",,2013,2.5,2014,2014
"EST",2201,"IRL",83611,2011,20.5,2006,2014
"EST",2202,"EK",83411,2007,26.1,2006,2014
"EST",2203,"ER",83430,2011,28.6,2006,2014
"EST",2204,"SDE",83410,2011,17.1,2006,2014
"EST",2205,"KP",,2003,2.2,2006,2006
"EST",2206,"ERL",83612,2003,13,2006,2010
"EST",2207,"EER",83110,2007,7.1,2010,2014
"HUN",2301,"MSzP",86220,2006,43.2,2002,2014
"HUN",2302,"Fidesz-M",86421,2010,45.4,2002,2014
"HUN",2303,"MDF",86521,2002,5.1,2002,2010
"HUN",2304,"SzDSz",86422,2006,6.5,2002,2010
"HUN",2305,"MIEP",86620,2002,4.4,2002,2002
"HUN",2306,"CP",,2002,3.9,2002,2002
"HUN",2307,"KDNP",86522,2010,7.3,2006,2010
"HUN",2308,"JOBBIK",86710,2014,20.2,2010,2014
"HUN",2309,"LMP",86110,2010,7.5,2010,2014
"HUN",2310,"E14",86340,2014,2.1,2014,2014
"HUN",2311,"DK",86221,2014,2.8,2014,2014
"LAT",2401,"JL",87423,2002,23.9,2002,2006
"LAT",2402,"PCTVL",87422,2002,19,2002,2014
"LAT",2403,"TP",87610,2006,19.6,2002,2006
"LAT",2404,"LPP",87521,2002,9.5,2002,2006
"LAT",2405,"ZZS",87110,2014,19.5,2002,2014
"LAT",2406,,87723,2014,16.6,2002,2014
"LAT",2407,"LC",87410,2002,4.9,2002,2006
"LAT",2408,"LSDSP",,2002,4,2002,2006
"LAT",2410,"SC",,2011,28.4,2006,2014
"LAT",2411,"ZRP",,2011,20.8,2010,2010
"LAT",2412,"V",,2014,21.9,2010,2014
"LAT",2413,"NSL",,2014,6.9,2014,2014
"LAT",2414,"LRA",,2014,6.7,2014,2014
"LITH",2501,"LSDP",88320,2000,27.4,2002,2014
"LITH",2502,"NDP",,2000,2.1,2002,2002
"LITH",2503,"LRS",,2000,2.1,2002,2002
