countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
4,GRC,Greece,408,POLA,Politiki Anixi,Political Spring,1999-2019_CHES_codebook
4,GRC,Greece,409,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement,1999-2019_CHES_codebook
4,GRC,Greece,410,LAOS,Laikos Orthodoxos Synagermos,Popular Orthodox Rally,1999-2019_CHES_codebook
4,GRC,Greece,411,OP,Oikologoi Prasinoi,Ecologist Greens,1999-2019_CHES_codebook
4,GRC,Greece,412,ANEL,Anexartitoi Ellines,Independent  Greeks,1999-2019_CHES_codebook
4,GRC,Greece,413,Potami,To Potami,The River,1999-2019_CHES_codebook
4,GRC,Greece,414,DIIVIAR,Dimokratiki Aristera,Democratic Left,1999-2019_CHES_codebook
4,GRC,Greece,415,XA,Laikos Syndesmos Chrysi Av,Popular Association-Golden Dawn,1999-2019_CHES_codebook
4,GRC,Greece,416,EL,Elliniki Lisi,Greek Solution,1999-2019_CHES_codebook
4,GRC,Greece,417,MR25,Metopo Evropaikis Realistikis Anypakois,European Realistic Disobedience Front  [MeRa25],1999-2019_CHES_codebook
4,GRC,Greece,418,KIDISO,Kinima Dimokraton Sosialiston,Movement of Democratic Socialists,1999-2019_CHES_codebook
5,ESP,Spain,501,PSOE,Partido Socialista Obrero Espanol,Spanish Socialist Workers Party,1999-2019_CHES_codebook
5,ESP,Spain,502,PP,Partido Popular,Peoples Party,1999-2019_CHES_codebook
5,ESP,Spain,504,IU,Izquierda Unida,United Left,1999-2019_CHES_codebook
5,ESP,Spain,505,CiU,Convergencia i Unio,Convergence and Unity,1999-2019_CHES_codebook
5,ESP,Spain,506,PNV,Euzko Alderdi  jeltzalea/Partido Nacionalista Vasco,Basque Nationalist Party,1999-2019_CHES_codebook
5,ESP,Spain,507,EA,Eusko Alkartasuna,Basque Solidarity,1999-2019_CHES_codebook
5,ESP,Spain,508,EH,Euskal Herritarrok,We Basque Citizens,1999-2019_CHES_codebook
5,ESP,Spain,510,PAR,Partido Aragones,Aragonese Party,1999-2019_CHES_codebook
5,ESP,Spain,511,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia,1999-2019_CHES_codebook
5,ESP,Spain,512,UV,Union Valenciana,Valencian Union,1999-2019_CHES_codebook
5,ESP,Spain,513,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc,1999-2019_CHES_codebook
5,ESP,Spain,514,VERDE,Los Verdes,The Greens,1999-2019_CHES_codebook
