countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
21,CZE,Czech Republic,2105,US-DEU,Unie Svobody-Demokraticka unie,Freedom Union-Democratic Union,1999-2019_CHES_codebook
21,CZE,Czech Republic,2106,SNK-ED,Sdrufoni nezavislych kandidatu-,Union of Independents-European Democrats,1999-2019_CHES_codebook
21,CZE,Czech Republic,2107,SZ,Evropsti demokrate Strana zelenych,Green Party,1999-2019_CHES_codebook
21,CZE,Czech Republic,2108,Nezavisli,Nezavisli,Independents,1999-2019_CHES_codebook
21,CZE,Czech Republic,2109,TOP09,Top09 ; Tradice Odpovednost Prosperita 09,Top09; Tradition Responsibility Prosperity 09,1999-2019_CHES_codebook
21,CZE,Czech Republic,2110,VV,Veci Velejne,Public Affairs,1999-2019_CHES_codebook
21,CZE,Czech Republic,2111,AN02011,"ANO 2011, Akce nespokojenych obeanil","ANO 2011, Action of Dissatisfied Citizens",1999-2019_CHES_codebook
21,CZE,Czech Republic,2112,USVIT,Usvit piime demokracie,Dawn of Direct Democracy,1999-2019_CHES_codebook
21,CZE,Czech Republic,2113,SVOBODNI,Strana svobodnych obcanil,Party of Free Citizens,1999-2019_CHES_codebook
21,CZE,Czech Republic,2114,Pirates,Ceska piratska strana,Czech Pirate Party,1999-2019_CHES_codebook
21,CZE,Czech Republic,2115,SPD,Svoboda a plima demokracie Tomio Okamura,Freedom and Direct Democracy Tomio Okamura,1999-2019_CHES_codebook
21,CZE,Czech Republic,2116,STAN,Starostove a nezavisli,Mayors and Independents,1999-2019_CHES_codebook
22,EST,Estonia,2201,IRL,Erakond lsamaa ja Res Publica Liit,Pro Patria and Res Publica Union,1999-2019_CHES_codebook
22,EST,Estonia,2202,EK,Eesti Keskerakond,Estonian Center Party,1999-2019_CHES_codebook
22,EST,Estonia,2203,ER,Eesti Reformierakond,Estonian Reform Party,1999-2019_CHES_codebook
22,EST,Estonia,2204,SDE,Sotsiaaldemokraatlik  Erakond,Social Democratic Party,1999-2019_CHES_codebook
22,EST,Estonia,2205,KP,Eestimaa iihendatud Rahvapartei,Constitution Party,1999-2019_CHES_codebook
22,EST,Estonia,2206,ERL,Eestimaa Rahvaliit,Estonian Peoples Union,1999-2019_CHES_codebook
22,EST,Estonia,2207,EER,Erakond  Eestimaa Rohelised,Estonian Greens,1999-2019_CHES_codebook
22,EST,Estonia,2208,EVE,Eesti  Vabaerakond,Estonian Free Party,1999-2019_CHES_codebook
22,EST,Estonia,2209,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative Peoples Party,1999-2019_CHES_codebook
22,EST,Estonia,2210,E200,Erakond Eesti 200,Estonia 200,1999-2019_CHES_codebook
23,HUN,Hungary,2301,MSzP,Magyar Szocialista Partja,Hungarian Socialist Party,1999-2019_CHES_codebook
23,HUN,Hungary,2302,Fidesz-M; Fidesz-KDNP ,Fidesz-Magyar Polgari Szovetseg; Fidesz-Keresztenydemokrata Neppart ,Fidesz-Hungarian Civic Union; Fidesz-Christian Democratic Peoples Party ,1999-2019_CHES_codebook
23,HUN,Hungary,2303,MDF,Magyar Demokrata Forum,Hungarian Democratic Forum,1999-2019_CHES_codebook
23,HUN,Hungary,2304,SzDSz,Szabad Demokratak  Szovetsege,Alliance of Free Democrats,1999-2019_CHES_codebook
23,HUN,Hungary,2305,MIEP,Magyar lgazsag es elet Partja,Hungarian justice and Life Party,1999-2019_CHES_codebook
23,HUN,Hungary,2306,CP,Centrumpartji,Centre Party,1999-2019_CHES_codebook
23,HUN,Hungary,2307,KDNP,Keresztenydemokrata  Neppart,Christian Democratic Peoples Party,1999-2019_CHES_codebook
23,HUN,Hungary,2308,jOBBIK,jobbik Magyarorszagert Mozgalom,jobbik-Movement for a Better Hungary,1999-2019_CHES_codebook
23,HUN,Hungary,2309,LMP,Lehet Mas a Politika,Politics Can Be Different,1999-2019_CHES_codebook
23,HUN,Hungary,2310,E14,Egyutt 2014; Egyutt 2019,Together 2014; Together 2019,1999-2019_CHES_codebook
23,HUN,Hungary,2311,DK,Demokratikus Koalicio,Democratic Coalition,1999-2019_CHES_codebook
23,HUN,Hungary,2314,MM,Momentum Mozgalom,Momentum  Movement,1999-2019_CHES_codebook
24,LVA,Latvia,2401,jL,jaunais Laikas,New Era Party,1999-2019_CHES_codebook
24,LVA,Latvia,2402,PCTVL; LKS,Par Cilveka Tiesibam Vienota Latvija; Latvijas Krievu savienlba,For Human Rights in United Latvia; Latvian Russian Union,1999-2019_CHES_codebook
24,LVA,Latvia,2403,TP,Tautas Partija,Peoples Party,1999-2019_CHES_codebook
24,LVA,Latvia,2404,LPP,Latvijas Pirma Partija,Lativas First Party,1999-2019_CHES_codebook
24,LVA,Latvia,2405,zzs,Zalo un Zemnieku Savieniba ,Union of Greens and Farmers,1999-2019_CHES_codebook
24,LVA,Latvia,2406,TB-LNNK; NA,Nacionala apvieniba Visu Latvijai! Tevzemei un Brivibai/LN,National Alliance All For Latvia! For Fatherland and Freedom/LNN,1999-2019_CHES_codebook
24,LVA,Latvia,2407,LC ,Latvijas Cels,Latvias Way,1999-2019_CHES_codebook
24,LVA,Latvia,2408,LSDSP,Latvijas Socialdemokratiska Stradnieku Partija,Latvian Social Democratic Labour Party,1999-2019_CHES_codebook
24,LVA,Latvia,2410,SC; SDPS,Saskanas Centrs; Socialdemokratiska Partija Saskana,Harmony Centre; Social Democratic Party Harmony,1999-2019_CHES_codebook
24,LVA,Latvia,2411,ZRP,Zatlera Reform Partija, Zatlers Reform Party,1999-2019_CHES_codebook
24,LVA,Latvia,2412,V,Vienotiba,Unity,1999-2019_CHES_codebook
24,LVA,Latvia,2413,NSL,No sirds Latvijai,For Latvia from the Heart,1999-2019_CHES_codebook
24,LVA,Latvia,2414,LRA ,Latvijas Regionu apvieniba,Latvian Association of Regions,1999-2019_CHES_codebook
24,LVA,Latvia,2415,KPV LV,Kam pieder valsts?,Who owns the state? ,1999-2019_CHES_codebook
24,LVA,Latvia,2416,jKP,jauna konservativa partija,New Conservative Party,1999-2019_CHES_codebook
24,LVA,Latvia,2417,AP!,Attistibai/Par!,Development/For!,1999-2019_CHES_codebook
25,LTU,Lithuania,2501,LSDP,Lietuvos socialdemokratq paitija,Social Democratic Party of Lithuania,1999-2019_CHES_codebook
25,LTU,Lithuania,2502,NDP,Naujosios demokratijos partija,New Democratic Party,1999-2019_CHES_codebook
25,LTU,Lithuania,2503,LRS,Lietuvos rusq sajunga,Lithuanian Russian Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2504,NS,Naujoji sajunga (socialliberalai),New Union (Social LiberaIs),1999-2019_CHES_codebook
25,LTU,Lithuania,2505,LLS; LiCS,Lietuvos liberalq sajunga; Liberalu ir centro sajunga,Liberal Union of Lithuanian; Liberal and Centre Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2506,TS-LKD; TS-LKD,Tevynes sajunga-Lietuvos krikScionys demokratai; Tevynes sajunga,Homeland Union-Lithuanian Christian Democrats; Homeland  Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2507,LVP; LVLS; LVZS,Lietuvos valstieciq partija; Valstieciu ir Naujosios demokratijos partiju sajungos; Lietuvos valstieciu ir zaliuju sajunga; Lietuvos valstieciu saj,Lithuanian Peasant Party; Lithuanian Peasant Popular Union; Lithuanian Peasant and Greens Union; Lithuanian Peasant Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2508,LKDP,Lietuvos krikscionys demokrataj,Lithuanian Christian Democrats,1999-2019_CHES_codebook
25,LTU,Lithuania,2509,LCS,Lietuvos centro sajunga,Center Union of Lithuania,1999-2019_CHES_codebook
25,LTU,Lithuania,2510,NKS,Nuosaikiuju konservatoriu  sajunga,Moderate Conservative Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2511,LLRA,Lietuvos lenkq rinkimq akcija,Electoral Action of Lithuanias Poles,1999-2019_CHES_codebook
25,LTU,Lithuania,2512,LLS,Lietuvos laisves sajunga,Lithuanian Liberty Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2513,jL-PKS,Lietuviu Nacionaline Partija   jaunoji Lietuva,Young Lithuania-New  Nationalists and Political Prisoners Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2514,MKDS,Moderniujui krikscioniu demokratu sajunga,Modern Christian-Democratic  Union,1999-2019_CHES_codebook
25,LTU,Lithuania,2515,TT,Tvarka ir teisingumas,Order and justice,1999-2019_CHES_codebook
25,LTU,Lithuania,2516,DP,Darbo partija,Labour Party,1999-2019_CHES_codebook
25,LTU,Lithuania,2517,TPP,Tautos prisikelimo partija,National Resurrection Party,1999-2019_CHES_codebook
25,LTU,Lithuania,2518,LRLS,Lietuvos Respublikos Liberalu Sajiidis; Liberalu Sajudis; Lietuvos Respublikos Liberalu Sajudis,Liberals Movement of the Republic of Lithuania; Liberal Movement,1999-2019_CHES_codebook
25,LTU,Lithuania,2519,FRONT,Fronto Partija,Liberal Movement of the Republic of Lithuania Front  Party,1999-2019_CHES_codebook
25,LTU,Lithuania,2520,DK,Drasos Kelias,The Way of Courage,1999-2019_CHES_codebook
25,LTU,Lithuania,2521,LCP,Lietuvos Centro Partija ,Lithuanian Centre Party,1999-2019_CHES_codebook
25,LTU,Lithuania,2522,LZP,Lietuvos falioji partija,Lithuanian Green Party ,1999-2019_CHES_codebook
25,LTU,Lithuania,2523,VKM-AMT,Visuomeninis rinkimu komitetas Ausros Maldeikienes traukinys,Public election committee Ausra Maldeikienes Train,1999-2019_CHES_codebook
26,POL,Poland,2601,SLD,Sojusz Lewicy Demokratycznej,Alliance of Democratic Left; Democratic Left Alliance,1999-2019_CHES_codebook
26,POL,Poland,2602,UP,Unia Pracy,Union of Labour,1999-2019_CHES_codebook
26,POL,Poland,2603,PO,Platforma Obywatelska,Civic Platform,1999-2019_CHES_codebook
26,POL,Poland,2604,S,Samoobrona RP,Self Defense of the Polish Republic,1999-2019_CHES_codebook
26,POL,Poland,2605,PiS,Prawo i Sprawiedliwosc,Law and justice Party,1999-2019_CHES_codebook
26,POL,Poland,2606,PSL,Polskie Stronnictwo Ludowe,Polish Peoples Party,1999-2019_CHES_codebook
26,POL,Poland,2607,LPR,Liga Polskich Rodzin,League of Polish Families,1999-2019_CHES_codebook
26,POL,Poland,2608,AWSP,Koalicja Akcja Wyborcza Solidarnosc Prawicy,Coalition Electoral Action Solidarity of the Right,1999-2019_CHES_codebook
26,POL,Poland,2609,UW; PD,Unia Wolnosci; Partia Demokratyczna,Freedom Union; Democratic Party,1999-2019_CHES_codebook
26,POL,Poland,2611,SDPL,Socjaldemokracja Polska,Social Democracy of Poland,1999-2019_CHES_codebook
26,POL,Poland,2612,SD,Stronnictwo Demokratyczne,Democratic Party,1999-2019_CHES_codebook
26,POL,Poland,2613,RP,Twoj Ruch (Ruch Palikota) ,Your Movement (Palikots Movement),1999-2019_CHES_codebook
26,POL,Poland,2614,KNP,Kongres Nowej Prawicy,Congress of the New Right,1999-2019_CHES_codebook
26,POL,Poland,2615,PR,Polska Razem,Poland Together,1999-2019_CHES_codebook
26,POL,Poland,2616,SP,Solidarna Polska,United Poland,1999-2019_CHES_codebook
26,POL,Poland,2617,Kukiz,Kukiz 15,Kukiz 15,1999-2019_CHES_codebook
26,POL,Poland,2618,Nowo,Nowoczesna,Modern,1999-2019_CHES_codebook
26,POL,Poland,2619,Konfederacia,Konfederacja Wolnosc i Niepodleglo8c,Confederation Liberty and Independence,1999-2019_CHES_codebook
26,POL,Poland,2620,Lewica Razem,Lewica Razem,Left Together,1999-2019_CHES_codebook
26,POL,Poland,2621,Wiosna,Wiosna,Spring,1999-2019_CHES_codebook
27,ROU,Romania,2701,PSD,Partidul SociaI Democrat,Social Democratic Party,1999-2019_CHES_codebook
27,ROU,Romania,2702,PUR; PC,Partidul Umanist  din Romania; Partidul Conservator,Romanian Humanist Party; Conservative Party,1999-2019_CHES_codebook
27,ROU,Romania,2703,PRM,Partidul Romania Mare,Party of Great Romania,1999-2019_CHES_codebook
27,ROU,Romania,2704,PDL,Partidul Democrat,Democratic Party,1999-2019_CHES_codebook
27,ROU,Romania,2705,PNL,Partidul National Liberal,National Liberal Party,1999-2019_CHES_codebook
27,ROU,Romania,2706,UDMR,Uniunea Democrata  Maghiara din Romania,Hungarian Democratic Union of Romania,1999-2019_CHES_codebook
27,ROU,Romania,2707,CDR 2000,Conventia Democrata Romana,Romanian Democratic Convention 2000,1999-2019_CHES_codebook
27,ROU,Romania,2708,FDGR,Forumul Democrat  al Germanilor din Romania,Democratic Forum of Germans of Romania,1999-2019_CHES_codebook
27,ROU,Romania,2709,UNPR,Uniunea Nationala pentru Progresul Romaniei,National  Union for the Progress of Romania,1999-2019_CHES_codebook
27,ROU,Romania,2710,PP-DD,Partidul Poporului    Dan Diaconescu,Peoples Party-Dan Diaconescu,1999-2019_CHES_codebook
27,ROU,Romania,2711,PMP,Partidul Micarea Populara,Peoples Movement Party,1999-2019_CHES_codebook
27,ROU,Romania,2712,PLR; ALOE ,Partidul  Liberal  Reformator; Alianta Liberalilor i Democratilo,LiberaI Reformist Party; Alliance of Liberals and Democrats ,1999-2019_CHES_codebook
27,ROU,Romania,2713,USR,Uniunea  Salvati  Romania,Save Romania Union,1999-2019_CHES_codebook
27,ROU,Romania,2714,PRO,PRO Romania,PRO Romania,1999-2019_CHES_codebook
28,SVK,Slovakia,2801,LS-HZDS,Ludova strana-Hnutie za demokraticke Slovensko,Peoples Party-Movement for a Democratic Slovakia,1999-2019_CHES_codebook
28,SVK,Slovakia,2802,SDKU; SDKU-DS,Slovenska demokraticka a krestanska unia; Slovenska demokraticka a krestanska unia Demokraticka stra,Slovak Democratic and Christian Union; Slovak Democratic and Christian  Union-Democratic  Party,1999-2019_CHES_codebook
28,SVK,Slovakia,2803,Smer; Smer-SD,Strana Smer-Tretia Cesta; Smer-socialna demokracia, Direction-Third Way; Direction-Social Democracy,1999-2019_CHES_codebook
28,SVK,Slovakia,2804,SMK; SMK-MKP,Strana madarskej koalicie-Magyar; Koalicio Partja,Party of the Hungarian Coalition; Hungarian Coalition,1999-2019_CHES_codebook
28,SVK,Slovakia,2805,KDH,Krestanskodemokraticke hnutie,Christian Democratic Movement,1999-2019_CHES_codebook
28,SVK,Slovakia,2806,ANO,Aliancia Noveho Obcana,Alliance for a New Citizen,1999-2019_CHES_codebook
28,SVK,Slovakia,2807,KSS,Komunisticka strana Slovenska,Communist Party of Slovakia,1999-2019_CHES_codebook
28,SVK,Slovakia,2808,PSNS,Prava Slovenska narodna strana,Right Slovak National Party,1999-2019_CHES_codebook
28,SVK,Slovakia,2809,SNS,Slovenska narodna strana,Slovak National Party,1999-2019_CHES_codebook
28,SVK,Slovakia,2810,HZD,Hnutie za demokraciu,Movement for Democracy,1999-2019_CHES_codebook
28,SVK,Slovakia,2811,SF,Slobodne forum,Free Forum,1999-2019_CHES_codebook
28,SVK,Slovakia,2812,SaS,Sloboda a Solidarita,Freedom and Solidarity,1999-2019_CHES_codebook
28,SVK,Slovakia,2813,Most,Most-Hid,Bridge,1999-2019_CHES_codebook
28,SVK,Slovakia,2814,OLaNO,Obyeajnf Ludia a nezavisle osobnosti,Ordinary People and Independent Personalities,1999-2019_CHES_codebook
28,SVK,Slovakia,2815,NOVA,Nova Vacsina,New Majority,1999-2019_CHES_codebook
28,SVK,Slovakia,2816,Siet,Siee,Net / Network,1999-2019_CHES_codebook
28,SVK,Slovakia,2817,LSNS,Ludova strana Nase Slovensko (Marian Kotleba),Peoples Party-Our Slovakia,1999-2019_CHES_codebook
28,SVK,Slovakia,2818,Sme Rodina,Sme Rodina-Boris Kollar,We are family-Boris Kollar,1999-2019_CHES_codebook
28,SVK,Slovakia,2819,PS,Progresf vne Slovensko,Progressive Slovakia,1999-2019_CHES_codebook
28,SVK,Slovakia,2820,SPOLU,SPOLU-obcianska  demokracia,TOGETHER-Civic Democracy,1999-2019_CHES_codebook
28,SVK,Slovakia,2821,Za Ludi,Za Ludi (Andrej Kiska),For the People,1999-2019_CHES_codebook
29,SVN,Slovenia,2901,LDS,Liberalna demoracija Slovenije,Liberal Democracy of Slovenia,1999-2019_CHES_codebook
29,SVN,Slovenia,2902,SDS,Socoaldemokratska stranka Slovenije; Slovenska demokratska stranka,Social Democratic Party of Slovenia; Slovenian Democratic Party,1999-2019_CHES_codebook
29,SVN,Slovenia,2903, ZLSD; SD, Zdruzena lista socialnih  demokratov; Socialni Demokrati,United List of Social Democrats; Social Democrats,1999-2019_CHES_codebook
29,SVN,Slovenia,2904,SLS-SKD; SLS ,Slovenska ljudska stranka,Slovenian Peoples Party-Slovenian Christian Democrats; Slovenian Peoples Party ,1999-2019_CHES_codebook
29,SVN,Slovenia,2905,NSI,Nova Slovenija Krscanska ljudska stra,New Slovenia-Christian Peoples Party,1999-2019_CHES_codebook
29,SVN,Slovenia,2906,DeSUS,Demokraticna stranka upokojencev Slovenije,Democratic Party of Pensioners of Slovenia,1999-2019_CHES_codebook
29,SVN,Slovenia,2907,SNS,Slovenska nacionalna stranka,Slovenian National Party,1999-2019_CHES_codebook
29,SVN,Slovenia,2908,SMS,Stranka Mladih Slovenije,Party of the Slovenia Youth,1999-2019_CHES_codebook
29,SVN,Slovenia,2909,AS,Aktivna  Slovenija,Active Slovenia,1999-2019_CHES_codebook
29,SVN,Slovenia,2910,Zares,Zares,Zares-For Real,1999-2019_CHES_codebook
29,SVN,Slovenia,2911,SMC,Stranka Mira Cerarja,Party of Miro Cerar,1999-2019_CHES_codebook
29,SVN,Slovenia,2912,ZL;Levica,Zdrufona Levica; Levica,United Left; The Left,1999-2019_CHES_codebook
29,SVN,Slovenia,2913,ZaAB; AB,Zaveznistvo Alenke Bratusek; Stranka Alenke Bratusek,Alliance of Alenka Bratusek; Party of Alenka Bratusek,1999-2019_CHES_codebook
29,SVN,Slovenia,2914,PS,Pozitivna Slovenija,Positive Slovenia,1999-2019_CHES_codebook
29,SVN,Slovenia,2915,LMS,Lista  Vlaijana  Sarca,List of Marjan Saree,1999-2019_CHES_codebook
31,HRV,Croatia,3101,HDZ,Hrvatska Demokratska Zajednica,Croatian Democratic Union,1999-2019_CHES_codebook
31,HRV,Croatia,3102,SDP,Socialdemokratska Partija Hrvatske,Social Democratic Party of Croatia,1999-2019_CHES_codebook
31,HRV,Croatia,3103,HSS,Hrvatska Seljaeka Stranka,Croatian Peasant Party,1999-2019_CHES_codebook
31,HRV,Croatia,3104,HSLS,Hrvatska Socijalno Liberalna Stranka,Croatian Social Liberal Party,1999-2019_CHES_codebook
31,HRV,Croatia,3105,HNS,Hrvatska Narodna  Stranka-Liberalni Demokrati,Croatian Peoples Party-Liberal Democrats,1999-2019_CHES_codebook
31,HRV,Croatia,3106,IDS,Istarski Demokratski Sabor,Istrian Democratic Assembly,1999-2019_CHES_codebook
31,HRV,Croatia,3107,HDSSB,Hrvatski Demokrtski Sabor Slavonije i Baranje,Croatian Democratic Assembly of Slavonija and Baranja,1999-2019_CHES_codebook
31,HRV,Croatia,3108,HSU,Hrvatska stranka umirovljenika,Croatian Party of Pensioners,1999-2019_CHES_codebook
31,HRV,Croatia,3109,HSP,Hrvatska Stranka Prava,Croatian Party of Rights,1999-2019_CHES_codebook
31,HRV,Croatia,3110,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serb Party,1999-2019_CHES_codebook
31,HRV,Croatia,3112,HL-SR,Hrvatski Laburisti-Stranka Rada,Croatian Labourists-Labour Party,1999-2019_CHES_codebook
31,HRV,Croatia,3113,HSP-AS,Hrvatska stranka prava dr. Ante Starcevic,Croatian Party of Rights dr. Ante Strucevic,1999-2019_CHES_codebook
31,HRV,Croatia,3114,ORaH,Odrzivi Razvoj Hrvatske,Croatian  Sustainable  Development,1999-2019_CHES_codebook
31,HRV,Croatia,3115,Most,Most nezavisnih lista,Bridge of Independent  Lists,1999-2019_CHES_codebook
31,HRV,Croatia,3116,ZZ,Zivi zid,Human Shield,1999-2019_CHES_codebook
31,HRV,Croatia,3117,MB 365,Milan Bandic 365-Stranka rada i solidarnosti,Milan Bandic 365-The Party of Labour and Solidarity,1999-2019_CHES_codebook
31,HRV,Croatia,3118,NS-R,Narodna stranka-Reformisti,Peoples Party-Reformists,1999-2019_CHES_codebook
31,HRV,Croatia,3119,HKS,Hrvatska konzervativna stranka,Croatian Conservative Party,1999-2019_CHES_codebook
37,MLT,Malta,3701,PL,Partit Laburista,Labour Party,1999-2019_CHES_codebook
37,MLT,Malta,3702,PN,Partit Nazzjonalista,Nationalist Party,1999-2019_CHES_codebook
38,LUX,Luxembourg,3801,CSV,Chreschtlech Sozial Vollekspartei,Christian Social Peoples Party,1999-2019_CHES_codebook
38,LUX,Luxembourg,3802,Greng,Dei Greng,The Greens,1999-2019_CHES_codebook
38,LUX,Luxembourg,3803,DP,Demokratesch Partei,Democratic Party,1999-2019_CHES_codebook
38,LUX,Luxembourg,3804,LSAP,Letzebuerger Sozialistesch Aarbechterpartei,Luxembourg Socialist Workers Party,1999-2019_CHES_codebook
38,LUX,Luxembourg,3805,ADR,Alternativ Demokratesch Reformpartei,Alternative Democratic Reform Party,1999-2019_CHES_codebook
38,LUX,Luxembourg,3806,DL,Dei Lenk,The Left,1999-2019_CHES_codebook
38,LUX,Luxembourg,3807,PPLU,Piratepartei Letzebuerg,Pirate Party Luxembourg,1999-2019_CHES_codebook
40,CYP,Cyprus,4001,DISY,Dimokratikos Sinagermos,Democratic Rally,1999-2019_CHES_codebook
40,CYP,Cyprus,4002,Evroko,Evropaiko Komma,European Party,1999-2019_CHES_codebook
40,CYP,Cyprus,4003,AKEL,Anorthotiko Komma Ergazomenou Laou,Progressive Party of Working People,1999-2019_CHES_codebook
40,CYP,Cyprus,4004,DIKO,Dimokratiko Komma ,Democratic Party,1999-2019_CHES_codebook
40,CYP,Cyprus,4005,EDEK,Kinima Sosialdimokraton EDEK,Movement for Social Democracy EDEK,1999-2019_CHES_codebook
40,CYP,Cyprus,4006,KOP,Kinima Oikologon  Perivallontiston,Ecological and Environmental Movement,1999-2019_CHES_codebook
40,CYP,Cyprus,4007,SYM,Symmachia Politon,Citizens Alliance,1999-2019_CHES_codebook
40,CYP,Cyprus,4008,Kinhma,Kinima Allilengyu,Solidarity Movement,1999-2019_CHES_codebook
40,CYP,Cyprus,4009,ELAivl,Ethniko Laiko Metopo,National Popular Front,1999-2019_CHES_codebook
30,BIH,Bosnia & Herzegovina,3001,SDA,Stranka Demokratske Akcije,Party of Democratic Action,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3002,SBiH,Stranka za Bosnu i Hercegovinu,Party for Bosnia and Herzegovina,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3003,SDP,Socijaldemokratska Partija BiH,Social Democratic Party of BiH,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3004,HDZ BiH,Hrvatska demokratska zajednica Bosne i Hercegovine,Croatian Democratic Union of Bosnia and Herzegovina,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3005,HDZ 1990,Hrvatska demokratska zajednica 1990,Croatian Democratic Union 1990 (Croats Together alliance),2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3006,SNSD,Savez nezavisnih socijaldemokrata,Alliance of Independent Social Democrats,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3007,SDS,Srpska Demokratska Stranka,Serbian Democratic Party,2007_CHES-candidates_codebook
31,HRV,Croatia,3101,HZD,Hrvatska demokratska zajednica,Croatian Democratic Union,2007_CHES-candidates_codebook
31,HRV,Croatia,3102,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,2007_CHES-candidates_codebook
31,HRV,Croatia,3103,HSS,Hrvatska seljacka stranka,Croatian Peasant Party,2007_CHES-candidates_codebook
31,HRV,Croatia,3104,HSLS,Hrvatska socijalno liberalna stranka,Croatian Social Liberal Party,2007_CHES-candidates_codebook
31,HRV,Croatia,3105,HNS,Hrvatska narodna stranka,Croatian Peoples Party,2007_CHES-candidates_codebook
31,HRV,Croatia,3106,IDS,lstarski demokratski sabor,lstrian Democratic Assembly,2007_CHES-candidates_codebook
31,HRV,Croatia,3107,HDSSB,Hrvatski demokratski sabor Slavonije i Baranje,Croatian Democratic Assembly of Slavonia and Baranja,2007_CHES-candidates_codebook
31,HRV,Croatia,3108,HSU,Hrvatska stranka umirovljenika,Croatian Party of Pensioners,2007_CHES-candidates_codebook
31,HRV,Croatia,3109,HSP,Hrvatska stranka prava,Croatian Party of Rights,2007_CHES-candidates_codebook
31,HRV,Croatia,3110,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serbian Party,2007_CHES-candidates_codebook
31,HRV,Croatia,3111,SDAH,Stranka Demokratske Akcije Hrvatske,Party of Democratic Action of Croatia,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3201,VMRO-DPME,Vnatresna makedonska revolucionerna organizacija-Demokratska partija za makedonsko nacionalno edinstvo,Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3202,SDSM,Socijaldemokrat ski sojuz na Makedonija,Social Democratic Union of Macedonia,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3203,LOP,Liberalno-demokratska  partija,Liberal Democratic Party,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3204,DUI,Demokratska unija za integracija,Democratic Union for Integration,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3205,DPA,Partia Demokratike Shqiptare/Demokratska Partija na Albancite,Democratic Party of Albanians,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3206,VMRO-NP,Vnatresna Makedonska Revolucionerna  Organizacija-Narodna Partija,Interna l Macedonian Revolutionary Organization-Peoples  Party,2007_CHES-candidates_codebook
32,MKD,North Macedonia,3207,NSDP,Nova socijaldemokratska partija,New Social Democratic Party,2007_CHES-candidates_codebook
33,SRB,Serbia,3301,SRS,Srpska radikalna stranka,Serbian Radical Party,2007_CHES-candidates_codebook
33,SRB,Serbia,3302,DS,Demokratska stranka,Democratic Party,2007_CHES-candidates_codebook
33,SRB,Serbia,3303,DSS,Demokratska stranka Srbije,Democratic Party of Serbia,2007_CHES-candidates_codebook
33,SRB,Serbia,3304,NS,Nova Srbija,New Serbia,2007_CHES-candidates_codebook
33,SRB,Serbia,3305,jS,jedinstvena Srbija,United Serbia,2007_CHES-candidates_codebook
33,SRB,Serbia,3306,G17+,G17 Plus,G17 Plus,2007_CHES-candidates_codebook
33,SRB,Serbia,3307,SPS,Socijalisticka partija Srbije,Socialist Party of Serbia,2007_CHES-candidates_codebook
33,SRB,Serbia,3308,LOP,Liberalno-Demokratska Partija,Liberal Democratic Party,2007_CHES-candidates_codebook
33,SRB,Serbia,3309,SPO,Srpski pokret obnove,Serbian Renewal Movement,2007_CHES-candidates_codebook
34,TUR,Turkey,3401,AKP,Adalet ve Kalk?nma Partisi,justice and Development Party,2007_CHES-candidates_codebook
34,TUR,Turkey,3402,CHP,Cumhuriyet Halk Partisi,Republican Peoples Party,2007_CHES-candidates_codebook
34,TUR,Turkey,3403,MHP,MilliyetiHareket Partisi,Nationalist Movement Party,2007_CHES-candidates_codebook
34,TUR,Turkey,3404,DYP,Dogru Yol Partisi,True Path Party,2007_CHES-candidates_codebook
34,TUR,Turkey,3405,GP,Gen Parti,Young Party,2007_CHES-candidates_codebook
30,BIH,Bosnia & Herzegovina,3001,SDA,Stranka Demokratske Akcije,Party of Democratic Action,2014_CHES_Candidate_codebook
30,BIH,Bosnia & Herzegovina,3003,SDP,Socijaldemokratska Partija Bosne i Hercegovine,Social Democratic Party of Bosnia and Herzegovina,2014_CHES_Candidate_codebook
