countryshort,party_id,party,year_first,year_last,partyfacts_id
NLD,1020,50PLUS,2014,2023,714
NLD,1051,FvD,2017,2023,5855
NLD,1050,DENK,2017,2023,5856
GBR,1108,UKIP,1999,2020,601
GBR,1105,SNP,1999,2023,986
GBR,1104,LibDem,1999,2023,1388
GBR,1106,PLAID,1999,2023,1002
GBR,1101,CONS,1999,2023,1567
GBR,1107,GREEN,1999,2023,1794
GBR,1102,LAB,1999,2023,1516
GBR,1109,BNP,2010,2010,855
GBR,1110,BREXIT,2019,2023,7364
PRT,1202,CDS-PP,1999,2023,1308
PRT,1201,CDU,1999,2023,284
PRT,1205,PS,1999,2023,655
PRT,1206,PSD,1999,2023,1359
PRT,1208,BE,1999,2023,1310
PRT,1209,MPT,2014,2017,3226
PRT,1210,PCP,2019,2023,310
PRT,1211,PEV,2019,2023,886
PRT,1250,PAN,2017,2023,97
AUT,1306,LIF,1999,2023,605
AUT,1304,GRUNE,1999,2023,1659
AUT,1301,SPO,1999,2023,1384
AUT,1302,OVP,1999,2023,1329
AUT,1303,FPO,1999,2023,463
AUT,1307,BZO,2006,2014,599
AUT,1308,MARTIN,2006,2010,1708
AUT,1310,TeamStronach,2014,2014,1971
FIN,1403,KESK,1999,2023,901
FIN,1401,SDP,1999,2023,1303
FIN,1406,SFP,1999,2023,1229
FIN,1404,VAS,1999,2023,1044
FIN,1413,KIPU,1999,1999,1223
FIN,1408,VIHR,1999,2023,479
FIN,1405,PS,1999,2023,1689
FIN,1411,SEP/EKA,1999,1999,2687
FIN,1402,KOK,1999,2023,495
FIN,1412,REM,1999,1999,250
FIN,1409,SKL,1999,2023,703
SWE,1607,MP,1999,2023,456
SWE,1605,M,1999,2023,690
SWE,1602,SAP,1999,2023,487
SWE,1601,V,1999,2023,830
SWE,1606,KD,1999,2023,651
SWE,1603,C,1999,2023,199
SWE,1608,NyD,1999,1999,343
SWE,1604,FP,1999,2023,1274
SWE,1609,JL,2006,2010,1093
SWE,1611,PIRAT,2010,2017,1485
SWE,1610,SD,2010,2023,409
SWE,1612,FI,2014,2017,1240
BGR,2002,ODS,2002,2014,1183
BGR,2005,G-VMRO,2002,2020,3908
BGR,2001,NDSV,2002,2010,374
BGR,2004,DPS,2002,2023,982
BGR,2006,KSII,2002,2002,5848
BGR,2003,KzB,2002,2023,1665
BGR,2007,NOA,2006,2020,1793
BGR,2008,DSB,2006,2023,1195
BGR,2009,BNS,2006,2010,263
BGR,2011,L,2010,2010,265
BGR,2012,RZS,2010,2010,272
BGR,2010,GERB,2010,2023,760
BGR,2016,ABV,2014,2014,3187
BGR,2013,DBG,2014,2014,2058
BGR,2014,NFSB,2014,2020,2057
BGR,2015,BBT,2014,2014,3188
BGR,2017,Volya,2019,2020,5863
BGR,2019,Slavi Trifonov,2019,2023,2635
BGR,2018,DB,2019,2023,5861
CZE,2102,ODS,2002,2023,466
CZE,2103,KSCM,2002,2023,1728
CZE,2105,US-DEU,2002,2002,104
CZE,2104,KDU-CSL,2002,2023,676
CZE,2101,CSSD,2002,2023,177
CZE,2107,SZ,2006,2014,1554
CZE,2106,SNK-ED,2006,2006,751
CZE,2108,Nezavisl,2006,2006,1425
CZE,2109,TOP09,2010,2023,223
CZE,2110,VV,2010,2010,1202
CZE,2112,USVIT,2014,2014,2049
CZE,2113,SVOBODNI,2014,2014,254
CZE,2111,ANO2011,2014,2023,2141
CZE,2114,Pirates,2017,2023,2047
CZE,2116,STAN,2017,2023,1707
CZE,2115,SPD,2017,2023,6125
EST,2203,ER,2006,2023,821
EST,2205,KP,2006,2006,18
EST,2201,IRL,2006,2023,685
EST,2206,ERL,2006,2010,110
EST,2204,SDE,2006,2023,1150
EST,2202,EK,2006,2023,533
EST,2207,EER,2010,2014,1040
EST,2208,EVE,2014,2017,3271
EST,2210,E200,2019,2023,7340
EST,2209,EKRE,2017,2023,4094
HUN,2302,Fidesz-M,2002,2023,1691
HUN,2305,MIEP,2002,2002,1597
HUN,2303,MDF,2002,2010,1697
HUN,2301,MSzP,2002,2023,1408
HUN,2304,SzDSz,2002,2010,910
HUN,2306,CP,2002,2002,1779
HUN,2307,KDNP,2006,2010,1412
HUN,2308,JOBBIK,2010,2023,42
HUN,2309,LMP,2010,2023,1650
HUN,2311,DK,2014,2023,469
HUN,2310,E14,2014,2020,2458
HUN,2314,MM,2019,2023,8249
LVA,2403,TP,2002,2006,1755
LVA,2406,TB-LNNK,2002,2023,1704
LVA,2401,JL,2002,2006,1531
LVA,2402,PCTVL,2002,2023,176
LVA,2404,LPP,2002,2006,1778
LVA,2408,LSDSP,2002,2006,741
LVA,2407,LC,2002,2006,1043
LVA,2405,ZZS,2002,2023,701
LVA,2410,SC,2006,2023,1056
LVA,2411,ZRP,2010,2010,1476
LVA,2412,V,2010,2023,852
LVA,2413,NSL,2014,2014,3193
LVA,2414,LRA,2014,2023,3194
LVA,2417,AP!,2019,2023,8393
LVA,2415,KPV LV,2019,2020,6356
LVA,2416,JKP,2019,2020,6355
LTU,2502,NDP,2002,2002,1747
LTU,2505,LLS,2002,2010,1357
LTU,2503,LRS,2002,2002,168
LTU,2513,JL-PKS,2002,2002,1026
LTU,2510,NKS,2002,2002,52
LTU,2514,MKDS,2002,2002,8392
LTU,2509,LCS,2002,2002,1185
LTU,2507,LVP,2002,2023,1490
LTU,2504,NS,2002,2010,1800
LTU,2506,TS-LK,2002,2023,193
LTU,2511,LLRA,2002,2023,556
LTU,2512,LLS,2002,2002,1410
LTU,2501,LSDP,2002,2023,64
LTU,2508,LKDP,2002,2002,1063
LTU,2515,TT,2006,2023,237
LTU,2516,DP,2006,2023,102
LTU,2518,LRLS,2010,2023,1744
LTU,2517,TPP,2010,2010,347
LTU,2519,FRONT,2010,2010,1250
LTU,2520,DK,2014,2014,74
LTU,2521,LCP,2019,2023,5455
LTU,2522,LZP,2019,2023,1407
LTU,2523,VKM-AMT,2019,2023,2778
POL,2609,UW,2002,2006,1566
POL,2605,PiS,2002,2023,1565
POL,2602,UP,2002,2002,1104
POL,2608,AWSP,2002,2002,863
POL,2601,SLD,2002,2023,57
POL,2607,LPR,2002,2010,1768
POL,2603,PO,2002,2023,1117
POL,2606,PSL,2002,2023,602
POL,2604,S,2002,2010,727
POL,2611,SDPL,2006,2010,1328
POL,2612,SD,2010,2010,919
POL,2614,KNP,2014,2014,4713
POL,2616,SP,2014,2014,328
POL,2615,PR,2014,2014,2992
POL,2613,RP,2014,2017,731
POL,2621,Wiosnia,2019,2020,7356
POL,2619,Konfederacia,2017,2023,4629
POL,2617,Kukiz,2017,2020,4631
POL,2618,Nowo,2017,2023,4630
POL,2620,Lewica Razem,2017,2023,4871
ROU,2703,PRM,2002,2010,1305
ROU,2706,UDMR,2002,2023,1105
ROU,2707,CDR 2000,2002,2002,192
ROU,2701,PSD,2002,2023,120
ROU,2705,PNL,2002,2023,481
ROU,2702,PUR,2002,2014,1443
ROU,2704,PDL,2002,2014,1715
ROU,2708,FDGR,2006,2006,2454
ROU,2711,PMP,2014,2023,3210
ROU,2710,PP-DD,2014,2014,2474
ROU,2712,PLR,2014,2020,3223
ROU,2709,UNPR,2014,2014,1541
ROU,2713,USR,2019,2023,5969
ROU,2714,PRO,2019,2023,7359
SVK,2806,ANO,2002,2002,217
SVK,2802,SDKU,2002,2014,1617
SVK,2803,Smer,2002,2023,311
SVK,2801,HZDS,2002,2010,560
SVK,2808,PSNS,2002,2002,129
SVK,2804,SMK,2002,2020,349
SVK,2809,SNS,2002,2023,730
SVK,2807,KSS,2002,2010,340
SVK,2805,KDH,2002,2023,63
SVK,2810,HZD,2002,2002,2133
SVK,2811,SF,2006,2010,137
SVK,2812,SaS,2010,2023,1386
SVK,2813,Most,2010,2020,258
SVK,2815,NOVA,2014,2014,4015
SVK,2816,Siet,2014,2020,2918
SVK,2814,OLaNO,2014,2023,2130
SVK,2817,LSNS,2017,2023,656
SVK,2821,Za Ludi,2019,2023,8394
SVK,2819,PS,2019,2023,7361
SVK,2818,Sme Rodina,2017,2023,4873
SVK,2820,SPOLU,2019,2023,8177
SVN,2904,SLS-SKD,2002,2014,764
SVN,2902,SDS,2002,2023,472
SVN,2903,ZLSD,2002,2023,1403
SVN,2907,SNS,2002,2020,96
SVN,2905,NSI,2002,2023,1618
SVN,2901,LDS,2002,2010,975
SVN,2908,SMS,2002,2002,1401
SVN,2906,DeSUS,2002,2020,467
SVN,2909,AS,2006,2006,1302
SVN,2910,Zares,2010,2010,474
SVN,2912,ZL,2014,2023,4714
SVN,2913,ZaAB,2014,2020,3114
SVN,2914,PS,2014,2014,1773
SVN,2911,SMC,2014,2020,3098
SVN,2915,LMS,2019,2020,6132
HRV,3104,HSLS,2007,2023,214
HRV,3114,ORaH,2014,2014,3201
HRV,3109,HSP,2007,2014,253
HRV,3101,HDZ,2007,2023,1431
HRV,3107,HDSSB,2007,2023,2347
HRV,3103,HSS,2007,2023,72
HRV,3113,HSP-AS,2014,2014,3706
HRV,3112,HL-SR,2014,2014,3143
HRV,3105,HNS,2007,2023,799
HRV,3102,SDP,2007,2023,1475
HRV,3106,IDS,2007,2023,513
HRV,3115,Most,2019,2023,4865
HRV,3119,HKS,2019,2020,9085
HRV,3110,SDSS,2007,2023,2348
HRV,3116,ZZ,2019,2023,4867
HRV,3108,HSU,2007,2023,2062
HRV,3118,NS-R,2019,2023,4866
HRV,3117,MB 365,2019,2020,5452
MLT,3701,PL,2014,2023,808
