country,type,party_abbreviation,party_native,party_english,partyfacts_id,election_years,party_id,dup
BGR,parliament,ABC,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,3187,2014,BGR-ABC,FALSE
BGR,parliament,ATAKA,Natsionalen Sayuz Ataka,National Union Attack,1793,"2005, 2009, 2013,
2014",BGR-ATAKA,FALSE
BGR,parliament,BNS,Balgarski Naroden Sajuz,Bulgarian People's Union,263,2005,BGR-BNS,FALSE
BGR,parliament,C-FD,Center-svoboda i dostojnstvo,Center-Freedom and Dignity,4095,2013,BGR-C-FD,FALSE
BGR,parliament,CP,Balgarija bes Zensura,Bulgaria without Censorship,3188,2014,BGR-CP,FALSE
BGR,parliament,DBG,"Dvizhenie ""Bulgariya na grazhdanite""",Bulgaria for Citizens Movement,2058,2013,BGR-DBG,FALSE
BGR,parliament,DOST ALL.,"Demokrati za Otgovornost, Svoboda i Tolerantnost","Democrats for Responsibility, Solidarity and Tolerance",5860,2017,BGR-DOST ALL.,FALSE
BGR,parliament,DPS,Dvizhenie za prava i svobodi,Movement for Rights and Freedoms,982,"2005, 2009, 2013,
2014, 2017",BGR-DPS,FALSE
BGR,parliament,DSB,Demokrati za Silna Balgarija,Democrats for a Strong Bulgaria,1195,2005,BGR-DSB,FALSE
BGR,parliament,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,760,"2009, 2013, 2014,
2017",BGR-GERB,FALSE
BGR,parliament,IMRO-BNP,VMRO - Bulgarsko Natsionalno Dvizhenie,IMRO -- Bulgarian National Movement,2056,2013,BGR-IMRO-BNP,FALSE
BGR,parliament,IMRO/NFSB,Patriotichen front,Patriotic Front,5649,2014,BGR-IMRO/NFSB,FALSE
BGR,parliament,IMRO/NFSB/ATTAKA,Obedineni Patrioti,United Patriots,6115,2017,BGR-IMRO/NFSB/ATTAKA,FALSE
BGR,parliament,KB,Koalicija za Balgarija - Koalicija za Balgarija,"Coalition for Bulgaria
-- Democratic Left",1665,"2014, 2017, 2005,
2009, 2013",BGR-KB,FALSE
BGR,parliament,LIDER,Lider,Lider,265,"2009, 2013",BGR-LIDER,FALSE
BGR,parliament,"MOVEMENT ""YES, BULGARIA""",Da Bulgaria,"Yes, Bulgaria!",5861,2017,"BGR-MOVEMENT ""YES, BULGARIA""",FALSE
BGR,parliament,NDSV,Nacionalno dvizenie (Simeon Vtori) za stabilnost i vazhod,National Movement (Simeon II) for Stability and Progress,374,"2005, 2009",BGR-NDSV,FALSE
BGR,parliament,NFSB,Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,2057,2013,BGR-NFSB,FALSE
BGR,parliament,NV,Hoboto Bpeme,New Times,2022,2005,BGR-NV,FALSE
BGR,parliament,ODS,Obedineni Demokratichni Sili,United Democratic Forces,1183,2005,BGR-ODS,FALSE
BGR,parliament,PV,People's Voice,People's Voice,2024,2013,BGR-PV,FALSE
BGR,parliament,RB,Reformatorski Blok,Reformist Bloc,3189,"2014, 2017",BGR-RB,FALSE
BGR,parliament,RZS,"Red, zakonnost i spravedlivost","Order, Law and Justice",272,"2009, 2013",BGR-RZS,FALSE
BGR,parliament,SDS,Sayuz na Demokratichni Sili,Union of Democratic Forces,482,2013,BGR-SDS,FALSE
BGR,parliament,SINIATA,Sinyata koalitsia,Blue Coalition,58,2009,BGR-SINIATA,FALSE
BGR,parliament,VOLYA,Volya,Will,5863,2017,BGR-VOLYA,FALSE
BGR,ep,BBT,Balgarija bes Zensura,Bulgaria without Censorship,3188,2014,BGR-BBT,FALSE
BGR,ep,BSP/KB,Koalicija za Balgarija - Koalicija za Balgarija,"Coalition for Bulgaria
- Democratic Left",1665,"2014, 2019",BGR-BSP/KB,FALSE
BGR,ep,IMRO,VMRO - Bulgarsko Natsionalno Dvizhenie,IMRO - Bulgarian National Movement,2056,"2009, 2019",BGR-IMRO,FALSE
BGR,ep,Lider,Lider,Lider,265,2009,BGR-Lider,FALSE
BGR,ep,Sinyata,Sinyata koalitsia,Blue Coalition,58,2009,BGR-Sinyata,FALSE
BGR,ep,ZNS,Zemedelski Naroden Suyuz,Agrarian People's Union,747,2007,BGR-ZNS,FALSE
HRV,parliament,EVEN STRONGER ISTRIA,Even Stronger Istria Coalition,Even Stronger Istria Coalition,3918,2016,HRV-EVEN STRONGER ISTRIA,FALSE
HRV,parliament,FOR PRIME MINISTER,For Prime Minister Coalition,For Prime Minister Coalition,3918,2016,HRV-FOR PRIME MINISTER,FALSE
HRV,parliament,HDSSB,Hrvatski demokratski savez Slavonije i Baranje,Croatian Democratic Alliance of Slavonia and Baranja,2347,"2011, 2015",HRV-HDSSB,FALSE
