country,party,party_name,year_first,year_last,party_id
PRT,PSD,Social Democratic Party,1992,2006,PRT-PSD
PRT,PSR,Revolutionary Socialist Party,1992,1992,PRT-PSR
PRT,UDP,Popular Democratic Union,1992,1992,PRT-UDP
PRY,ANR-PC,Asociación Nacional Republicana-Partido Colorado,2009,2009,PRY-ANR-PC
PRY,MPQ,Movimiento Patria Querida,2009,2009,PRY-MPQ
PRY,PEN,Partido Encuentro Nacional,2009,2009,PRY-PEN
PRY,PLRA,Partido Liberal Radical Auténtico,2009,2009,PRY-PLRA
PRY,PPS,Partido País Solidario,2009,2009,PRY-PPS
PRY,Pres,Nicanor DUARTE FRUTOS,2009,2009,PRY-Pres
PRY,PUNACE,Partido Unión de Ciudadanos Éticos,2009,2009,PRY-PUNACE
ROU,PC,The Conservative Party,2006,2006,ROU-PC
ROU,PD,Democrat Party,2006,2006,ROU-PD
ROU,PNL,National Liberal Party,2006,2006,ROU-PNL
ROU,PNTCD,Christian Democratic National Peasants's Party // Christian Democratuc National Peasants's Party,2006,2006,ROU-PNTCD
ROU,PRM,Great Romania Party,2006,2006,ROU-PRM
ROU,PSD,Social Democratic Party,2006,2006,ROU-PSD
ROU,PUR,Humanist Party of Romania,2006,2006,ROU-PUR
ROU,UDMR,Democratic Union of Hungarians in Romania // Romániai Magyar Demokrata Szövetseg,2006,2006,ROU-UDMR
RUS,ER,United Russia,2006,2006,RUS-ER
RUS,KPRF,Communist Party of the Russian Federation,2006,2006,RUS-KPRF
RUS,LDPR,Liberal Democratic Party of Russia,2006,2006,RUS-LDPR
RUS,RODINA,People's Patriotic Block 'Motherland',2006,2006,RUS-RODINA
RUS,SPS,Union of Right Forces,2006,2006,RUS-SPS
RUS,YABLOKO,Yabloko,2006,2006,RUS-YABLOKO
SLV,ARENA,Partido Alianza Republicana Nacionalista,2009,2009,SLV-ARENA
SLV,CD,Cambio DemocrÂ·tico,2009,2009,SLV-CD
SLV,FMLN,Partido Frente Farabundo Martí para la Liberación Nacional,2009,2009,SLV-FMLN
SLV,PCN,Partido de Conciliación Nacional,2009,2009,SLV-PCN
SLV,PDC,Partido Demócrata Cristiano,2009,2009,SLV-PDC
SLV,Pres,Elias Antonio SACA,2009,2009,SLV-Pres
SRB,DHSS,,2006,2006,SRB-DHSS
SRB,DS,,2006,2006,SRB-DS
SRB,DSS,,2006,2006,SRB-DSS
SRB,G17,,2006,2006,SRB-G17
SRB,GS,,2006,2006,SRB-GS
SRB,LDP,,2006,2006,SRB-LDP
SRB,NS,,2006,2006,SRB-NS
SRB,PSS,,2006,2006,SRB-PSS
SRB,SDP,,2006,2006,SRB-SDP
SRB,SDPO,,2006,2006,SRB-SDPO
SRB,SPO,,2006,2006,SRB-SPO
SRB,SPS,,2006,2006,SRB-SPS
SRB,SRS,,2006,2006,SRB-SRS
SRB,SSJ,,2006,2006,SRB-SSJ
SVK,ANO,New Civic Alliance,2006,2006,SVK-ANO
SVK,HZDS,Movement for a Democratic Slovakia,2006,2006,SVK-HZDS
SVK,KDH,Christian Democratic Movement,2006,2006,SVK-KDH
SVK,KSS,Slovak Communist Party,2006,2006,SVK-KSS
SVK,L'S-HZDS,Peoples' Party - Movement for a Democratic Slovakia,2006,2006,SVK-L'S-HZDS
SVK,LU,People's Union,2006,2006,SVK-LU
SVK,OKS,Civic Conservative Party,2006,2006,SVK-OKS
SVK,RPS,,2006,2006,SVK-RPS
SVK,SDA,Social-Democratic Alternative,2006,2006,SVK-SDA
SVK,SDL',Party of Democratic Left,2006,2006,SVK-SDL'
SVK,SKDU,Slovak Democratic and Christian Union,2006,2006,SVK-SKDU
SVK,SKDÚ-DS,Slovak Democratic and Christian Union - Democratic Party,2006,2006,SVK-SKDÚ-DS
SVK,Smer,Party Direction - Third Way,2006,2006,SVK-Smer
SVK,Smer-SD,Direction - Social Democracy,2006,2006,SVK-Smer-SD
SVK,SMK,Party of the Hungarian Coalition,2006,2006,SVK-SMK
SVK,SNS,Slovak National Party,2006,2006,SVK-SNS
SVN,AS,Aktivna Slovanija,2006,2006,SVN-AS
SVN,DeSUS,Democratic Party of Pensioners of Slovenia // Demokrati?na Stranka Upokojencev Slovenije,2006,2006,SVN-DeSUS
SVN,LDS,Liberal Democracy of Slovenia // Liberalna Demokracija Slovenije,2006,2006,SVN-LDS
SVN,NSi,New Slovenia –  Christian People's Party // Nova Slovenija-Krš?anska Ljudska Stranka,2006,2006,SVN-NSi
SVN,SD,Socialni demokrati,2006,2006,SVN-SD
SVN,SDS,Slovenska demokratska stranka // Socialdemokratska Stranka Slovenije,2006,2006,SVN-SDS
SVN,SJN,Slovenija Je Nasa,2006,2006,SVN-SJN
SVN,SLS,Slovenian People's Party // Slovenska Ljudska Stranka,2006,2006,SVN-SLS
SVN,SMS,Youth Party of Slovenia // Stranka Mladih Slovenije,2006,2006,SVN-SMS
SVN,SNS,Slovenian National Party // Slovenska Nacionalna Stranka,2006,2006,SVN-SNS
SVN,ZLSD,Združena Lista Socialnih Demokratov,2006,2006,SVN-ZLSD
SWE,C,Centerpartiet,1992,2006,SWE-C
SWE,COM,Communist Left,1992,1992,SWE-COM
SWE,FP,Folkpartiet Liberalerna,1992,2006,SWE-FP
SWE,KD,Kristdemokraterna,1992,2006,SWE-KD
SWE,M,Moderata Samlingspartiet,1992,2006,SWE-M
SWE,MP,Miljöpartiet de Gröna // Miljöpartiet de Gröna,1992,2006,SWE-MP
SWE,SAP,Socialdemokratiska Arbetarepartiet,1992,2006,SWE-SAP
SWE,V,Vänsterpartiet,2006,2006,SWE-V
TUR,AKP,Justice and Development Party // Adalet ve Kalkinma Partisi,2006,2006,TUR-AKP
TUR,ANAP,Motherland Party // Anavatan Partisi,2006,2006,TUR-ANAP
TUR,BBP,Great Union Party,2006,2006,TUR-BBP
TUR,CHP,Republican People's Party // Cumhuriyet Halk Partisi,2006,2006,TUR-CHP
TUR,DEHAP,Democratic People's Party // Demokratik Halk Partisi,2006,2006,TUR-DEHAP
TUR,DSP,Democratic Left Party // Demokratik Sol Partisi,2006,2006,TUR-DSP
TUR,DYP,True Path Party // Dogru Yol Partisi,2006,2006,TUR-DYP
TUR,GP,Youth Party // Genç Parti,2006,2006,TUR-GP
TUR,MHP,Nationalist Movement Party // Milliyetçi Hareket Partisi,2006,2006,TUR-MHP
TUR,SP,Felicity Party,2006,2006,TUR-SP
TUR,TKP,Communist Party of Turkey,2006,2006,TUR-TKP
UKR,JT,Juliya Tymoshenko Election Blok,2006,2006,UKR-JT
UKR,KPU,Communist Party of Ukraine,2006,2006,UKR-KPU
UKR,NU,Viktor Yushchenko Bloc Our Ukraine,2006,2006,UKR-NU
UKR,SDPU-o,United Social-Democratic Party of Ukraine,2006,2006,UKR-SDPU-o
UKR,SPU,Socialist Party of Ukraine,2006,2006,UKR-SPU
UKR,ZYU,For United Ukraine,2006,2006,UKR-ZYU
URY,FA-EP-NM,Frente Amplio,2009,2009,URY-FA-EP-NM
URY,PC,Partido Colorado,2009,2009,URY-PC
URY,PI,Partido Independiente,2009,2009,URY-PI
URY,PN,Partido Nacional,2009,2009,URY-PN
URY,Pres,Tabare VAZQUEZ,2009,2009,URY-Pres
URY,UC,Partido Unión Cívica,2009,2009,URY-UC
USA,Dem,Democratic Party,1992,2006,USA-Dem
USA,Rep,Republican Party,1992,2006,USA-Rep
VEN,AD,Acción Democrática,2009,2009,VEN-AD
VEN,COPEI,Comité de Organización Política Electoral del Pueblo Independiente,2009,2009,VEN-COPEI
VEN,MAS,Moviemiento Al Socialismo,2009,2009,VEN-MAS
VEN,MVR,Movimiento Quinta República,2009,2009,VEN-MVR
VEN,PCV,Partido Comunista Venezolano,2009,2009,VEN-PCV
VEN,PJ,Primero Justicia,2009,2009,VEN-PJ
VEN,Podemos,Podemos,2009,2009,VEN-Podemos
VEN,PPT,Patria Para Todos,2009,2009,VEN-PPT
VEN,Pres,Hugo CHÁVEZ,2009,2009,VEN-Pres
VEN,UNT,Un Nuevo Tiempo,2009,2009,VEN-UNT
