national_party,abbrev,member_state,code,party_family,country_name,year_first,year_last,share_year,share
Union pour la Majorité Présidentielle / Union pour un Mouvement Populaire,UMP,F,1424,Con,Drance,1999,1999,1999,1
Dimogratiki Anaeossi / Politiki Anixi,DIANA / POL.AN,G,1501,Con,Greece,1989,1994,1994,7.4
Dimokratiko Kinoniko Kinima,DIKKI,G,1502,Left,Greece,1999,1999,1999,7.1
Komma Proodevtikon / Ethniki Politiki Enossis / Enosi Dimokratikou Kentrou,KP / EPEN / EDIK,G,1503,Right,Greece,1979,1984,1984,9.1
Kommounistiko Komma Elladas,KKE,G,1504,Left,Greece,1979,1999,1984,15.2
Nea Dimokratia,ND,G,1505,Con,Greece,1979,1999,1989,42.9
Panellinio Socialistiko Kinima,PASOK,G,1506,Soc,Greece,1979,1999,1994,44.4
Synaspismos tis Aristeras kai tis Proodou / Neo Aristero Revma,SYN / NAR,G,1507,Left,Greece,1984,1999,1989,14.3
Independent,Ind,G,1508,Ind,Greece,1984,1984,1984,3
Movimento soziale italiano / Alleanza nazionale,MSI / AN,I,1601,Right,Italy,1979,1999,1994,12.8
Centro cristiano democratico,CCD,I,1603,CDem,Italy,1994,1999,1994,3.2
Cristiani democratici uniti,CDU,I,1604,CDem,Italy,1994,1999,1999,3.1
Democrazia proletaria / Partito democratico di unità proletaria / Comunisti unitari,DP / PDUP / CU,I,1605,Left,Italy,1979,1994,1984,3.1
Democratico Cristiana / Partito populare italiano,DC / PPI,I,1606,CDem,Italy,1979,1999,1979,35.9
I Democratici,Dem,I,1607,Lib,Italy,1994,1999,1999,6.1
Forza Italia,FI,I,1608,Con,Italy,1994,1999,1994,26.6
Verdi Arcobaleno / Federazione dei Verdi / Verdi Europa,FV / V,I,1609,Grn,Italy,1989,1999,1989,7.2
Indipendenti di sinistra,IND SIN,I,1610,Left,Italy,1979,1994,1979,5.4
Lega Nord,LN,I,1611,Reg,Italy,1989,1999,1994,6.4
Movimento sociale fiamma tricolore,MSFT,I,1612,Right,Italy,1999,1999,1999,1
Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,PCI / PDS / DS,I,1613,Soc,Italy,1979,1999,1984,26.8
Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,PdCI / RC / PRC,I,1614,Left,Italy,1994,1999,1999,6.1
Pensionati,Pensionati,I,1615,Con,Italy,1999,1999,1999,1
Partito reppublicano italiano,PLI,I,1616,Lib,Italy,1979,1999,1979,3.3
Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,PR / PANN.RIF. / Bon / L.A.DROGA,I,1617,Lib,Italy,1979,1999,1999,7.1
Partito reppublicano italiano,PRI,I,1618,Lib,Italy,1979,1999,1979,4.3
Partito Sardo d'Azione,PSdA,I,1619,Reg,Italy,1984,1989,1984,1
Partito socialista democratico italiano,PSDI,I,1620,Soc,Italy,1979,1989,1979,4.3
Partito socialista italiano / Socialisti democratici italiani,PSI / SDI,I,1621,Soc,Italy,1979,1999,1989,14.4
La Rete movimento democratico,RETE,I,1622,Left,Italy,1994,1994,1994,1.1
Rinnovamento italiano - Dini,RI-DINI,I,1623,CDem,Italy,1999,1999,1999,1
Patto Segni,Segni,I,1624,CDem,Italy,1994,1999,1994,3.2
Südtiroler Volkspartei,SVP,I,1625,Reg,Italy,1979,1999,1979,1.1
Unione Democratici per l'Europa,UDEUR,I,1626,CDem,Italy,1999,1999,1999,1
Union Valdostana,UV,I,1627,Reg,Italy,1999,1999,1999,1
Centrum-Democraterne,CD,K,1701,CDem,Denmark,1979,1989,1989,17.6
Dansk Folkeparti,DF,K,1702,Con,Denmark,1999,1999,1999,5.6
Folkebevægelsen mod EF - Unionen,FmEF,K,1703,Anti-EU,Denmark,1979,1999,1984,23.8
JuniBevægelsen,JB,K,1705,Anti-EU,Denmark,1994,1999,1999,22.2
Det Konservative Folkeparti,KF,K,1706,Con,Denmark,1979,1999,1984,28.6
Det Radikale Venstre,RV,K,1707,Lib,Denmark,1994,1999,1994,5.9
Socialdemokratiet,SD,K,1708,Soc,Denmark,1979,1999,1979,27.8
Socialistisk Folkeparti,SF,K,1709,Left,Denmark,1979,1999,1994,11.8
Siumut,Siumut,K,1710,Reg,Denmark,1979,1984,1979,5.6
Venstre,V,K,1711,Lib,Denmark,1979,1999,1999,33.3
Déi Gréng,DG / GLEI/GAP,L,1801,Grn,Luxembourg,1994,1999,1994,14.3
Parti démcratique,DP,L,1802,Lib,Luxembourg,1979,1999,1979,38.5
Parti chrétien social,PCS,L,1803,CDem,Luxembourg,1979,1999,1979,53.8
Parti ouvrier socialiste luxembourgeois,POSL,L,1804,Soc,Luxembourg,1979,1999,1984,37.5
Christen Democratisch Appèl,CDA,N,1901,CDem,Netherlands,1979,1999,1979,39.3
Democraten 66,D66,N,1902,Lib,Netherlands,1979,1999,1994,11.8
Groen Links / De Groenen,GL / DG,N,1903,Grn,Netherlands,1994,1999,1999,11.8
Politieke Partij Radikalen,PPR,N,1904,Left,Netherlands,1984,1989,1984,3.7
Pacifistisch Socialistische Partij / Communistische Partij Nederland,PSP / CPN,N,1905,Left,Netherlands,1984,1989,1984,7.4
Partij van de Arbeid,PvdA,N,1906,Soc,Netherlands,1979,1999,1979,35.7
Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,SGP/GPV/RPF,N,1907,Con,Netherlands,1984,1999,1994,8.8
Socialistiese Partij,SP,N,1908,Soc,Netherlands,1999,1999,1999,2.9
Volkspartij voor Vrijheid en Democratie,VVD,N,1909,L,Netherlands,1979,1999,1994,20.6
Soumen Keskusta,KESK,O,2001,Lib,Finland,1994,1999,1994,26.7
Kansallinen Kokoomus,KOK,O,2002,Con,Finland,1994,1999,1994,26.7
Suomen Sosialidemkraattinen Poulue,SDP,O,2003,Soc,Finland,1994,1999,1994,23.3
Svenska Folpartiet,SFP,O,2004,Reg,Finland,1994,1999,1994,6.7
Soumen Kristillinen Liitto,SKL,O,2005,CDem,Finland,1999,1999,1999,5.9
Vasemmistoliitto,VAS,O,2006,Left,Finland,1994,1999,1994,13.3
Vihreät,VIHR,O,2007,Grn,Finland,1994,1999,1999,17.6
