iso3country,party,speaker,date_first,date_last,party.facts.id
AUS,ÖVP,Adelheid Irina Fürntrath-Moretti,2007-01-17,2013-07-06,1329
AUS,ÖVP,Adolfine Herta Mikesch,2007-03-07,2008-01-31,1329
AUS,Grüne,Albert Steinhauser,2007-07-04,2017-10-13,1659
AUS,Grüne,Alev Korun,2008-12-03,2017-10-04,1659
AUS,Grüne,Alexander Van der Bellen,1996-01-31,2012-07-05,1659
AUS,SPÖ,Alexander Zach,2007-01-17,2008-04-10,1384
AUS,ÖVP,Alfred Brader,1996-03-21,2006-07-13,1329
AUS,ÖVP,Alfred Finz,2008-09-12,2008-09-12,1329
AUS,SPÖ,Alfred Gusenbauer,1996-03-21,2006-12-15,1384
AUS,Jetzt – Liste PILZ,Alfred J. Noll,2017-12-13,2018-12-13,6137
AUS,ÖVP,Alfred Schöls,2003-05-08,2006-07-13,1329
AUS,PILZ,Alma Zadic,2017-12-13,2018-10-25,6137
AUS,JETZT,Alma Zadic,2018-11-21,2018-12-13,6137
AUS,FPÖ,Alois Gradauer,2007-01-30,2013-07-06,463
AUS,FPÖ,Alois Kainz,2018-04-19,2018-11-21,463
AUS,ÖVP,Alois Mock,1996-01-31,1999-07-16,1329
AUS,FPÖ,Alois Pumberger,1996-03-21,2002-09-20,463
AUS,ÖVP,Alois Rosenberger,2018-01-31,2018-12-13,1329
AUS,SPÖ,Alois Stöger,2017-12-21,2018-12-13,1384
AUS,ÖVP,Andrea Eder-Gitschthaler,2006-12-15,2008-07-09,1329
AUS,SPÖ,Andrea Gessl-Ranftl,2009-01-21,2017-06-28,1384
AUS,SPÖ,Andrea Kuntzl,2000-01-26,2018-12-13,1384
AUS,FPÖ,Andrea Michaela Schartel,2018-06-14,2018-11-21,463
AUS,ÖVP,Andrea Wolfmayr,2000-01-26,2006-06-21,1329
AUS,ÖVP,Andreas Hanger,2014-02-25,2018-12-11,1329
AUS,FPÖ,Andreas Karlsböck,2008-12-03,2017-06-28,463
AUS,ÖVP,Andreas Khol,1996-01-15,2006-09-21,1329
AUS,SPÖ,Andreas Kollross,2018-01-31,2018-12-11,1384
AUS,ÖVP,Andreas Kühberger,2018-01-31,2018-12-13,1329
AUS,ÖVP,Andreas Ottenschläger,2014-01-29,2018-12-13,1329
AUS,SPÖ,Andreas Schieder,2007-01-17,2018-12-11,1384
AUS,FPÖ,Andreas Sodian,2000-04-27,2002-07-11,463
AUS,Grüne,Andreas Wabl,1996-01-15,1999-07-16,1659
AUS,ÖVP,Andreas Zakostelsky,2013-11-20,2017-10-13,1329
AUS,ÖVP,Angela Baumgartner,2018-02-28,2018-11-22,1329
AUS,ÖVP,Angela Fichtinger,2014-02-25,2018-12-13,1329
AUS,SPÖ,Angela Lueger,2008-01-31,2018-12-13,1384
AUS,ÖVP,Angelika Kuss-Bergner,2018-01-31,2018-12-13,1329
AUS,LIF,Angelika Rosa Mlinar,2013-10-29,2014-06-13,605
AUS,ÖVP,Angelika Winzig,2013-12-17,2018-12-13,1329
AUS,SPÖ,Anita Fleckl,2003-06-04,2008-06-07,1384
AUS,FPÖ,Anna Elisabeth Achatz,2000-10-19,2002-07-11,463
AUS,FPÖ,Anna Elisabeth Aumayr,1996-02-29,2000-09-20,463
AUS,ÖVP,Anna Franz,2003-06-04,2013-07-06,1329
AUS,ÖVP,Anna Höllerer,2003-02-26,2013-07-06,1329
AUS,SPÖ,Anna Huber,1996-02-29,2002-07-11,1384
AUS,FPÖ,Anneliese Kitzmüller,2008-12-03,2017-12-21,463
AUS,FPÖ,Anneliese Klein,1998-06-17,1999-07-15,463
AUS,SPÖ,Annemarie Reitsamer,1996-03-14,2001-02-02,1384
AUS,FPÖ,Anton Blünegger,1996-01-31,1999-07-16,463
AUS,ÖVP,Anton Doppler,2004-06-16,2006-07-13,1329
AUS,SPÖ,Anton Gaál,1996-02-29,2007-07-05,1384
AUS,SPÖ,Anton Heinzl,1998-07-09,2017-06-29,1384
AUS,FPÖ,Anton Knerzl,2000-04-27,2002-07-09,463
AUS,SPÖ,Anton Leikam,1996-02-29,2002-03-21,1384
AUS,FPÖ,Anton Wattaul,1999-12-15,2006-04-27,463
AUS,BZÖ,Anton Wattaul,2006-05-23,2006-07-13,599
AUS,SPÖ,Arnold Grabner,1996-03-20,2001-12-13,1384
AUS,ÖVP,Asdin El Habbassi,2013-12-17,2017-10-04,1329
AUS,ÖVP,Astrid Stadler,2000-11-23,2008-07-09,1329
AUS,ÖVP,August Wöginger,2003-06-04,2018-12-13,1329
AUS,FPÖ,Axel Kassegger,2014-01-29,2018-12-13,463
AUS,Grüne,Aygül Berivan Aslan,2013-12-17,2017-10-13,1659
AUS,ÖVP,Barbara Krenn,2017-12-21,2018-12-13,1329
AUS,Grüne,Barbara Neuroth,2017-06-07,2017-06-29,1659
AUS,SPÖ,Barbara Prammer,2000-02-10,2013-04-26,1384
AUS,ÖVP,Barbara Riener,2003-04-29,2009-02-27,1329
AUS,FPÖ,Barbara Rosenkranz,2003-02-26,2017-06-29,463
AUS,independent,Barbara Rosenkranz,2017-09-20,2017-10-13,NA
AUS,Grüne,Barbara Zwerschitz,2006-11-29,2008-09-25,1659
AUS,FPÖ,Beate Hartinger,2000-01-26,2002-09-19,463
AUS,NEOS,Beate Meinl-Reisinger,2013-11-20,2018-12-13,1970
AUS,SPÖ,Beate Schasching,2000-03-01,2008-07-08,1384
AUS,ÖVP,Beatrix Karl,2006-12-14,2017-09-20,1329
AUS,FPÖ,Bernd Brugger,2000-04-27,2002-06-13,463
AUS,ÖVP,Bernd Schönegger,2009-01-22,2017-06-29,1329
AUS,FPÖ,Bernhard Themessl,2006-12-14,2017-10-04,463
AUS,ÖVP,Bernhard Vock,2008-05-07,2013-07-05,1329
AUS,Grüne,Bettina Hradecsni,2006-12-14,2008-07-09,1659
AUS,SPÖ,Bettina Stadlbauer,2003-02-26,2008-09-25,1384
AUS,Grüne,Birgit Schatz,2006-11-29,2017-10-13,1659
AUS,SPÖ,Birgit Silvia Sandler,2018-03-21,2018-12-13,1384
AUS,Grüne,Brigid Weinzinger,2003-04-29,2008-09-25,1659
AUS,SPÖ,Brigitte Ederer,1996-03-14,1997-01-14,1384
AUS,ÖVP,Brigitte Jank,2013-12-03,2017-10-13,1329
AUS,FPÖ,Brigitte Povysil,1996-03-14,2018-12-13,463
AUS,SPÖ,Brigitte Tegischer,1996-03-21,1999-07-14,1384
AUS,SPÖ,Brunhilde Fuchs,1996-04-26,1999-07-16,1384
AUS,SPÖ,Brunhilde Plank,2000-01-26,2001-07-06,1384
AUS,Grüne,Bruno Rossmann,2006-11-29,2017-06-29,1659
AUS,independent,Bruno Rossmann,2017-09-20,2018-11-16,NA
AUS,JETZT,Bruno Rossmann,2018-11-21,2018-12-13,6137
AUS,SPÖ,Bundeskanzler Alfred Gusenbauer,2007-01-17,2008-11-25,1384
AUS,SPÖ,Bundeskanzler Christian Kern,2016-05-20,2017-10-13,1384
AUS,SPÖ,Bundeskanzler Franz Vranitzky,1996-01-31,1997-01-23,1384
AUS,ÖVP,Bundeskanzler Sebastian Kurz,2017-12-21,2018-12-13,1329
AUS,SPÖ,Bundeskanzler Viktor Klima,1997-01-29,1999-11-18,1384
AUS,SPÖ,Bundeskanzler Werner Faymann,2008-12-03,2016-04-27,1384
AUS,ÖVP,Bundeskanzler Wolfgang Schüssel,2000-02-08,2006-11-29,1329
AUS,SPÖ,Bundesminister für Arbeit und Soziales Franz Hums,1996-01-31,1996-12-13,1384
AUS,SPÖ,"Bundesminister für Arbeit, Soziales und Konsumentenschutz Alois Stöger",2016-01-28,2017-10-13,1384
AUS,SPÖ,"Bundesminister für Arbeit, Soziales und Konsumentenschutz Rudolf Hundstorfer",2009-02-27,2015-12-10,1384
AUS,ÖVP,Bundesminister für auswärtige Angelegenheiten Vizekanzler Wolfgang Schüssel,1996-03-14,2000-01-26,1329
AUS,independent,"Bundesminister für Bildung, Wissenschaft und Forschung Heinz Faßmann",2018-01-31,2018-12-13,NA
AUS,ÖVP,"Bundesminister für EU, Kunst, Kultur und Medien im Bundeskanzleramt Gernot Blümel",2018-01-31,2018-12-13,1329
AUS,ÖVP,"Bundesminister für Europa, Integration und Äußeres Sebastian Kurz",2014-03-26,2017-06-28,1329
AUS,ÖVP,Bundesminister für europäische und internationale Angelegenheiten Michael Spindelegger,2008-12-03,2011-03-01,1329
AUS,ÖVP,Bundesminister für europäische und internationale Angelegenheiten Sebastian Kurz,2014-02-24,2014-02-24,1329
AUS,ÖVP,Bundesminister für europäische und internationale Angelegenheiten Vizekanzler Michael Spindelegger,2011-04-28,2013-06-14,1329
AUS,ÖVP,Bundesminister für Finanzen Hartwig Löger,2018-02-28,2018-12-11,1329
AUS,ÖVP,Bundesminister für Finanzen Johann Georg Schelling,2014-09-02,2017-10-13,1329
AUS,FPÖ,Bundesminister für Finanzen Karl-Heinz Grasser,2000-02-10,2002-09-20,463
AUS,independent,Bundesminister für Finanzen Karl-Heinz Grasser,2003-03-06,2006-09-21,NA
AUS,SPÖ,Bundesminister für Finanzen Rudolf Edlinger,1997-02-26,2000-01-26,1384
AUS,SPÖ,Bundesminister für Finanzen Viktor Klima,1996-03-20,1997-01-23,1384
AUS,ÖVP,Bundesminister für Finanzen Vizekanzler Josef Pröll,2008-12-03,2010-12-21,1329
AUS,ÖVP,Bundesminister für Finanzen Vizekanzler Michael Spindelegger,2013-12-17,2014-07-08,1329
AUS,ÖVP,Bundesminister für Finanzen Vizekanzler Wilhelm Molterer,2007-01-17,2008-11-25,1329
AUS,SPÖ,Bundesminister für Gesundheit Alois Stöger,2009-02-17,2014-07-09,1384
AUS,SPÖ,"Bundesminister für Gesundheit, Familie und Jugend Alois Stöger",2008-12-03,2008-12-03,1384
AUS,SPÖ,Bundesminister für Inneres Caspar Einem,1996-01-31,1996-12-13,1384
AUS,ÖVP,Bundesminister für Inneres Ernst Strasser,2000-02-10,2004-12-10,1329
AUS,ÖVP,Bundesminister für Inneres Günther Platter,2007-01-17,2008-05-07,1329
AUS,FPÖ,Bundesminister für Inneres Herbert Kickl,2018-01-31,2018-12-11,463
AUS,SPÖ,Bundesminister für Inneres Karl Schlögl,1997-04-16,1999-11-18,1384
AUS,ÖVP,Bundesminister für Inneres Wolfgang Sobotka,2016-04-27,2017-12-13,1329
AUS,FPÖ,Bundesminister für Justiz Dieter Böhmdorfer,2000-03-02,2004-05-27,463
AUS,FPÖ,Bundesminister für Justiz Michael Krüger,2000-02-10,2000-02-24,463
AUS,independent,Bundesminister für Justiz Nikolaus Michalek,1996-02-29,1999-07-15,NA
AUS,independent,Bundesminister für Justiz Vizekanzler Wolfgang Brandstetter,2017-05-17,2017-10-13,NA
AUS,independent,Bundesminister für Justiz Wolfgang Brandstetter,2013-12-17,2017-05-16,NA
AUS,SPÖ,"Bundesminister für Kunst und Kultur, Verfassung und Medien Josef Ostermayer",2014-09-23,2016-03-17,1384
AUS,SPÖ,"Bundesminister für Kunst und Kultur, Verfassung und Medien Thomas Drozda",2016-09-21,2017-09-20,1384
AUS,SPÖ,"Bundesminister für Kunst und Kultur, Verfassung und öffentlichen Dienst Josef Ostermayer",2014-05-20,2014-07-10,1384
AUS,ÖVP,Bundesminister für Land- und Forstwirtschaft Wilhelm Molterer,1996-04-19,2000-01-26,1329
AUS,ÖVP,"Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft Andrä Rupprechter",2013-12-17,2017-10-13,1329
AUS,ÖVP,"Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft Josef Pröll",2003-03-06,2008-10-20,1329
AUS,ÖVP,"Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft Nikolaus Berlakovich",2008-12-03,2013-07-06,1329
AUS,ÖVP,"Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft Wilhelm Molterer",2000-05-17,2002-09-19,1329
AUS,ÖVP,Bundesminister für Landesverteidigung Günther Platter,2003-03-06,2006-10-30,1329
AUS,FPÖ,Bundesminister für Landesverteidigung Herbert Scheibner,2000-02-10,2003-02-26,463
AUS,FPÖ,Bundesminister für Landesverteidigung Mario Kunasek,2018-04-19,2018-04-19,463
AUS,SPÖ,Bundesminister für Landesverteidigung Norbert Darabos,2007-01-17,2008-12-03,1384
AUS,SPÖ,Bundesminister für Landesverteidigung und Sport Gerald Klug,2013-03-20,2015-11-26,1384
AUS,SPÖ,Bundesminister für Landesverteidigung und Sport Hans Peter Doskozil,2016-01-28,2017-06-29,1384
AUS,SPÖ,Bundesminister für Landesverteidigung und Sport Norbert Darabos,2009-02-27,2013-01-31,1384
AUS,ÖVP,Bundesminister für Landesverteidigung Werner Fasslabend,1996-02-29,1999-07-14,1329
AUS,SPÖ,Bundesminister für öffentliche Wirtschaft und Verkehr sowie Bundesminister für Finanzen Viktor Klima,1996-02-27,1996-02-27,1384
AUS,FPÖ,Bundesminister für öffentlichen Dienst und Sport Vizekanzler Heinz-Christian Strache,2018-02-28,2018-12-13,463
AUS,FPÖ,Bundesminister für soziale Sicherheit und Generationen Herbert Haupt,2000-10-30,2002-09-20,463
AUS,FPÖ,Bundesminister für soziale Sicherheit und Generationen Vizekanzler Herbert Haupt,2003-03-06,2003-04-29,463
AUS,SPÖ,"Bundesminister für soziale Sicherheit, Generationen und Konsumentenschutz Erwin Buchinger",2007-01-17,2007-01-30,1384
AUS,FPÖ,"Bundesminister für soziale Sicherheit, Generationen und Konsumentenschutz Herbert Haupt",2003-10-22,2004-12-10,463
AUS,FPÖ,"Bundesminister für soziale Sicherheit, Generationen und Konsumentenschutz Vizekanzler Herbert Haupt",2003-05-08,2003-09-24,463
AUS,SPÖ,Bundesminister für Soziales und Konsumentenschutz Erwin Buchinger,2007-03-07,2008-09-25,1384
AUS,SPÖ,Bundesminister für Soziales und Konsumentenschutz Rudolf Hundstorfer,2008-12-03,2008-12-03,1384
AUS,ÖVP,"Bundesminister für Umwelt, Jugend und Familie Martin Bartenstein",1996-04-19,1999-11-18,1329
AUS,independent,"Bundesminister für Verfassung, Reformen, Deregulierung und Justiz Josef Moser",2018-05-16,2018-12-13,NA
AUS,SPÖ,"Bundesminister für Verkehr, Innovation und Technologie Alois Stöger",2014-09-02,2015-11-26,1384
AUS,SPÖ,"Bundesminister für Verkehr, Innovation und Technologie Gerald Klug",2016-01-28,2016-04-28,1384
AUS,FPÖ,"Bundesminister für Verkehr, Innovation und Technologie Hubert Gorbach",2003-03-06,2003-09-24,463
AUS,SPÖ,"Bundesminister für Verkehr, Innovation und Technologie Jörg Leichtfried",2016-05-20,2017-09-20,1384
AUS,FPÖ,"Bundesminister für Verkehr, Innovation und Technologie Mathias Reichhold",2002-02-27,2002-09-19,463
AUS,FPÖ,"Bundesminister für Verkehr, Innovation und Technologie Michael Schmid",2000-05-11,2000-07-06,463
AUS,FPÖ,"Bundesminister für Verkehr, Innovation und Technologie Norbert Hofer",2018-04-19,2018-11-22,463
AUS,FPÖ,"Bundesminister für Verkehr, Innovation und Technologie Vizekanzler Hubert Gorbach",2003-10-22,2005-03-03,463
AUS,BZÖ,"Bundesminister für Verkehr, Innovation und Technologie Vizekanzler Hubert Gorbach",2005-04-05,2006-09-21,599
AUS,SPÖ,"Bundesminister für Verkehr, Innovation und Technologie Werner Faymann",2007-01-17,2008-11-25,1384
AUS,ÖVP,Bundesminister für Wirtschaft und Arbeit Martin Bartenstein,2000-04-27,2008-10-28,1329
AUS,ÖVP,Bundesminister für Wirtschaft und Arbeit Reinhold Mitterlehner,2008-12-03,2009-01-21,1329
AUS,ÖVP,"Bundesminister für Wirtschaft, Familie und Jugend Reinhold Mitterlehner",2009-02-27,2013-12-17,1329
AUS,ÖVP,Bundesminister für wirtschaftliche Angelegenheiten Hannes Farnleitner,1996-06-28,1999-07-15,1329
AUS,ÖVP,Bundesminister für wirtschaftliche Angelegenheiten Johannes Ditz,1996-01-31,1996-06-14,1329
AUS,ÖVP,Bundesminister für wirtschaftliche Angelegenheiten Martin Bartenstein,2000-02-10,2000-03-01,1329
AUS,ÖVP,Bundesminister für Wissenschaft und Forschung Johannes Hahn,2007-03-30,2009-12-11,1329
AUS,ÖVP,Bundesminister für Wissenschaft und Forschung Karlheinz Töchterle,2011-04-28,2013-07-06,1329
AUS,SPÖ,Bundesminister für Wissenschaft und Verkehr Caspar Einem,1997-03-20,2000-01-26,1384
AUS,FPÖ,Bundesminister für Wissenschaft und Verkehr Michael Schmid,2000-03-01,2000-03-01,463
AUS,SPÖ,"Bundesminister für Wissenschaft, Forschung und Kunst Rudolf Scholten",1996-02-29,1996-02-29,1384
AUS,ÖVP,"Bundesminister für Wissenschaft, Forschung und Wirtschaft Harald Mahrer",2017-05-17,2017-10-13,1329
AUS,ÖVP,"Bundesminister für Wissenschaft, Forschung und Wirtschaft Reinhold Mitterlehner",2014-05-23,2014-07-09,1329
AUS,ÖVP,"Bundesminister für Wissenschaft, Forschung und Wirtschaft Vizekanzler Reinhold Mitterlehner",2014-09-02,2017-04-26,1329
AUS,SPÖ,"Bundesminister für Wissenschaft, Verkehr und Kunst Rudolf Scholten",1996-04-19,1997-01-22,1384
AUS,SPÖ,"Bundesministerin für Arbeit, Gesundheit und Soziales Eleonora Hostasch",1997-02-18,2000-01-26,1384
AUS,FPÖ,"Bundesministerin für Arbeit, Gesundheit und Soziales Elisabeth Sickl",2000-02-10,2000-03-21,463
AUS,FPÖ,"Bundesministerin für Arbeit, Soziales, Gesundheit und Konsumentenschutz Beate Hartinger-Klein",2018-01-31,2018-12-13,463
AUS,ÖVP,Bundesministerin für auswärtige Angelegenheiten Benita Ferrero-Waldner,2000-03-01,2004-09-22,1329
AUS,ÖVP,Bundesministerin für auswärtige Angelegenheiten Ursula Plassnik,2004-10-21,2007-01-17,1329
AUS,SPÖ,Bundesministerin für Bildung Sonja Hammerschmid,2016-07-06,2017-10-04,1384
AUS,SPÖ,Bundesministerin für Bildung und Frauen Gabriele Heinisch-Hosek,2014-03-18,2016-02-24,1384
AUS,SPÖ,Bundesministerin für Bildung und Frauen Sonja Hammerschmid,2016-05-20,2016-06-16,1384
AUS,SPÖ,"Bundesministerin für Bildung, Wissenschaft und Kultur Claudia Schmied",2007-01-17,2007-01-17,1384
AUS,ÖVP,"Bundesministerin für Bildung, Wissenschaft und Kultur Elisabeth Gehrer",2000-04-27,2006-09-12,1329
AUS,ÖVP,Bundesministerin für Digitalisierung und Wirtschaftsstandort Margarete Schramböck,2018-04-19,2018-12-13,1329
AUS,independent,"Bundesministerin für Europa, Integration und Äußeres Karin Kneissl",2018-04-19,2018-10-25,NA
AUS,ÖVP,Bundesministerin für europäische und internationale Angelegenheiten Ursula Plassnik,2007-03-07,2008-07-10,1329
AUS,independent,Bundesministerin für Familien und Jugend Sophie Karmasin,2014-04-29,2017-10-13,NA
AUS,ÖVP,Bundesministerin für Finanzen Maria Theresia Fekter,2011-04-28,2013-11-20,1329
AUS,SPÖ,Bundesministerin für Frauen und öffentlichen Dienst Gabriele Heinisch-Hosek,2009-03-12,2013-06-13,1384
AUS,ÖVP,"Bundesministerin für Frauen, Familien und Jugend im Bundeskanzleramt Juliane Bogner-Strauß",2018-04-19,2018-12-13,1329
AUS,SPÖ,"Bundesministerin für Frauen, Medien und öffentlichen Dienst Doris Bures",2007-03-07,2008-06-07,1384
AUS,SPÖ,"Bundesministerin für Frauen, Medien und Regionalpolitik Heidrun Silhavy",2008-07-08,2008-09-12,1384
AUS,SPÖ,Bundesministerin für Frauenangelegenheiten Helga Konrad,1996-04-26,1997-01-23,1384
AUS,SPÖ,Bundesministerin für Frauenangelegenheiten und Verbraucherschutz Barbara Prammer,1997-04-10,1999-12-15,1384
AUS,SPÖ,Bundesministerin für Gesundheit Sabine Oberhauser,2014-09-02,2016-06-16,1384
AUS,ÖVP,Bundesministerin für Gesundheit und Frauen Andrea Kdolsky,2007-01-17,2007-01-17,1329
AUS,ÖVP,Bundesministerin für Gesundheit und Frauen Maria Rauch-Kallat,2003-05-08,2006-09-21,1329
AUS,SPÖ,Bundesministerin für Gesundheit und Frauen Pamela Rendi-Wagner,2017-03-14,2017-10-13,1384
AUS,SPÖ,Bundesministerin für Gesundheit und Frauen Sabine Oberhauser,2016-07-07,2016-12-14,1384
AUS,SPÖ,Bundesministerin für Gesundheit und Konsumentenschutz Christa Krammer,1996-03-14,1996-12-13,1384
AUS,ÖVP,"Bundesministerin für Gesundheit, Familie und Jugend Andrea Kdolsky",2007-03-07,2008-09-25,1329
AUS,ÖVP,Bundesministerin für Inneres Johanna Mikl-Leitner,2011-04-28,2016-03-17,1329
AUS,ÖVP,Bundesministerin für Inneres Liese Prokop,2004-12-22,2006-06-22,1329
AUS,ÖVP,Bundesministerin für Inneres Maria Theresia Fekter,2008-07-08,2010-12-22,1329
AUS,ÖVP,Bundesministerin für Justiz Beatrix Karl,2011-04-28,2013-09-17,1329
AUS,independent,Bundesministerin für Justiz Claudia Bandion-Ortner,2009-01-21,2011-03-31,NA
AUS,BZÖ,Bundesministerin für Justiz Karin Gastinger,2005-09-28,2006-07-14,599
AUS,BZÖ,Bundesministerin für Justiz Karin Miklautsch,2004-06-28,2005-07-07,599
AUS,SPÖ,Bundesministerin für Justiz Maria Berger,2007-01-17,2008-09-25,1384
AUS,ÖVP,Bundesministerin für Nachhaltigkeit und Tourismus Elisabeth Köstinger,2018-03-21,2018-11-22,1329
AUS,FPÖ,Bundesministerin für öffentliche Leistung und Sport Vizekanzler Susanne Riess-Passer,2000-05-12,2003-01-23,463
AUS,FPÖ,Bundesministerin für soziale Sicherheit und Generationen Elisabeth Sickl,2000-04-27,2000-10-19,463
AUS,FPÖ,"Bundesministerin für soziale Sicherheit, Generationen und Konsumentenschutz Ursula Haubner",2005-01-26,2005-02-04,463
AUS,BZÖ,"Bundesministerin für soziale Sicherheit, Generationen und Konsumentenschutz Ursula Haubner",2005-04-07,2006-12-15,599
AUS,ÖVP,Bundesministerin für Unterricht und kulturelle Angelegenheiten Elisabeth Gehrer,1996-03-14,2000-03-22,1329
AUS,SPÖ,"Bundesministerin für Unterricht, Kunst und Kultur Claudia Schmied",2007-03-30,2013-09-18,1384
AUS,SPÖ,"Bundesministerin für Unterricht, Kunst und Kultur Gabriele Heinisch-Hosek",2013-12-17,2014-02-24,1384
AUS,SPÖ,"Bundesministerin für Verkehr, Innovation und Technologie Doris Bures",2008-12-03,2014-07-09,1384
AUS,FPÖ,"Bundesministerin für Verkehr, Innovation und Technologie Monika Forstinger",2000-11-23,2002-01-31,463
AUS,ÖVP,Bundesministerin für Wissenschaft und Forschung Beatrix Karl,2010-01-30,2011-03-01,1329
AUS,ÖVP,Carina Felzmann,2003-06-04,2006-09-21,1329
AUS,FPÖ,Carmen Gartelgruber,2008-12-03,2014-10-23,463
AUS,ÖVP,Carmen Jeitler-Cincelli,2017-12-21,2018-11-21,1329
AUS,FPÖ,Carmen Schimanek,2014-11-20,2018-12-13,463
AUS,SPÖ,Caspar Einem,2000-02-10,2007-10-18,1384
AUS,SPÖ,Christa Krammer,1997-06-12,1998-07-09,1384
AUS,SPÖ,Christian Faul,2000-03-21,2010-06-17,1384
AUS,SPÖ,Christian Füller,2007-03-07,2008-07-10,1384
AUS,FPÖ,Christian Hafenecker,2014-01-29,2018-12-13,463
AUS,FPÖ,Christian Höbart,2008-12-03,2018-12-13,463
AUS,SPÖ,Christian Hursky,2007-09-27,2008-07-09,1384
AUS,SPÖ,Christian Kern,2017-11-09,2018-10-25,1384
AUS,SPÖ,Christian Kovacevic,2018-03-22,2018-12-13,1384
AUS,FPÖ,Christian Lausch,2008-12-03,2018-12-13,463
AUS,FPÖ,Christian Pewny,2018-03-21,2018-12-13,463
AUS,SPÖ,Christian Puswald,2003-04-29,2006-06-21,1384
AUS,FPÖ,Christian Ragger,2018-02-28,2018-10-24,463
AUS,FPÖ,Christian Ries,2018-03-21,2018-12-11,463
AUS,FPÖ,Christian Schandor,2018-03-22,2018-12-13,463
AUS,Grüne,Christiane Brunner,2008-12-03,2017-10-13,1659
AUS,SPÖ,Christine Lapp,2001-05-10,2013-07-06,1384
AUS,ÖVP,Christine Marek,2003-04-29,2013-09-18,1329
AUS,SPÖ,Christine Muttonen,2000-02-10,2017-09-20,1384
AUS,ÖVP,Christof Zernatto,1999-11-18,2002-07-09,1329
AUS,BZÖ,Christoph Hagen,2008-11-25,2012-07-05,599
AUS,independent,Christoph Hagen,2012-10-16,2017-10-13,NA
AUS,ÖVP,Christoph Kainz,2003-06-04,2008-07-09,1329
AUS,SPÖ,Christoph Matznetter,2003-02-26,2017-10-13,1384
AUS,ÖVP,Christoph Stark,2018-02-28,2018-12-13,1329
AUS,NEOS,Christoph Vavrik,2013-11-20,2016-11-24,1970
AUS,ÖVP,Christoph Vavrik,2017-06-29,2017-06-29,1329
AUS,ÖVP,Christoph Zarits,2018-01-31,2018-12-13,1329
AUS,ÖVP,Claudia Durchschlag,2007-10-18,2017-10-13,1329
AUS,NEOS,Claudia Gamon,2015-10-14,2018-12-13,1970
AUS,ÖVP,Claudia Plakolm,2017-12-21,2018-12-11,1329
AUS,ÖVP,Cordula Frieser,1996-01-31,2003-12-03,1329
AUS,SPÖ,Cornelia Ecker,2014-01-29,2018-12-13,1384
AUS,FPÖ,Dagmar Belakowitsch-Jenewein,2006-11-29,2018-12-13,463
AUS,SPÖ,Daniela Holzinger-Vogtenhuber,2014-03-18,2017-06-28,1384
AUS,independent,Daniela Holzinger-Vogtenhuber,2017-09-20,2017-10-13,NA
AUS,PILZ,Daniela Holzinger-Vogtenhuber,2017-11-09,2018-11-16,6137
AUS,JETZT,Daniela Holzinger-Vogtenhuber,2018-11-21,2018-12-13,6137
AUS,Grüne,Daniela Musiol,2008-12-03,2016-04-27,1659
AUS,FPÖ,David Lasar,2016-09-21,2018-12-11,463
AUS,FPÖ,Detlev Neudeck,2000-04-27,2006-04-27,463
AUS,BZÖ,Detlev Neudeck,2006-05-18,2006-09-21,599
AUS,SPÖ,Dieter Antoni,1996-01-31,2002-05-22,1384
AUS,FPÖ,Dieter Böhmdorfer,2000-07-06,2005-08-11,463
AUS,Grüne,Dieter Brosz,1999-12-15,2017-10-13,1659
AUS,ÖVP,Dieter Lukesch,1996-02-27,1999-07-14,1329
AUS,ÖVP,Dieter Teller,1999-04-21,1999-04-21,1329
AUS,SPÖ,Dietmar Hoscher,2003-03-26,2006-07-13,1384
AUS,SPÖ,Dietmar Keck,2003-05-08,2018-12-13,1384
AUS,ÖVP,Dietrich Teller,1999-07-14,1999-07-14,1329
AUS,ÖVP,Dominik Schrott,2018-03-21,2018-06-14,1329
AUS,SPÖ,Doris Bures,1996-02-29,2017-11-09,1384
AUS,Grüne,Doris Kammerlander,1996-03-14,1999-07-16,1659
AUS,SPÖ,Doris Margreiter,2018-01-31,2018-12-13,1384
AUS,ÖVP,Dorothea Schittenhelm,2007-03-29,2017-06-28,1329
AUS,NEOS,Douglas Hoyos-Trauttmansdorff,2018-02-28,2018-12-13,1970
AUS,ÖVP,Edeltraud Gatterer,1996-02-29,2002-07-11,1329
AUS,ÖVP,Edeltraud Lentsch,2000-03-01,2008-07-10,1329
AUS,FPÖ,Edith Haller,1996-02-27,2002-09-19,463
AUS,FPÖ,Edith Mühlberghuber,2008-12-03,2018-12-13,463
AUS,FPÖ,Eduard Mainoni,2000-04-27,2004-06-04,463
AUS,ÖVP,Efgani Dönmez,2017-12-13,2018-06-14,1329
AUS,independent,Efgani Dönmez,2018-09-26,2018-12-13,NA
AUS,SPÖ,Eleonora Hostasch,1996-01-31,2000-03-22,1384
AUS,FPÖ,Elfriede Madl,1996-02-29,1999-07-16,463
AUS,SPÖ,Elisabeth Feichtinger,2018-01-31,2018-12-13,1384
