country,iso3
CZ,CZE
ESP,ESP
EST,EST
FR,FRA
GER,DEU
GR,GRC
HUN,HUN
IT,ITA
NL,NLD
POL,POL
POR,PRT
SLO,SVK
SV,SWE
UK,GBR
ICE,ISL
CYP,CYP
LUX,LUX
MAL,MLT
SWI,CHE
NOR,NOR
TUR,TUR
CRO,HRV
SLE,SVN
ROM,ROU
LITH,LTU
LAT,LVA
BUL,BGR
FIN,FIN
AUS,AUT
IRL,IRL
GE,DEU
DK,DNK
BE,BEL
