party_name,country_name,party_name_english,party_name_short,partyfacts_id,country_short,party_id
Latvijas Vienibas Partija,Latvia,Latvian Unity Party,LVP,373,LVA,lva-lvp
Reformu partija,Latvia,Reform Party,ZRP,1476,LVA,lva-zrp
Tevzemei un Brivibai,Latvia,For Fatherland and Freedom,TB,671,LVA,lva-tb
Darbo Partija,Lithuania,Labour Party,DP,102,LTU,ltu-dp
Drasos Kelias,Lithuania,The Way of Courage,DK,74,LTU,ltu-dk
Jaunoji Lietuva,Lithuania,Young Lithuania,JL,1026,LTU,ltu-jl
Lietuviu tautininku sajunga,Lithuania,Lithuanian National Union List,LTS,377,LTU,ltu-lts
Lietuvos Centro Partija,Lithuania,Lithuanian Centre Party,LCP,5455,LTU,ltu-lcp
Lietuvos komunistu partija,Lithuania,Communist Party of Lithuania,LKP,1587,LTU,ltu-lkp
Lietuvos komunistu partija TSKP platformoje,Lithuania,Lithuanian Communist Party on the CPSU Platform,TSKP,,LTU,ltu-tsk
Lietuvos laisves sajunga,Lithuania,Lithuanian Liberty Union,LLaS,1410,LTU,ltu-lla
Socialist People's Front,Lithuania,Socialist People's Front,SPF / Fronto,1250,LTU,ltu-spf
Tautos prisikelimo partija,Lithuania,National Resurrection Party,TPP,347,LTU,ltu-tpp
Tvarka ir teisingumas – Liberalu Demokratu Partija,Lithuania,Order and Justice,TT,237,LTU,ltu-tt
Aktionskomitee Rente – Comité d’action pensions | Alternativ Demokratesch Reformpartei – Parti réformiste d'alternative démocratique,Luxembourg,Alternative Democratic Reform Party,ADR,1114,LUX,lux-adr
Déi Lénk – La Gauche – Die Linke,Luxembourg,The Left (Luxembourg),Dei Lenk,271,LUX,lux-dei
Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,Luxembourg,Communist Party of Luxembourg,KPL,1647,LUX,lux-kpl
National Bewegung,Luxembourg,National Movement,NB,995,LUX,lux-nb
50PLUS,Netherlands,50PLUS,50PLUS,714,NLD,nld-50p
Centrum Democraten,Netherlands,Centre Democrats,CD,1472,NLD,nld-cd
Forum voor Democratie,Netherlands,Forum for Democracy,FvD,5855,NLD,nld-fvd
Gereformeerd Politiek Verbond,Netherlands,Reformed Political League,GPV,1602,NLD,nld-gpv
Leefbaar Nederland,Netherlands,Livable Netherlands,LN,1420,NLD,nld-ln
Lijst Pim Fortuyn,Netherlands,Fortuyn List,LPF,1528,NLD,nld-lpf
Partij voor de Dieren,Netherlands,Party for the Animals,PvdD,1467,NLD,nld-pvd
Partij voor de Vrijheid,Netherlands,Party for Freedom,PVV,298,NLD,nld-pvv
Socialistiese Partij,Netherlands,Socialist Party (Netherlands),SP,1363,NLD,nld-sp
Staatkundig Gereformeerde Partij,Netherlands,Political Reform Party,SGP,1178,NLD,nld-sgp
Fremskrittspartiet,Norway,Progress Party (Norway),FrP,101,NOR,nor-frp
Kristelig Folkeparti,Norway,Christian Democratic Party,KrF,705,NOR,nor-krf
Kystpartiet,Norway,Coastal Party,Kp,677,NOR,nor-kp
Rød Valgallianse,Norway,Red Party,Rodt,44,NOR,nor-rod
Senterpartiet,Norway,Centre Party,SP,1072,NOR,nor-sp
Sosialistisk Venstreparti,Norway,Socialist Left Party,SV,719,NOR,nor-sv
Koalicja Odnowy Rzeczypospolitej Wolnosc i Nadzieja,Poland,Coalition for the Renewal of the Republic â€“ Liberty and Hope,KORWiN,4629,POL,pol-kor
Koalicja Odnowy Rzeczypospolitej Wolnosc i Nadzieja KORWiN,Poland,Coalition for the Renewal of the Republic â€“ Liberty and Hope (KORWiN),ZRP,4629,POL,pol-zrp
Kukiz'15,Poland,Kukiz '15,Kukiz '15,4631,POL,pol-kuk
Lewica Razem,Poland,Left Together,LR,,POL,pol-lr
Liga Polskich Rodzin,Poland,League of Polish Families,LPR,1768,POL,pol-lpr
Partia Razem,Poland,Together Party,Razem,4871,POL,pol-raz
Partia X,Poland,Party X,X,146,POL,pol-x
Polska Zjednoczona Partia Robotnicza,Poland,Polish United Workers' Party,PZPR,1286,POL,pol-pzp
Polski Zwiazek Zachodni,Poland,Polish Western Union,PZZ,,POL,pol-pzz
Prawo i Sprawiedliwosc,Poland,Law and Justice,PiS,1565,POL,pol-pis
Ruch Narodowy,Poland,National Movement,RN,3224,POL,pol-rn
Ruch Odbudowy Polski,Poland,Movement for the Reconstruction of Poland,ROP,1712,POL,pol-rop
Samoobrona Rzeczypospolitej Polskiej,Poland,Self-Defense of the Republic Poland,SRP,727,POL,pol-srp
Unia Polityki Realnej | Kongres Nowej Prawicy,Poland,Real Politics Union | Congress of the New Right,UPR|KNP,283,POL,pol-upr
Zjednoczenie Chrzescijansko-Narodowe,Poland,Christian National Union,ZChN,70,POL,pol-zch
Bloco de Esquerda,Portugal,Left Bloc,BE,1310,PRT,prt-be
Chega!,Portugal,Enough!,CH,,PRT,prt-ch
Coligação Democrático Unitária,Portugal,Unitary Democratic Coalition (PEV & PCP),CDU (PEV & PCP),284,PRT,prt-cdu
Partido Comunista Português,Portugal,Portuguese Communist Party,PCP,310,PRT,prt-pcp
Partidul Poporului – Dan Diaconescu,Romania,People's Party â€“ Dan Diaconescu,PPDD,2474,ROU,rou-ppd
Partidul România Mare,Romania,Greater Romania Party,PRM,1305,ROU,rou-prm
Partidul România Unita,Romania,United Romania Party,PRU,5854,ROU,rou-pru
Partidul Socialist al Muncii,Romania,Socialist Party of Labour,PSM,1217,ROU,rou-psm
Partidul Socialist Democrat Român,Romania,Romanian Socialist Democratic Party,PSoDR,1078,ROU,rou-pso
Partidul Unitatii Nationale a Romanilor,Romania,Romanian National Unity Party,PUNR,1451,ROU,rou-pun
Aliancia nového obcana,Slovakia,Alliance of the New Citizen,ANO,217,SVK,svk-ano
Komunistická strana Slovenska,Slovakia,Communist Party of Slovakia,KSS,340,SVK,svk-kss
Ludová strana Naše Slovensko,Slovakia,Kotleba - People's Party Our Slovakia,L'SNS,656,SVK,svk-lsn
Obcianska konzervatívna strana,Slovakia,Civic Conservative Party,OKS,665,SVK,svk-oks
Obycajní ludia a nezávislé osobnosti,Slovakia,Ordinary People,OLaNO,2130,SVK,svk-ola
Pravá Slovenská národná strana,Slovakia,Real Slovak National Party,PSNS,129,SVK,svk-psn
Sloboda a solidarita,Slovakia,Freedom and Solidarity,SaS,1386,SVK,svk-sas
Slovenská národná strana,Slovakia,Slovak National Party,SNS,730,SVK,svk-sns
Sme Rodina – Boris Kollár,Slovakia,We are family,SR,4873,SVK,svk-sr
Smer – sociálna demokracia,Slovakia,Direction - Social Democracy,Smer,311,SVK,svk-sme
Strana obcianskeho porozumenia,Slovakia,Party of Civic Understanding,SOP,9,SVK,svk-sop
Združenie robotníkov Slovenska,Slovakia,Association of Workers of Slovakia,ZRS,230,SVK,svk-zrs
Levica,Slovenia,The Left,L,6131,SVN,svn-l
Lista Marjana Šarca,Slovenia,List of Marjan Sarec,LMS,6132,SVN,svn-lms
Slovenska Demokratska Stranka,Slovenia,Slovenian Democratic Party,SDS,472,SVN,svn-sds
Slovenska nacionalna stranka,Slovenia,Slovenian National Party,SNS,96,SVN,svn-sns
