"essround","year","partyname","countryname","countrynameshort"
5,2010,"Det Konservative Folkeparti - Conservative","Denmark","DNK"
5,2010,"SF- Socialistisk Folkeparti - the Socialist People's Party","Denmark","DNK"
5,2010,"Dansk Folkeparti - Danish peoples party","Denmark","DNK"
5,2010,"Kristendemokraterne - Christian democtrats","Denmark","DNK"
5,2010,"Venstre, Danmarks Liberale Parti - Venstre","Denmark","DNK"
5,2010,"Ny Alliance - New alliance","Denmark","DNK"
5,2010,"Enhedslisten, De Rød-Grønne - The Red-Green Alliance","Denmark","DNK"
5,2010,"Andet - other","Denmark","DNK"
5,2010,"Erakond Isamaa ja Res Publica Liit","Estonia","EST"
5,2010,"Eesti Keskerakond","Estonia","EST"
5,2010,"Eesti Reformierakond","Estonia","EST"
5,2010,"Eestimaa Rahvaliit","Estonia","EST"
5,2010,"Sotsiaaldemokraatlik Erakond","Estonia","EST"
5,2010,"Erakond Eestimaa Rohelised","Estonia","EST"
5,2010,"Other","Estonia","EST"
5,2010,"Eesti Iseseisvuspartei","Estonia","EST"
5,2010,"Erakond Eesti Kristlikud Demokraadid","Estonia","EST"
5,2010,"Üksikkandidaat","Estonia","EST"
5,2010,"Mitte kellegi poolt","Estonia","EST"
5,2010,"Partido Popular","Spain","ESP"
5,2010,"Partido Socialista Obrero Español (PSOE)","Spain","ESP"
5,2010,"Izquierda Unida (IU)","Spain","ESP"
5,2010,"Convergència i Unió (CiU)","Spain","ESP"
5,2010,"Esquerra Repubicana de Catalunya (ERC)","Spain","ESP"
5,2010,"Partido Nacionalista Vasco (PNV)","Spain","ESP"
5,2010,"Bloque Nacionalista Galego (BNG)","Spain","ESP"
5,2010,"Coalición Canaria-Partido Nacionalista Canario (CC-PNC)","Spain","ESP"
5,2010,"Nafarroa-Bai (NA-BAI)","Spain","ESP"
5,2010,"Unión Progreso y Democracia (UPyD)","Spain","ESP"
5,2010,"Other","Spain","ESP"
5,2010,"Esquerra Republicana de Catalunya (ERC)","Spain","ESP"
5,2010,"Blank vote","Spain","ESP"
5,2010,"Spoiled vote","Spain","ESP"
5,2010,"The National Coalition Party","Finland","FIN"
5,2010,"The Swedish People´s Party (SPP)","Finland","FIN"
5,2010,"Liberals, (The liberal party of Finland)","Finland","FIN"
5,2010,"The Centre Party","Finland","FIN"
5,2010,"True Finns","Finland","FIN"
5,2010,"Christian Democrats","Finland","FIN"
5,2010,"Patriotic People's Movement","Finland","FIN"
5,2010,"Finnish People's Blue-whites","Finland","FIN"
5,2010,"Senior Citizens' Party","Finland","FIN"
5,2010,"Joint Responsibility Party","Finland","FIN"
5,2010,"Independence Party","Finland","FIN"
5,2010,"For the Poor","Finland","FIN"
5,2010,"The Green League","Finland","FIN"
5,2010,"Finnish Social Democratic Party","Finland","FIN"
5,2010,"The Left Alliance","Finland","FIN"
5,2010,"Communist Party of Finland","Finland","FIN"
5,2010,"The Communist Workers' Party of Finland","Finland","FIN"
5,2010,"Workers Party","Finland","FIN"
5,2010,"Other","Finland","FIN"
5,2010,"FN (Front National)","France","FRA"
5,2010,"LO (Lutte ouvrière)","France","FRA"
5,2010,"MoDem (Mouvement Démocrate)","France","FRA"
5,2010,"Nouveau Centre","France","FRA"
5,2010,"NPA (Nouveau Parti Anti-capitaliste)","France","FRA"
5,2010,"PC (Parti communiste)","France","FRA"
5,2010,"PRG (Parti Radical de Gauche)","France","FRA"
5,2010,"PS (Parti Socialiste)","France","FRA"
5,2010,"UMP (Union pour la Majorité Présidentielle)","France","FRA"
5,2010,"Les Verts – Europe Ecologie","France","FRA"
5,2010,"Autre (PRECISEZ)","France","FRA"
5,2010,"CPNT (Chasse, Pêche, Nature et Traditions)","France","FRA"
5,2010,"LCR (Ligue Communiste Révolutionnaire)","France","FRA"
5,2010,"LO (Lutte Ouvrière)","France","FRA"
5,2010,"MPF (Mouvement pour la France)","France","FRA"
5,2010,"PC (Parti Communiste)","France","FRA"
5,2010,"UDF-MoDem (Mouvement Democrate)","France","FRA"
5,2010,"Les Verts","France","FRA"
5,2010,"Autres mouvements écologistes","France","FRA"
5,2010,"Divers gauche","France","FRA"
5,2010,"Divers droite","France","FRA"
5,2010,"Autre","France","FRA"
5,2010,"Blanc","France","FRA"
5,2010,"Nul","France","FRA"
5,2010,"Conservative","United Kingdom","GBR"
5,2010,"Labour","United Kingdom","GBR"
5,2010,"Liberal Democrat","United Kingdom","GBR"
5,2010,"Scottish National Party","United Kingdom","GBR"
5,2010,"Plaid Cymru","United Kingdom","GBR"
5,2010,"Green Party","United Kingdom","GBR"
5,2010,"Other","United Kingdom","GBR"
5,2010,"Ulster Unionist Party (nir)","Northern Ireland","NIR"
5,2010,"Democratic Unionist Party (nir)","Northern Ireland","NIR"
5,2010,"Sinn Fein (nir)","Northern Ireland","NIR"
5,2010,"Social Democratic and Labour Party (nir)","Northern Ireland","NIR"
5,2010,"Alliance Party (nir)","Northern Ireland","NIR"
5,2010,"Progressive Unionist Party (nir)","Northern Ireland","NIR"
5,2010,"United Kingdom Unionist Party (nir)","Northern Ireland","NIR"
5,2010,"Women's Coalition (nir)","Northern Ireland","NIR"
5,2010,"United Unionist Assembly Party (nir)","Northern Ireland","NIR"
5,2010,"Northern Ireland Unionist Party (nir)","Northern Ireland","NIR"
5,2010,"Workers Party (nir)","Northern Ireland","NIR"
5,2010,"Other (nir)","Northern Ireland","NIR"
5,2010,"The Panhellenic Socialist Movement (PASOK)","Greece","GRC"
5,2010,"New Democracy (ND)","Greece","GRC"
5,2010,"The Communist Party of Greece (KKE)","Greece","GRC"
5,2010,"The Popular Orthodox Rally (LAOS)","Greece","GRC"
5,2010,"The Coalition of the Radical Left (SYRIZA)","Greece","GRC"
5,2010,"The Ecologist Greens (OP)","Greece","GRC"
5,2010,"Democratic Alliance (DS)","Greece","GRC"
5,2010,"Democratic Left (DIMAR)","Greece","GRC"
5,2010,"Null","Greece","GRC"
5,2010,"No one","Greece","GRC"
5,2010,"Invalid","Greece","GRC"
5,2010,"Golden Dawn (Xrusi Augi)","Greece","GRC"
5,2010,"The Liberal Alliance (FS)","Greece","GRC"
5,2010,"The Anticapitalist Left Cooperation for the Overthrow (ANTARSYA)","Greece","GRC"
5,2010,"Smokers' Groups for Art and Visual Formation (KOTES)","Greece","GRC"
5,2010,"Independent Citizens' Movement (SPITHA)","Greece","GRC"
5,2010,"Fidesz - KDNP","Hungary","HUN"
5,2010,"MDF","Hungary","HUN"
5,2010,"MIEP","Hungary","HUN"
5,2010,"MSZP","Hungary","HUN"
5,2010,"Munkaspart","Hungary","HUN"
5,2010,"SZDSZ","Hungary","HUN"
5,2010,"Centrum Part","Hungary","HUN"
5,2010,"Keresztenydemokrata Part - Kereszteny Centrum Osszefogas","Hungary","HUN"
5,2010,"Magyar Videk es Polgari Part","Hungary","HUN"
5,2010,"MCF Roma Osszefogas Part","Hungary","HUN"
5,2010,"Jobbik Magyarorszagert Mozgalom","Hungary","HUN"
5,2010,"Magyarorszagi Szocialdemokrata Part","Hungary","HUN"
5,2010,"Lehet Mas a Politika (LMP)","Hungary","HUN"
5,2010,"Fianna Fáil","Ireland","IRL"
5,2010,"Fine Gael","Ireland","IRL"
5,2010,"Green Party","Ireland","IRL"
5,2010,"Independent","Ireland","IRL"
5,2010,"Labour","Ireland","IRL"
5,2010,"People Before Profit","Ireland","IRL"
5,2010,"Sinn Fein","Ireland","IRL"
5,2010,"Socialist Party","Ireland","IRL"
5,2010,"United Left Alliance","Ireland","IRL"
5,2010,"Other","Ireland","IRL"
5,2010,"Mifleget Ha' Avoda","Israel","ISR"
5,2010,"Ha' Likud","Israel","ISR"
5,2010,"Kadima","Israel","ISR"
5,2010,"Shas","Israel","ISR"
5,2010,"Meretz","Israel","ISR"
5,2010,"The Jewish House","Israel","ISR"
5,2010,"Ya'Hadut Ha'Tora","Israel","ISR"
5,2010,"Gil- Gimlaey Israeli la' Knesset","Israel","ISR"
5,2010,"Israel Beiteinu","Israel","ISR"
5,2010,"Ha'ihud HaLeumi","Israel","ISR"
5,2010,"HaTnu`a HaYeruqa","Israel","ISR"
5,2010,"Ale Yarok","Israel","ISR"
5,2010,"HaYerukim","Israel","ISR"
5,2010,"Hadash","Israel","ISR"
5,2010,"Balad","Israel","ISR"
5,2010,"Ra'am- Ta'al","Israel","ISR"
5,2010,"other","Israel","ISR"
5,2010,"a white Ballot (empty ballot note)","Israel","ISR"
5,2010,"did not vote","Israel","ISR"
5,2010,"Lithuanian Social Democratic Party (LSDP)","Lithuania","LTU"
5,2010,"Union of Russians of Lithuania (LRS)","Lithuania","LTU"
5,2010,"Party 'Front' (Frontas)","Lithuania","LTU"
5,2010,"Lithuanian Centre Party (LCP)","Lithuania","LTU"
5,2010,"Homeland Union - Lithuanian Christian Democrats (TS-LKD)","Lithuania","LTU"
5,2010,"New Union (Social Liberals) (NS)","Lithuania","LTU"
5,2010,"Party of Civic Democracy (PDP)","Lithuania","LTU"
5,2010,"Electoral Action of Poles in Lithuania (LLRA)","Lithuania","LTU"
5,2010,"National Resurrection Party (TPP)","Lithuania","LTU"
5,2010,"Labour Party (DP)","Lithuania","LTU"
5,2010,"Labourist Party (LP)","Lithuania","LTU"
5,2010,"Liberals' Movement of the Republic of Lithuania (LRLS)","Lithuania","LTU"
5,2010,"Lithuanian Peasant Popular Union (LVLS)","Lithuania","LTU"
5,2010,"Party Order and Justice (TT)","Lithuania","LTU"
5,2010,"Liberal and Centre Union (LiCS)","Lithuania","LTU"
5,2010,"Party 'Young Lithuania' (JL)","Lithuania","LTU"
5,2010,"Lithuanian Social Democratic Union (LSDS)","Lithuania","LTU"
5,2010,"Lithuanian Freedom Union (LLS)","Lithuania","LTU"
5,2010,"Lithuanian People's Union 'For the Fair Lithuania' (UTL)","Lithuania","LTU"
5,2010,"Other","Lithuania","LTU"
5,2010,"The Coalition Labour Party + Youth","Lithuania","LTU"
5,2010,"Did not vote for a candidate list","Lithuania","LTU"
5,2010,"Does not know if voted for a candidate list","Lithuania","LTU"
5,2010,"Party for Freedom and Democracy","Netherlands","NLD"
5,2010,"Labour Party","Netherlands","NLD"
5,2010,"PVV (List Wilders)","Netherlands","NLD"
5,2010,"Christian Democratic Party","Netherlands","NLD"
5,2010,"Socialistic Party","Netherlands","NLD"
5,2010,"Democrats `66","Netherlands","NLD"
5,2010,"Green Left","Netherlands","NLD"
5,2010,"Christian Union","Netherlands","NLD"
5,2010,"Social Reformed Party","Netherlands","NLD"
5,2010,"Party for the Animals","Netherlands","NLD"
5,2010,"TON (List Verdonk)","Netherlands","NLD"
5,2010,"Other","Netherlands","NLD"
5,2010,"Blanc","Netherlands","NLD"
5,2010,"The Party Red (RØDT)","Norway","NOR"
5,2010,"Socialist Left Party (SV)","Norway","NOR"
5,2010,"Labour Party (A)","Norway","NOR"
5,2010,"Liberal party (V)","Norway","NOR"
5,2010,"Christian Democratic Party (KRF)","Norway","NOR"
5,2010,"Centre Party (SP)","Norway","NOR"
5,2010,"Conservative Party (H)","Norway","NOR"
5,2010,"Progress Party (FRP)","Norway","NOR"
5,2010,"Coastal Party (KYST)","Norway","NOR"
5,2010,"Other","Norway","NOR"
5,2010,"League of Polish Families","Poland","POL"
5,2010,"National Party of Retirees and Pensioners","Poland","POL"
5,2010,"Civic Platform","Poland","POL"
5,2010,"Democratic Party demokraci.pl","Poland","POL"
5,2010,"Polish Peasants' Party","Poland","POL"
5,2010,"Right of the Republic","Poland","POL"
5,2010,"Law and Justice","Poland","POL"
5,2010,"Self-defence","Poland","POL"
5,2010,"Social Democracy of Poland","Poland","POL"
5,2010,"Democratic Left Alliance","Poland","POL"
5,2010,"Democratic Party","Poland","POL"
5,2010,"Real Politics Union","Poland","POL"
5,2010,"Labour Union","Poland","POL"
5,2010,"Other party","Poland","POL"
5,2010,"Left and Democrats","Poland","POL"
5,2010,"Polish Labour Party","Poland","POL"
5,2010,"Polish Peasants Party","Poland","POL"
5,2010,"Bloco de Esquerda (BE)","Portugal","PRT"
5,2010,"Centro Democrático Social - Partido Popular (CDS-PP)","Portugal","PRT"
5,2010,"Coligação Democrática Unitária (CDU)","Portugal","PRT"
5,2010,"Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado (PCTP-MRPP)","Portugal","PRT"
5,2010,"Partido Democrático do Atlântico","Portugal","PRT"
5,2010,"Partido Humanista (PH)","Portugal","PRT"
5,2010,"Nova democracia (PND)","Portugal","PRT"
5,2010,"Partido Nacional Renovador (PNR)","Portugal","PRT"
5,2010,"Partido Operário de Unidade Socialista (POUS)","Portugal","PRT"
5,2010,"Partido Social Democrata (PSD)","Portugal","PRT"
5,2010,"Partido Socialista (PS)","Portugal","PRT"
5,2010,"Outro","Portugal","PRT"
5,2010,"Votou em branco / nulo","Portugal","PRT"
5,2010,"United Russia (ER)","Russia","RUS"
5,2010,"Communist Party of the Russian Federation (KPRF)","Russia","RUS"
5,2010,"Liberal Democratic Party of Russia (LDPR)","Russia","RUS"
5,2010,"Yabloko","Russia","RUS"
5,2010,"98. Other: Agrarian Party of Russia (APR)","Russia","RUS"
5,2010,"Fair Russia (SR)","Russia","RUS"
5,2010,"Right Cause (PD)","Russia","RUS"
5,2010,"Solidarity (Solidarnost)","Russia","RUS"
5,2010,"Coalition for Russia without despotism and corruption (KRPK)","Russia","RUS"
5,2010,"98. Other: Patriots of Russia (PR)","Russia","RUS"
5,2010,"Union of Right Forces (SPS)","Russia","RUS"
5,2010,"Agrarian Party of Russia (APR)","Russia","RUS"
5,2010,"Centern","Sweden","SWE"
5,2010,"Folkpartiet liberalerna","Sweden","SWE"
5,2010,"Kristdemokraterna","Sweden","SWE"
5,2010,"Miljöpartiet de gröna","Sweden","SWE"
5,2010,"Moderata samlingspartiet","Sweden","SWE"
5,2010,"Socialdemokraterna","Sweden","SWE"
5,2010,"Vänsterpartiet","Sweden","SWE"
5,2010,"FI (Feministiskt initiativ)","Sweden","SWE"
5,2010,"Junilistan","Sweden","SWE"
5,2010,"Sverigedemokraterna","Sweden","SWE"
5,2010,"Annat parti","Sweden","SWE"
5,2010,"Democratic Party of Pensioners of Slovenia - DESUS","Slovenia","SVN"
5,2010,"Liberal Democracy of Slovenia - LDS","Slovenia","SVN"
5,2010,"LIPA  - Party","Slovenia","SVN"
5,2010,"New Slovenia - Christian Peoples Party - NSi","Slovenia","SVN"
5,2010,"Slovenian Democratic Party - SDS","Slovenia","SVN"
5,2010,"Slovene Peoples Party - SLS","Slovenia","SVN"
5,2010,"Slovene National Party - SNS","Slovenia","SVN"
5,2010,"Social Democrats - SD","Slovenia","SVN"
5,2010,"ZARES - New Politics","Slovenia","SVN"
5,2010,"Other","Slovenia","SVN"
5,2010,"Slovak National Party (SNS)","Slovakia","SVK"
5,2010,"Slovak Democratic Christian Union (SDKU)","Slovakia","SVK"
5,2010,"SMER-Social Democracy","Slovakia","SVK"
5,2010,"Most-Híd","Slovakia","SVK"
5,2010,"Christian Democratic Movement (KDH)","Slovakia","SVK"
5,2010,"Freedom and Solidarity (SaS)","Slovakia","SVK"
5,2010,"Other","Slovakia","SVK"
5,2010,"Block of Lytvyn","Ukraine","UKR"
5,2010,"Block of Yulia Tymoshenko","Ukraine","UKR"
5,2010,"'People's Self-defense' (Yu.Lutsenko)","Ukraine","UKR"
5,2010,"All-Ukrainian union 'Freedom' (O.Tyagnybok)","Ukraine","UKR"
5,2010,"Communist party of Ukraine","Ukraine","UKR"
5,2010,"Party of regions","Ukraine","UKR"
5,2010,"Party 'PUNCH' of Vitaly Klychko","Ukraine","UKR"
5,2010,"Political party 'Civil position' (A.Grytsenko)","Ukraine","UKR"
5,2010,"Political party 'Our Ukraine' (V.Yuschenko)","Ukraine","UKR"
5,2010,"Political pary 'Power Ukraine' (S.Tygypko)","Ukraine","UKR"
5,2010,"Political party 'Front of changes' (A.Yatsenuk)","Ukraine","UKR"
5,2010,"Progressive socialist party of Ukraine","Ukraine","UKR"
5,2010,"Socialist Party of Ukraine","Ukraine","UKR"
5,2010,"Other","Ukraine","UKR"
5,2010,"Block 'Our Ukraine - People's self-defense'","Ukraine","UKR"
5,2010,"Socialist party of Ukraine","Ukraine","UKR"
5,2010,"Against all","Ukraine","UKR"
6,2012,"Partia Socialiste e Shqipërisë (PS)","Albania","ALB"
6,2012,"Partia Demokratike e Shqipërisë (PD)","Albania","ALB"
6,2012,"Lëvizja Socialiste për Integrim (LSI)","Albania","ALB"
6,2012,"Partia Republikane e Shqipërisë (PR)","Albania","ALB"
6,2012,"Partia Socialdemokrate e Shqipërisë (PSD)","Albania","ALB"
6,2012,"Partia Drejtësi, Integrim dhe Unitet (PDIU)","Albania","ALB"
6,2012,"Partia Bashkimi për të Drejtat e Njeriut (PBDNJ)","Albania","ALB"
6,2012,"Fryma e Re Demokratike (FRD)","Albania","ALB"
6,2012,"Aleanca Kuq e Zi (AK)","Albania","ALB"
6,2012,"Other","Albania","ALB"
6,2012,"Groen!","Belgium","BEL"
6,2012,"CD&V","Belgium","BEL"
6,2012,"N-VA","Belgium","BEL"
6,2012,"Lijst Dedecker","Belgium","BEL"
6,2012,"SP.A","Belgium","BEL"
6,2012,"PVDA+","Belgium","BEL"
6,2012,"Vlaams Belang","Belgium","BEL"
6,2012,"Open VLD","Belgium","BEL"
6,2012,"CDH","Belgium","BEL"
6,2012,"Ecolo","Belgium","BEL"
6,2012,"Front National","Belgium","BEL"
6,2012,"MR","Belgium","BEL"
6,2012,"PS","Belgium","BEL"
6,2012,"PTB","Belgium","BEL"
6,2012,"Parti Populaire","Belgium","BEL"
6,2012,"Other","Belgium","BEL"
6,2012,"Blanco","Belgium","BEL"
6,2012,"Ongeldig","Belgium","BEL"
6,2012,"GERB","Bulgaria","BGR"
6,2012,"Balgarska sotsialisticheska partia (BSP)","Bulgaria","BGR"
6,2012,"Dvizhenie za prava i svobodi (DPS)","Bulgaria","BGR"
6,2012,"Sayuz na demokratichnite sili (SDS)","Bulgaria","BGR"
6,2012,"Demokrati za silna Bulgaria (DSB)","Bulgaria","BGR"
6,2012,"Partia Ataka","Bulgaria","BGR"
6,2012,"Red, zakonnost i spravedlivost (RZS)","Bulgaria","BGR"
6,2012,"Partia „Balgarski sotsialdemokrati”","Bulgaria","BGR"
6,2012,"VMRO - BND","Bulgaria","BGR"
6,2012,"PP „Zelena partia” (Aleksandar Karakachanov)","Bulgaria","BGR"
6,2012,"NDSV","Bulgaria","BGR"
6,2012,"Partia „Dvizhenie Bulgaria na grazhdanite” (M.Kuneva)","Bulgaria","BGR"
6,2012,"Grazhdansko obedinenie za realna demokratsia (S.Binev)","Bulgaria","BGR"
6,2012,"Sayuz na svobodnite demokrati (SSD)","Bulgaria","BGR"
6,2012,"PP „Novoto vreme” (Emil Koshlukov)","Bulgaria","BGR"
6,2012,"Sayuz na patriotichnite sili „Zashtita”","Bulgaria","BGR"
6,2012,"Drugata Bulgaria","Bulgaria","BGR"
6,2012,"Narodna partia „Svoboda i dostoynstvo“","Bulgaria","BGR"
6,2012,"Other","Bulgaria","BGR"
6,2012,"PP GERB","Bulgaria","BGR"
6,2012,"PP Ataka","Bulgaria","BGR"
6,2012,"PP Red, zakonnost i spravedlivost (RZS)","Bulgaria","BGR"
6,2012,"PP VMRO – Balgarsko natsionalno dvizhenie","Bulgaria","BGR"
6,2012,"PP BZNS","Bulgaria","BGR"
6,2012,"PP Natsionalen front za dpasenie na Bulgaria","Bulgaria","BGR"
6,2012,"KP Sayuz na desnite sili","Bulgaria","BGR"
6,2012,"PP Natsionalno dvizhenie Edinstvo","Bulgaria","BGR"
6,2012,"PP Edinna narodna partia","Bulgaria","BGR"
6,2012,"PP Partia za horata ot naroda","Bulgaria","BGR"
6,2012,"PP Balgarska demokratichna obshtnost","Bulgaria","BGR"
6,2012,"Kandidati, izdignati ot Initsiativni komiteti","Bulgaria","BGR"
6,2012,"Swiss People's Party","Switzerland","CHE"
6,2012,"Socialist Party","Switzerland","CHE"
6,2012,"Radical Liberals","Switzerland","CHE"
6,2012,"Christian Democrats","Switzerland","CHE"
6,2012,"Green Party","Switzerland","CHE"
6,2012,"Green Liberal Party","Switzerland","CHE"
6,2012,"Bourgois-democratic Party","Switzerland","CHE"
6,2012,"Evangelical People's Party","Switzerland","CHE"
6,2012,"Federal Democratic Union","Switzerland","CHE"
6,2012,"Ticino League","Switzerland","CHE"
6,2012,"Swiss Labour Party","Switzerland","CHE"
6,2012,"Movement of the Citizens belonging to French-speaking Switzerland","Switzerland","CHE"
6,2012,"Christian Social Party","Switzerland","CHE"
6,2012,"Alternative Left","Switzerland","CHE"
6,2012,"Swiss Democrats","Switzerland","CHE"
6,2012,"Pirate Party Switzerland","Switzerland","CHE"
6,2012,"Swiss Nationalist Party","Switzerland","CHE"
6,2012,"Other party","Switzerland","CHE"
6,2012,"Blank paper","Switzerland","CHE"
6,2012,"Mixed vote","Switzerland","CHE"
6,2012,"Progressive Party of Working People (AKEL)","Cyprus","CYP"
6,2012,"Democratic Party (DIKO)","Cyprus","CYP"
6,2012,"Democratic Rally (DISY)","Cyprus","CYP"
6,2012,"European Party (EVROKO)","Cyprus","CYP"
6,2012,"The Cyprus Green Party","Cyprus","CYP"
6,2012,"Social Democrats (KS EDEK)","Cyprus","CYP"
6,2012,"Other","Cyprus","CYP"
6,2012,"KSCM","Czech Republic","CZE"
6,2012,"CSSD","Czech Republic","CZE"
6,2012,"TOP09","Czech Republic","CZE"
6,2012,"VV","Czech Republic","CZE"
6,2012,"ODS","Czech Republic","CZE"
6,2012,"Other","Czech Republic","CZE"
6,2012,"SPD","Germany","DEU"
6,2012,"CDU/CSU","Germany","DEU"
6,2012,"Bundnis 90/Die Grunen","Germany","DEU"
6,2012,"FDP","Germany","DEU"
6,2012,"Die Linke","Germany","DEU"
6,2012,"Die Republikaner","Germany","DEU"
6,2012,"NPD","Germany","DEU"
6,2012,"Piratenpartei","Germany","DEU"
6,2012,"Andere Partei","Germany","DEU"
6,2012,"Socialdemokraterne - the Danish social democtrats","Denmark","DNK"
6,2012,"Det Radikale Venstre - Danish Social-Liberal Party","Denmark","DNK"
6,2012,"Det Konservative Folkeparti - Conservative","Denmark","DNK"
6,2012,"SF Socialistisk Folkeparti - Socialist People's Party","Denmark","DNK"
6,2012,"Dansk Folkeparti - Danish peoples party","Denmark","DNK"
6,2012,"Kristendemokraterne - Christian democtrats","Denmark","DNK"
6,2012,"Venstre, Danmarks Liberale Parti - Venstre","Denmark","DNK"
6,2012,"Liberal Alliance - Liberal Alliance","Denmark","DNK"
6,2012,"Enhedslisten - Unity List - The Red-Green Alliance","Denmark","DNK"
6,2012,"Andet - other","Denmark","DNK"
6,2012,"Erakond Isamaa ja Res Publica Liit","Estonia","EST"
6,2012,"Eesti Keskerakond","Estonia","EST"
6,2012,"Eesti Reformierakond","Estonia","EST"
6,2012,"Eesti Konservatiivne Rahvaerakond (endine Rahvaliit)","Estonia","EST"
6,2012,"Sotsiaaldemokraatlik Erakond","Estonia","EST"
6,2012,"Erakond Eestimaa Rohelised","Estonia","EST"
6,2012,"Erakond Eesti Kristlikud Demokraadid","Estonia","EST"
6,2012,"Eesti Iseseisvuspartei","Estonia","EST"
6,2012,"Eestimaa Ühendatud Vasakpartei","Estonia","EST"
6,2012,"Eesti Vabaduspartei – Põllumeeste Kogu","Estonia","EST"
6,2012,"Üksikkandidaadi poolt","Estonia","EST"
6,2012,"Partido Popular (PP)","Spain","ESP"
6,2012,"Partido Socialista Obrero Español (PSOE)","Spain","ESP"
6,2012,"Convergència i Unió (CiU)","Spain","ESP"
6,2012,"Izquierda Unida (IU)-(ICV en Cataluña)","Spain","ESP"
6,2012,"AMAIUR","Spain","ESP"
6,2012,"Unión, Progreso y Democracia (UPyD)","Spain","ESP"
6,2012,"Partido Nacionalista Basco (PNV)","Spain","ESP"
6,2012,"Esquerra Republicana de Catalunya (ERC)","Spain","ESP"
6,2012,"Bloque Nacionalista Galego (BNG)","Spain","ESP"
6,2012,"Coalición Canaria - Nueva Canarias","Spain","ESP"
6,2012,"Compromís - EQUO","Spain","ESP"
6,2012,"Foro de Ciudadanos","Spain","ESP"
6,2012,"Geroa Bai","Spain","ESP"
6,2012,"Otro","Spain","ESP"
6,2012,"Partido Popular - PP (con UPN en Navarra)","Spain","ESP"
6,2012,"Votó en blanco","Spain","ESP"
6,2012,"Votó nulo","Spain","ESP"
6,2012,"The National Coalition Party","Finland","FIN"
6,2012,"The Swedish People´s Party (SPP)","Finland","FIN"
6,2012,"The Centre Party","Finland","FIN"
6,2012,"True Finns","Finland","FIN"
6,2012,"Christian Democrats","Finland","FIN"
6,2012,"Freedom Party","Finland","FIN"
6,2012,"Change 2011","Finland","FIN"
6,2012,"Pirate Party","Finland","FIN"
6,2012,"Senior Citizens' Party","Finland","FIN"
6,2012,"Independence Party","Finland","FIN"
6,2012,"For the Poor","Finland","FIN"
6,2012,"Green League","Finland","FIN"
6,2012,"Social Democratic Party","Finland","FIN"
6,2012,"Left Alliance","Finland","FIN"
6,2012,"Communist Party","Finland","FIN"
6,2012,"The Communist Workers' Party","Finland","FIN"
6,2012,"Workers Party","Finland","FIN"
6,2012,"Other","Finland","FIN"
6,2012,"Nouveau Centre","France","FRA"
6,2012,"FN (Front National)","France","FRA"
6,2012,"PR (Parti Radical Valoisien)","France","FRA"
6,2012,"NPA (Nouveau Parti Anti-Capitaliste)","France","FRA"
6,2012,"LO (Lutte Ouvrière)","France","FRA"
6,2012,"PG (Parti de Gauche)","France","FRA"
6,2012,"PCF (Parti Communiste Français)","France","FRA"
6,2012,"Parti Radical de Gauche","France","FRA"
6,2012,"MPF (Mouvement pour la France)","France","FRA"
6,2012,"UDI (Union des Démocrates Indépendants)","France","FRA"
6,2012,"PS (Parti Socialiste)","France","FRA"
6,2012,"UMP (Union pour un Mouvement Populaire)","France","FRA"
6,2012,"MODEM (Mouvement Démocrate)","France","FRA"
6,2012,"EELV (Europe Ecologie Les Verts)","France","FRA"
6,2012,"Autres mouvements écologistes","France","FRA"
6,2012,"Autre","France","FRA"
6,2012,"FDG (Front de Gauche)","France","FRA"
6,2012,"Blanc","France","FRA"
6,2012,"Nul","France","FRA"
6,2012,"Conservative","United Kingdom","GBR"
6,2012,"Labour","United Kingdom","GBR"
6,2012,"Liberal Democrat","United Kingdom","GBR"
6,2012,"Scottish National Party","United Kingdom","GBR"
6,2012,"Plaid Cymru","United Kingdom","GBR"
6,2012,"Green Party","United Kingdom","GBR"
6,2012,"Other","United Kingdom","GBR"
6,2012,"Ulster Unionist Party (nir)","Northern Ireland","NIR"
6,2012,"Democratic Unionist Party (nir)","Northern Ireland","NIR"
6,2012,"Sinn Fein (nir)","Northern Ireland","NIR"
6,2012,"Social Democratic and Labour Party (nir)","Northern Ireland","NIR"
6,2012,"Alliance Party (nir)","Northern Ireland","NIR"
6,2012,"Progressive Unionist Party (nir)","Northern Ireland","NIR"
6,2012,"United Kingdom Unionist Party (nir)","Northern Ireland","NIR"
6,2012,"Women's Coalition (nir)","Northern Ireland","NIR"
6,2012,"United Unionist Assembly Party (nir)","Northern Ireland","NIR"
6,2012,"Northern Ireland Unionist Party (nir)","Northern Ireland","NIR"
6,2012,"Workers Party (nir)","Northern Ireland","NIR"
6,2012,"Other (nir)","Northern Ireland","NIR"
6,2012,"4K (Negyedik Köztársaság)","Hungary","HUN"
6,2012,"Centrum Párt (Centrum Összefogás Magyarországért)","Hungary","HUN"
6,2012,"CM (Civil Mozgalom)","Hungary","HUN"
6,2012,"DK (Demokratikus Koalíció)","Hungary","HUN"
6,2012,"Együtt 2014 Mozgalom (Haza és Haladás, Milla, Szolidaritás)","Hungary","HUN"
6,2012,"FIDESZ (Fidesz Magyar Polgári Párt)","Hungary","HUN"
