"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1371,"BGR","Bulgaria","","","„Novoto vreme” Emil Koshlukov","pp novoto vreme emil koshlukov",2006,2012,"","","","Novoto Vreme","Novo vreme","","PP „Novoto vreme” (Emil Koshlukov)"
1184,"BGR","Bulgaria","PP","","Partia za horata ot naroda","pp partia za horata ot naroda",2012,2012,"","","","","","","PP Partia za horata ot naroda"
1416,"BGR","Bulgaria","PP","","„Zelena partia” Aleksandar Karakachanov","pp zelena partia aleksandar karakachanov",2010,2012,"","","","","","PP Zelenite","PP „Zelena partia” (Aleksandar Karakachanov)"
1427,"BGR","Bulgaria","RZS","","Red, zakonnost i spravedlivost","red zakonnost i spravedlivost rzs",2008,2012,"","","","","RZS","Red, zakonnost i spravedlivost (RZS)","Red, zakonnost i spravedlivost (RZS)"
1322,"BGR","Bulgaria","SDS","","Sayuz na demokratichnite sili","sayuz na demokratichnite sili sds",2006,2012,"","","","SDS","SDS","SDS","Sayuz na demokratichnite sili (SDS)"
1366,"BGR","Bulgaria","","","Sayuz na patriotichnite sili „Zashtita”","sayuz na patriotichnite sili zashtita",2010,2012,"","","","","","Saiuz na patriotichnite sili Zashtita","Sayuz na patriotichnite sili „Zashtita”"
2044,"BGR","Bulgaria","SSD","","Sayuz na svobodnite demokrati","sayuz na svobodnite demokrati ssd",2012,2012,"","","","","","","Sayuz na svobodnite demokrati (SSD)"
1633,"BGR","Bulgaria","SDS","","Siniata koalitsia","siniata koalitsia sds dsb",2010,2010,"","","","","","Siniata koalitsia (SDS; DSB)",""
1229,"BGR","Bulgaria","","","Sotsialdemokrati","sotsialdemokrati",2010,2010,"","","","","","Sotsialdemokrati",""
1705,"BGR","Bulgaria","VMRO","","Balgarsko natsionalno dvizhenie","vmro bnd",2006,2012,"","","","VMRO","VMRO-BND","VMRO","VMRO - BND"
1045,"CHE","Switzerland","","Alliance of the Independents","","alliance of the independents",2002,2004,"","Alliance of the Independents","Alliance of the Independents","","","",""
1296,"CHE","Switzerland","","Alternative Left","","alternative left",2012,2012,"","","","","","","Alternative Left"
1547,"CHE","Switzerland","","Blank paper","","blank paper",2008,2012,"","","","","Blank paper","Blank paper","Blank paper"
1002,"CHE","Switzerland","","Conservative Democratic Party / Bourgois-democratic Party","","bourgois democratic party",2010,2012,"","","","","","Conservative Democratic Party","Bourgois-democratic Party"
1503,"CHE","Switzerland","","Christian Democrats","","christian democrats",2002,2012,"","Christian-democrats","Christian-democrats","Christian-democrats","Christian democrats","Christian Democrats","Christian Democrats"
1006,"CHE","Switzerland","","Christian Social Party","","christian social party",2002,2012,"","Christian-Social Party","Christian-Social Party","Christian-Social Party","Christian-social","Christian-Social Party","Christian Social Party"
1585,"CHE","Switzerland","","Evangelical People’s Party","","evangelical people s party",2002,2012,"","Evangelical People's Party","Evangelical People's Party","Evangelical People's Party","Evangelical People's Party","Evangelical People’s Party","Evangelical People's Party"
1293,"CHE","Switzerland","","Federal Democratic Union","","federal democratic union",2002,2012,"","Federal Democratic Union","Federal Democratic Union","Federal Democratic Union","Federal Democratic Union","Federal Democratic Union","Federal Democratic Union"
1270,"CHE","Switzerland","","Freiheits-Partei","","freiheits partei",2002,2006,"","Freiheits-Partei","Freiheits-Partei","Freiheits-Partei","","",""
1223,"CHE","Switzerland","","Green Liberal Party","","green liberal party",2008,2012,"","","","","Green liberal party","Green Liberal Party","Green Liberal Party"
1242,"CHE","Switzerland","","Green Party","","green party",2002,2012,"","Green Party","Green Party","Green Party","Green party","Green Party","Green Party"
1727,"CHE","Switzerland","","Liberal Party","","liberal party",2002,2010,"","Liberal Party","Liberal Party","Liberal Party","Liberal party","Liberal Party",""
