countrycode,name_short,name_english,name,year_first,year_last,share,share_year,party_id,partyfacts_id
NLD,JA21,Right Answer 21,Juiste Antwoord 21,1989,2023,,,NLD-JA21,9011
NOR,FrP,Progress Party,Fremskrittspartiet,1989,2023,,,NOR-FrP,101
POL,Kukiz '15,Kukiz '15,Kukiz'15,1989,2023,,,POL-Kukiz '15,4631
POL,X,Party X,Partia X,1989,2023,,,POL-X,146
POL,SO,Self-Defense of the Republic of Poland,Samoobrona Rzeczypospolitej Polskiej,1989,2023,,,POL-SO,727
POL,ZChN,Christian National Union,Zjednoczenie Chrzescijansko-Narodowe,1989,2023,,,POL-ZChN,70
ROU,PSD,Social Democratic Party,Partidul Socialist Democrat,1989,2023,,,ROU-PSD,1078
ROU,PUNR,Romanian National Unity Party,Partidul Unitatii Nationale a Romanilor,1989,2023,,,ROU-PUNR,1451
SVK,OLaNO,Ordinary People and Independent Personalities,Obyčajní Ľudia A Nezávislé Osobnosti,1989,2023,,,SVK-OLaNO,2130
SVK,PSNS,Real Slovak National Party,Pravá Slovenská Národná Strana,1989,2023,,,SVK-PSNS,129
SVK,Smer,Direction – Slovak Social Democracy,Smer – Slovenská Sociálna Demokracia,1989,2023,,,SVK-Smer,311
SVK,SOP,Party of Civic Understanding,Strana Obcianskeho Porozumenia,1989,2023,,,SVK-SOP,9
SVK,ZRS,Union of the Workers of Slovakia,Združenie Robotníkov Slovenska,1989,2023,,,SVK-ZRS,230
SVK,Vlast,Homeland,Vlasť,1989,2023,,,SVK-Vlast,8643
SVN,LMS,List of Marjan Sarec,Lista Marjana Šarca,1989,2023,,,SVN-LMS,6132
ESP,UP,United We Can,Unidas Podemos,1989,2023,,,ESP-UP,7656
SWE,NyD,New Democracy,Ny Demokrati,1989,2023,,,SWE-NyD,343
SWE,SD (populist since 2001),Sweden Democrats,Sverigedemokraterna,1989,2023,,,SWE-SD (populist since 2001),409
CHE,LdT,Ticino League,Lega dei Ticinesi,1989,2023,,,CHE-LdT,1661
CHE,MCG,Geneva Citizens' Movement,Mouvement Citoyens Genevois,1989,2023,,,CHE-MCG,8176
CHE,SD,Swiss Democrats,Schweizer Demokraten,1989,2023,,,CHE-SD,1819
CHE,SVP,Swiss People's Party,Schweizerische Volkspartei,1989,2023,,,CHE-SVP,308
GBR,R,Respect -- The Unity Coalition,Respect – The Unity Coalition,1989,2023,,,GBR-R,1082
GBR,BRX / Reform,Brexit Party / Reform,Brexit Party / Reform,1989,2023,,,GBR-BRX / Reform,7364
