cntry,party_id,duplicate,ignore,party_short,party_english,party_name,share,party_id_old,ess_key,party
CZ,CZ-4-2,,,CSSD,Cz.Social Democratic P.,,39.7,1288,cz -- cssd,CSSD
CZ,CZ-1-1,CZ-4-2,,CSSD,Cz.Social Democratic P.,,37.3,1288,cz -- cssd cz.social democratic p.,CSSD Cz.Social Democratic P.
CZ,CZ-4-4,,,KDU-CSL,Christian Democratic P.,,7.5,1665,cz -- kdu-csl,KDU-CSL
CZ,CZ-6-1,,,KSCM,Communist P.of Bohemia&Moravia,,15.4,1330,cz -- kscm,KSCM
CZ,CZ-2-9,CZ-6-1,,KSCM,Communist P.of Bohemia&Moravia,,16.8,1330,cz -- kscm communist p.of bohemia&moravia,KSCM Communist P.of Bohemia&Moravia
CZ,CZ-1-3,,,,Hope,Nadeje,0.4,1117,cz -- nadeje (hope),Nadeje (Hope)
CZ,CZ-2-2,,,ODA,Civic Democratic Alliance,,2.4,1187,cz -- oda civic democratic alliance,ODA Civic Democratic Alliance
CZ,CZ-4-5,,,ODS,Civic Democratic P.,,34.8,1714,cz -- ods,ODS
CZ,CZ-2-8,CZ-4-5,,ODS,Civic Democratic P.,,33.4,1714,cz -- ods civic democratic p.,ODS Civic Democratic P.
CZ,CZ-2-12,,,PB,Right Block,,0.2,1501,cz -- pb right block,PB Right Block
CZ,CZ-2-4,,,RMS,Republicans of Miroslav Sladek,,0.5,1312,cz -- rms republicans of miroslav sladek,RMS Republicans of Miroslav Sladek
CZ,CZ-2-6,,,SV-SOS,P.of Countryside-Assoc.Civic Forces,,0.4,1180,cz -- sv-sos p.of countryside-assoc.civic forces,SV-SOS P.of Countryside-Assoc.Civic Forces
CZ,CZ-4-3,,,SZ,P.of Greens,,6.3,1033,cz -- sz,SZ
CZ,CZ-2-13,CZ-4-3,,SZ,P.of Greens,,2.5,1033,cz -- sz p.of greens,SZ P.of Greens
CZ,CZ-1-11,,,SZJ,Party for Security in Life,,0.4,1833,cz -- szj p.for life securities,SZJ P.for Life Securities
CZ,CZ-7-3,,,,,TOP 09,11.2,3011,cz -- top 09,TOP 09
CZ,CZ-5-5,,,TOP09,,,15.7,1221,cz -- top09,TOP09
CZ,CZ-7-7,,,,,Úsvit prímé demokracie Tomia Okamury,4.1,3012,cz -- úsvit prímé demokracie tomia okamury,Úsvit prímé demokracie Tomia Okamury
CZ,CZ-5-6,,,VV,,,11.4,1261,cz -- vv,VV
DK,DK-7-10,,1,Andet,Other,Andet,1.4,1004,dk -- andet - other,Andet - other
DK,DK-1-4,,,,,Centrum-Demokraterne,1.7,1609,dk -- centrum-demokraterne,Centrum-Demokraterne
DK,DK-3-6,,,,Danish peoples party,Dansk Folkeparti,7.8,1219,dk -- dansk folkeparti,Dansk Folkeparti
DK,DK-7-5,DK-3-6,,,Danish peoples party,Dansk Folkeparti,12.1,1219,dk -- dansk folkeparti - danish peoples party,Dansk Folkeparti - Danish peoples party
DK,DK-3-3,,,,Conservative,Det Konservative Folkeparti,8.9,1755,dk -- det konservative folkeparti,Det Konservative Folkeparti
DK,DK-4-3,DK-3-3,,,Conservative,Det Konservative Folkeparti,9.7,1755,dk -- det konservative folkeparti - conservative,Det Konservative Folkeparti - Conservative
DK,DK-3-2,,,,Danish Social-Liberal Party,Det Radikale Venstre,8.8,1289,dk -- det radikale venstre,Det Radikale Venstre
DK,DK-6-2,DK-3-2,,,Danish Social-Liberal Party,Det Radikale Venstre,12.1,1289,dk -- det radikale venstre - danish social-liberal party,Det Radikale Venstre - Danish Social-Liberal Party
DK,DK-3-10,,,,Unity List - The Red-Green Alliance,Enhedslisten,3.3,1324,dk -- enhedslisten,Enhedslisten
DK,DK-7-9,DK-3-10,,,Unity List - The Red-Green Alliance,Enhedslisten,6.5,1324,dk -- enhedslisten - unity list - the red-green alliance,Enhedslisten - Unity List - The Red-Green Alliance
DK,DK-5-9,DK-3-10,,,Unity List - The Red-Green Alliance,Enhedslisten,2.1,1324,"dk -- enhedslisten, de rød-grønne - the red-green alliance","Enhedslisten, De Rød-Grønne - The Red-Green Alliance"
DK,DK-2-9,,,,,Fremskridtspartiet,0.8,1804,dk -- fremskridtspartiet,Fremskridtspartiet
DK,DK-2-7,,,,Christian democtrats,Kristeligt Folkeparti/Kristendemokraterne,2.1,1359,dk -- kristeligt folkeparti,Kristeligt Folkeparti
DK,DK-3-7,DK-2-7,,,Christian democtrats,Kristeligt Folkeparti/Kristendemokraterne,1.7,1359,dk -- kristendemokraterne,Kristendemokraterne
