country,party,year_first,year_last,party_id
SVK,People's Party - Movement for a Democratic Slovakia,1994,1998,SVK PPMDS 1994
SVK,Direction - Social Democracy,2006,2018,SVK DSD 2006
SVK,Slovak Democratic and Christian Union,1998,2006,SVK SDCU 1998
SVN,Slovenian Democratic Party,2004,2008,SVN SDP 2004
SVN,Social Democrats,2008,2012,SVN SD 2008
SWE,Social Democratic Party,2002,2019,SWE SDP 2002
SWE,Moderate Party,2006,2014,SWE MP 2006
TJK,People's Democratic Party of Tajikistan,1994,2018,TJK PDPT 1994
TUR,Justice and Development Party,2003,2018,TUR JDP 2003
UKR,Bloc Yuliya Tymoshenko,2007,2010,UKR BYT 2007
UKR,"Petro Poroshenko Bloc ""Solidarity""",2014,2019,UKR PPBS 2014
UKR,Our Ukraine-People's Self Defence Bloc,2005,2009,UKR OUPSDB 2005
UKR,Party of Regions,2010,2014,UKR PR 2010
UKR,Independent,1994,2005,UKR I 1994
UKR,Social Democratic Party of Ukraine,1991,1994,UKR SDPU 1991
URY,Broad Front,2005,2019,URY BF 2005
URY,Colorado Party,2000,2004,URY CP 2000
USA,Republican Party,2001,2019,USA RP 2001
USA,Democratic Party,2009,2016,USA DP 2009
VEN,United Socialist Party of Venezuela,2007,2019,VEN USPV 2007
VEN,The Fifth Republic Movement,1999,2006,VEN TFRM 1999
ZAF,African National Congress,2004,2008,ZAF ANC 2004
