"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"HRV","HSS","Hrvatska seljacka stranka","Croatian Peasant Party",1990,,"191006",
"HRV","HSLS","Hrvatska socijalno-liberalna stranka","Croatian Social-Liberal Party",1989,,"191007",
"HRV","HSP AS","Hrvatska stranka prava dr. Ante Starcevic","Croatian Party of Rights dr. Ante Starcevic",2009,,"191008",
"HRV","HSP","Hrvatska stranka prava","Croatian Party of Rights",1990,,"191009",
"HRV","HCSP","Hrvatska cista stranka prava","Croatian Pure Party of Rights",1992,,"191010",
"HRV","HDSSB","Hrvatski demokratski savez Slavonije I Baranje","Croatian Democratic Alliance of Slavonia and Baranja",2006,,"191011",
"HRV","HL","Hrvatski laburisti - Stranka rada","Croatian Labourists - Labour Party",2010,,"191012",
"HRV","HKDS","Hrvatska kršcanska demokratska stranka","Croatian Christian Democratic Party",1990,,"191013",
"HRV","HSD","Hrvatski Socijaldemokrati","Croatian Social Democrats",2004,,"191014",
"HRV","IDS-DDI","Istarski demokratski sabor","Istrian Democratic Assembly",1990,,"191015",
"HRV","LS","Liberalna stranka","Liberal Party",1998,2006,"191016",
"HRV","MDS","Mecimurski demokratski savez","Democratic Union of Mecimurje",2005,,"191017",
"HRV","PGS","Primorsko goranski savez","Primorje - Gorski Kotar Alliance",1990,,"191018",
"HRV","SDA","Stranka Demokratske Akcije Hrvatske","Party of Democratic Action of Croatia",1990,,"191019",
"HRV","SDSS","Samostalna srpska demokratska stranka","Independent Democratic Serbian Party",1997,,"191020",
"HRV","SDP","Socijaldemokratska partija Hrvatske","Social Democratic Party of Croatia",1990,,"191021",
"HRV","SNS","Srpska narodna stranka","Serb People's Party",1990,,"191022",
"CYP","AKEL",,"Progressive Party of Working People",1941,,"196001",1076
"CYP","DIKO",,"Democratic Party",1976,,"196002",635
"CYP","EDEK",,"Social Democrat Movement United Democratic Union of the Center",1969,,"196003",1028
"CYP","DISY",,"Democratic Rally",1976,,"196004",563
"CYP","KOP",,"Ecological Environmental Movement /Greens",1996,,"196005",858
"CZE","CSSD","Ceska strana socialne demokraticka","Czech Social Democratic Party",1989,,"203001",177
"CZE","ODS","Obcanska demokraticka strana","Civic Democratic Party",1991,,"203002",466
"CZE","TOP09","Tradition, Responsibility, Prosperity 09","Tradition, Responsibility, Prosperity 09",2009,,"203003",
"CZE","KSCM","Komunisticka strana Cech a Moravy","Communist Party of Bohemia and Moravia",1990,,"203004",1728
"CZE","KDU-CSL","Krestansko demokraticka unie - Ceskoslovenska strana lidova","Christian Democratic Union - Czechoslovak People's Party",1990,,"203005",676
"CZE","SZ","Strana zelenych","Green Party",1990,,"203006",1554
"CZE","ODA","Obcanska demokraticka aliance","Civic Democratic Alliance",1989,2007,"203007",1008
"CZE","US-DEU","Unie Svobody - Demokraticka unie","Freedom Union - Democratic Union",1998,2011,"203008",104
"CZE","SZJ","Strana za zivotní jistoty","Party for Life Security",1990,2006,"203009",
"CZE","ANO 2011","Akce nespokojenych obcanu 2011","Action of Dissatisfied Citizens 2011",2011,,"203010",
"CZE","PS","Pirátská strana","The Pirate Party",2009,,"203011",
"DNK","SD","Socialdemokratiet","Social Democrats",1871,,"208001",379
"DNK","DF","Dansk Folkeparti","Danish People's Party",1995,,"208002",1022
"DNK","RV","Det Radikale Venstre","The Danish Social Liberal Party",1905,,"208003",1507
"DNK","SF","Socialistisk Folkeparti","Socialist People Party",1959,,"208004",329
"DNK","EL","Enhedslisten - de rød/grønne","Red-Green Alliance",1989,,"208005",1527
"DNK","LA","Liberal Alliance","Liberal Alliance",2007,,"208006",212
"DNK","KF","Det Konservative Folkeparti","Conservative People's Party",1915,,"208007",536
"DNK","V","Venstre, Danmarks Liberale Parti","Left, Denmark's Liberal Party",1910,,"208008",1204
"DNK","CD","Centrums Demokraterne","The Centre Democrats",1973,2008,"208009",800
"DNK","FRP","Fremskridtspartiet","Progress Party",1972,,"208010",1601
"DNK","KrF","Kristeligt Folkeparti","Christian People's Party",1970,,"208011",53
"EST","REF","Eesti Reformierakond","The Estonian Reform Party",1994,,"233001",821
"EST","KESK","Eesti Keskerakond","The Estonian Centre Party",1991,,"233002",
"EST","ESDP","Eesti Sotsiaaldemokraatlik Partei","Estonian Social Democratic Party",1990,,"233003",1150
"EST","IRL","Erakond Isamaa ja Res Publica Liit","Pro Patria and Res Publica Union",2006,,"233004",685
"EST","EME","Eesti Maarahva Erakond","Estonian Country People's Party",1994,,"233005",
"EST","ROH","Erakond Eestimaa Rohelised","Estonian Greens",2006,,"233006",1040
"EST","EKP","Eesti Kommunistlik Parte","Estonian Communist Party",1990,,"233007",
"EST","TEE","Tuleviku Eesti Erakond","Estonian Future Party",1993,,"233008",429
"EST","ESE","Eesti Sinine Erakond","Estonian Blue Party",1994,2011,"233009",
"EST","I","Isamaaliit","Fatherland Union",1995,2006,"233010",779
"EST","RP","Ühendus Vabariigi Eest - Res Publica","Union for the Republic  Res Publica",2001,2006,"233011",491
"EST","PK","Põllumeeste Kogu","Farmers' Union",1992,,"233012",831
"EST","EKR","Eesti Kristlik Rahvapartei","Estonian Christian People's Union",1998,2012,"233013",
"EST","EUR","Eestima Ühendatud Rahvapartei","Estonian United People's Party",1994,2009,"233014",18
"EST","VEE","Vene Erakond Eestis","Russian Party in Estonia",1994,2012,"233015",
"EST","RUE","Rahva Ühtsuse Erakond","People's Unity Party",2013,,"233016",
"EST","EVA","Eesti Vabaerakond","Estonian Free Party",2013,,"233017",
"EST","EPE","Eesti Pensionäride Erakond","Estonian Pensioners Party",2002,2006,"233018",
"FIN","KESK","Suomen Keskusta","Agrarian League",1906,,"246001",901
"FIN","KOK","Kansallinen Kokoomus","National Coalition Party",1918,,"246002",
"FIN","L","Liberaalinen Kansanpuolue/Liberaalit","Liberals",1965,2008,"246003",249
"FIN","SMP","Suomen maaseudun puolue","Finnish Rural Party",1959,1994,"246004",1689
"FIN","RKP-SFP","Ruotsalainen Kansanpuolue-Svenska Folkpartiet i Finland","Swedish People's Party",1906,,"246005",1229
"FIN","SDP","Suomen Sosialidemokraattinen Puolue","Social Democratic Party",1899,,"246006",1303
"FIN","SKDL","Suomen Kansan Demokraattinen Liitto","Finnish People's Democratic League",1944,1990,"246007",1096
"FIN","SKL/KD","Suomen Kristillinen Liitto/Kristillisdemokraatit","Finnish Christian League/Christian Democrats",1958,,"246008",703
"FIN","VAS","Vasemmistoliitto","Left Alliance",1990,,"246009",
"FIN","VIHR","Vihreä liitto","Green League",1988,,"246010",479
"FRA","FN","Front National","National Front",1972,,"250001",433
"FRA","PCI","Parti Communiste Internationaliste","Internationalist Communist Party",1944,,"250002",
"FRA","PCF","Parti Communiste Français","French Communist Party",1944,,"250003",1251
"FRA","SFIO","Section française de l'Internationale ouvrière","French section of the Workers' International",1905,,"250004",1478
"FRA","V","Les Verts","The Greens",1984,,"250005",1108
"FRA","UC","Union Communiste","Communist Union",1945,,"250006",
"FRA","RI","Républicains Indépendants","Independent Republicans",1962,2003,"250007",1246
"FRA","RPF","Rassemblement du Peuple français","Rally of the French people",1947,,"250008",1083
"FRA","MPF","Mouvement pour la France","Movement for France",1994,,"250009",364
"FRA","MC","Mouvement des citoyens","Citizens' Movement",1993,,"250010",3156
"FRA","MRP","Mouvement Républicain Populaire","Popular Republican Movement",1944,1967,"250011",737
"FRA","PT","Parti des travailleurs","Workers' party",1991,,"250012",
"FRA","MGRS","Mouvement de la Gauche Radicale Socialiste","Movement of the Socialist Left Radical",1972,,"250013",1783
"FRA","PR","Parti Radical","Radical Party",1945,,"250014",14
"FRA","UDF","Union pour la Démocratie Française","Union for French Democracy",1978,,"250015",213
"DEU","CDU","Christlich-Demokratische Union Deutschlands","Christian Democratic Union of Germany",1945,,"276001",1375
"DEU","SPD","Sozialdemokratische Partei Deutschlands","Social Democratic Party of Germany",1875,,"276002",383
"DEU","FPD","Freie Demokratische Partei","Free Democratic Party",1948,,"276003",573
"DEU","PDS","Partei des Demokratischen Sozialismus","Party of Democratic Socialism",1989,,"276004",
"DEU","Gršne","Die Grünen","The Greens",1979,,"276005",
"DEU","CSU","Christlich-Soziale Union in Bayern","Christian Social Union in Bavaria",1945,,"276006",1731
"DEU","Piraten","Piratenpartei Deutschland","Pirate Party Germany",2006,,"276007",1287
"DEU","BP","Bayernpartei","Bavaria Party",1946,,"276008",61
"DEU","BHE","Bund der Heimatvertriebenen und Entrechteten","League of Expellees and Deprived of Rights",1950,1961,"276009",1010
"DEU","DKP","Deutsche Kommunistische Partei","German Communist Party",1968,,"276010",
"DEU","DVU","Deutsche Volksunion","German People's Union",1987,2010,"276011",695
"DEU","DZP","Deutsche Zentrums-Partei","German Centre Party",1945,,"276012",
"DEU","REP","Die Republikaner","The Republicans",1983,,"276013",720
"DEU","KPD","Kommunistische Partei Deutschlands","Communist Party of Germany",1918,1956,"276014",1135
"DEU","MLPD","Marxistisch-Leninistische Partei Deutschlands","MarxistûLeninist Party of Germany",1982,,"276015",
"DEU","NPD","Nationaldemokratische Partei Deutschlands","National Democratic Party of Germany",1964,,"276016",1723
"HUN","Fidesz","Fidesz-Magyar Polgári Párt","Fidesz-Hungarian Civic Party",1988,,"348001",
"HUN","JOB","Jobbik Magyarországért Mozgalom","Jobbik - Movement for a Better Hungary",2003,,"348002",
"HUN","LMP","Lehet Más a Politika","Politics Can Be Different",2009,,"348003",1650
"HUN","MSZP","Magyar Szocialista Párt","Hungarian Socialist Party",1989,,"348004",1408
"HUN","SZDSZ","Szabad Demokraták Szövettsége","Alliance of Free Democrats",1988,2013,"348005",910
"HUN","MDF","Magyar Demokrata Fórum","Hungarian Democratic Forum",1987,2011,"348006",1697
"HUN","FKGP","Független Kisgazda-, Földmunkás- és Polgári Párt","Independent Smallholders, Agrarian Workers and Civic Party",1988,2006,"348007",1294
"HUN","KDNP","Kereszténydemokrata Néppárt","Christian Democratic People's Party",1989,,"348008",1412
"HUN","MIEP","Magyar Igazság és Élet Pártja","Party of Hungarian Life and Justice",1993,,"348009",
"HUN","DK","Demokratikus Koalíció","Democratic Coalition",2011,,"348010",
"HUN","Egyštt","Együtt – A Korszakváltók Pártja","Together  Party for a New Era",2013,,"348011",
"ISL","LGM-Graen","Vinstri-hreyfing – grænt framboð","Left Movement  Greens",1999,,"352001",457
"ISL","PA","Alþýðubandalagið","PeopleÆs Alliance",1956,1999,"352002",1249
"ISL","WL","Kvennalistinn","WomenÆs List",1983,1999,"352003",525
