"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"LTU","NS","Naujoji sajunga (socialliberalai)","New Union (Socialliberals)",1998,2011,"440010",1800
"LTU","DP","Darbo Partija","Labour Party",2003,,"440011",102
"LTU","LDP","Liberalu Demokratu Partija","Liberal Democratic Party",2002,,"440012",
"LTU","LLRA","Lietuvos Lenku Rinkimu Akcija","Electoral Action of Poles in Lithuania",1994,,"440013",556
"LTU","LVP","Lietuvos valstieciu partija","Lithuanian Peasants Party",1990,,"440014",
"LTU","DK","Drasos Kelias","Way of Courage",2012,,"440015",
"MEX","PRI","Partido de la Revolución Institucional","Institutional Revolutionary Party",1946,,"484001",
"MEX","PRD","Partido de la Revolución Democrática","Democratic Revolution Party",1989,,"484002",
"MEX","PAN","Partido Acción Nacional","National Action Party",1939,,"484003",
"MEX","MORENA","Movimiento Regeneración Nacional","National Regenereation Movement",2014,,"484004",
"MEX","PVEM","Partido Nueva Alianza","New Alliance Party",2005,,"484005",
"MEX","NA","Partido Verde Ecologista de México","Mexican Green Ecological Party",1993,,"484006",
"MEX","PT","Partido del Trabajo","Labour Party",1990,,"484007",
"MEX","ES","Partido Encuentro Social","Social Gathering Party",2014,,"484008",
"MEX","MC","Movimiento Ciudadano","Citizen's Movement",2011,,"484009",
"MEX","PH","Partido Humanista","Humanist Party",2014,2015,"484010",
"NLD","CDA","Christen Democratisch Àppel","Christian Democratic Appeal",1973,,"528001",1157
"NLD","ARP","Anti-Revolutionaire Partij","Anti-Revolutionary Party",1879,1980,"528002",163
"NLD","CHU","Christelijk-Historische Unie","Christian Historian Union",1908,1980,"528003",1102
"NLD","KVP","Katholieke Volkspartij","Catholic Peoples Party",1945,1980,"528004",1390
"NLD","CU","ChristenUnie","Christian Union",2001,,"528005",1459
"NLD","GPV","Gereformeerd Politiek Verbond","Reformed Political Union",1948,2001,"528006",1602
"NLD","RPF","Reformatorische Politieke Federatie","Reformed Political Federation",1975,2001,"528007",172
"NLD","D66","Democraten 66","Democrats 66",1966,,"528008",45
"NLD","GL","GroenLinks","Green Left",1989,,"528009",1537
