"country","party_id","party_abbrev","party_name","party_name_english"
"SLO",2804,"SMK; SMK-MKP","Strana madarskej koalície—Magyar Koalíció Pártja","Party of the Hungarian Coalition"
"SLO",2805,"KDH","Kresťanskodemokratické hnutie","Christian Democratic Movement"
"SLO",2806,"ANO","Aliancia Nového Občana","Alliance for a New Citizen"
"SLO",2807,"KSS","Komunistická strana Slovenska","Communist Party of Slovakia"
"SLO",2808,"PSNS","Pravá Slovenská národná strana","Right Slovak National Party"
"SLO",2809,"SNS","Slovenská národná strana","Slovak National Party"
"SLO",2810,"HZD","Hnutie za demokraciu","Movement for Democracy"
"SLO",2811,"SF","Slobodné fórum","Free Forum"
"SLO",2812,"SaS","Sloboda a Solidarita","Freedom and Solidarity"
"SLO",2813,"Most","Most-Hid","Bridge"
"SLO",2814,"OLaNO","Obyčajní Ľudia a nezávislé osobnosti","Ordinary People and Independent Personalities"
"SLO",2815,"NOVA","Nová Väčšina","New Majority"
"SLO",2816,"Siet","Sieť","Net / Network"
"SLE",2901,"LDS","Liberalna demoracija Slovenije","Liberal Democracy of Slovenia"
"SLE",2902,"SDS","Socialdemokratska stranka Slovenije; Slovenska demokratska stranka","Social Democratic Party of Slovenia; Slovenian Democratic Party"
"SLE",2903,"ZLSD; SD","Združena lista socialnih demokratov; Socijalni Demokrati","United List of Social Democrats; Social Democrats"
"SLE",2904,"SLS-SKD; SLS","Slovenska ljudska stranka","Slovenian People’s Party-Slovenian Christian Democrats; Slovenian People’s Party"
"SLE",2905,"NSI","Nova Slovenija—Kršcanska ljudska stranka","New Slovenia—Christian People’s Party"
"SLE",2906,"DeSUS","Demokratična stranka upokojencev Slovenije","Democratic Party of Pensioners of Slovenia"
"SLE",2907,"SNS","Slovenska nacionalna stranka","Slovenian National Party"
"SLE",2908,"SMS","Stranka Mladih Slovenije","Party of the Slovenia Youth"
"SLE",2909,"AS","Aktivna Slovenija","Active Slovenia"
"SLE",2910,"Zares","Zares","Zares—For Real"
"SLE",2911,"SMC","Stranka Mira Cerarja","Party of Miro Cerar"
"SLE",2912,"ZL","Združena Levica","United Left"
"SLE",2913,"ZaAB","Zavezništvo Alenke Bratušek","Alliance of Alenka Bratušek"
"SLE",2914,"PS","Pozitivna Slovenija","Positive Slovenia"
"CRO",3101,"HDZ","Hrvatska Demokratska Zajednica","Croatian Democratic Union"
"CRO",3102,"SDP","Socialdemokratska Partija Hrvatske","Social Democratic Party of Croatia"
"CRO",3103,"HSS","Hrvatska Seljačka Stranka","Croatian Peasant Party"
"CRO",3104,"HSLS","Hrvatska Socijalno Liberalna Stranka","Croatian Social Liberal Party"
"CRO",3105,"HNS","Hrvatska Narodna Stranka—Liberalni Demokrati","Croatian People’s Party—Liberal Democrats"
