country,country_iso3,party_id,party_abbrev,party_name,party_name_english,vote,electionyear,year_first,year_last
BE,BEL,102,PS,Parti Socialiste,SocialistParty,,,2019,2019
BE,BEL,103,SPA,Socialistische Partij Anders,SocialistParty Differently,,,2019,2019
BE,BEL,104,ECOLO,Ecolo,Ecolo,,,2019,2019
BE,BEL,105,Groen,Groen,Green,,,2019,2019
BE,BEL,106,MR,Mouvement Réformateur,ReformistMovement,,,2019,2019
BE,BEL,107,VLD,Open Vlaamse Liberalen en Democraten,OpenFlemish Liberals and Democrats,,,2019,2019
BE,BEL,108,cdH,Centre Démocrate Humaniste,HumanistDemocratic Centre,,,2019,2019
BE,BEL,109,CD&V,Christen-Democratisch en Vlaams,ChristianDemocratic and Flemish,,,2019,2019
BE,BEL,110,NVA,Nieuw-Vlaamse Alliantie,NewFlemish Alliance,,,2019,2019
BE,BEL,112,VB,Vlaams Belang,FlemishInterest,,,2019,2019
BE,BEL,119,PVDA-PTB,Partij van de Arbeid van België - Parti du Travail de Belgique,Workers’Party of Belgium,,,2019,2019
DK,DNK,201,SD,Socialdemokraterne,SocialDemocracy,,,2019,2019
DK,DNK,202,RV,Det Radikale Venstre,RadicalLeft-Social Liberal Party,,,2019,2019
DK,DNK,203,KF,Det Konservative Folkeparti,ConservativePeople’s Party,,,2019,2019
DK,DNK,206,SF,Socialistisk Folkeparti,SocialistPeople’s Party,,,2019,2019
DK,DNK,211,V,"Venstre, Danmarks Liberale Parti Venstre",LiberalParty of Denmark,,,2019,2019
DK,DNK,213,EL,Enhedslisten—De Rød-Grønne,UnityList/Red-Green Alliance,,,2019,2019
DK,DNK,215,DF,Dansk Folkeparti,DanishPeople’s Party,,,2019,2019
DK,DNK,218,LA,Liberal Alliance,LiberalAlliance,,,2019,2019
DK,DNK,219,A,Alternativet,TheAlternative,,,2019,2019
DK,DNK,220,NB,Nye Borgerlige,TheNew Right,,,2019,2019
GE,DEU,301,CDU,Christlich Demokratische Union Deutschlands,ChristianDemocratic Union of Germany,,,2019,2019
GE,DEU,302,SPD,Sozialdemokratische Partei Deutschlands,SocialDemocratic Party of Germany,,,2019,2019
GE,DEU,303,FDP,Freie Demokratische Partei,FreeDemocratic Party,,,2019,2019
GE,DEU,304,Grunen,Bündnis 90/Die Grünen,Alliance’90/The Greens,,,2019,2019
GE,DEU,306,Linke,Die Linke,TheLeft,,,2019,2019
GE,DEU,308,CSU,Christlich Soziale Union in Bayern,ChristianSocial Union in Bavaria,,,2019,2019
GE,DEU,310,AfD,Alternative für Deutschland,Alternativefor Germany,,,2019,2019
GE,DEU,311,Piraten,Piratenpartei Deutschland,PirateParty of Germany,,,2019,2019
GE,DEU,312,DieTier,Mensch Umwelt Tierschutz,HumanEnvironment Animal Protection,,,2019,2019
GR,GRC,401,PASOK,Panellinio Sosialistikó Kínima,PanhellenicSocialist Movement,,,2019,2019
GR,GRC,402,ND,Néa Dimokratía,NewDemocracy,,,2019,2019
GR,GRC,403,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalitionof the Radical Left,,,2019,2019
GR,GRC,404,KKE,Kommounistikó Kómma Elládas,CommunistParty of Greece,,,2019,2019
GR,GRC,415,XA,Laïkós Sýndesmos—Chrysí Avgí,PopularAssociation—Golden Dawn,,,2019,2019
GR,GRC,416,EL,Elliniki Lisi,GreekSolution,,,2019,2019
GR,GRC,417,MR25,Métopo Evropaikís Realistikís Anypakoís,EuropeanRealistic Disobedience Front [MeRa25],,,2019,2019
GR,GRC,418,KIDISO,Kinima Dimokraton Sosialiston,Movementof Democratic Socialists,,,2019,2019
ESP,ESP,501,PSOE,Partido Socialista Obrero Español,SpanishSocialist Workers’ Party,,,2019,2019
ESP,ESP,502,PPP,Partido Popular,People’sParty,,,2019,2019
ESP,ESP,504,IU,Izquierda Unida,UnitedLeft,,,2019,2019
ESP,ESP,506,PNV,Partido Nacionalista Vasco,BasqueNationalist Party,,,2019,2019
ESP,ESP,511,ERC,Esquerra Republicana de Catalunya,RepublicanLeft of Catalonia,,,2019,2019
ESP,ESP,513,BNG,Bloque Nacionalista Galego,GalicianNationalist Bloc,,,2019,2019
ESP,ESP,517,CC,Coalición Canaria,CanarianCoalition,,,2019,2019
ESP,ESP,524,EHB,Euskal Herria Bildu,BasqueCountry Unite/Gather,,,2019,2019
ESP,ESP,525,Podemos,Podemos Unidas,PodemosWe Can,,,2019,2019
ESP,ESP,526,Cs,Ciudadanos—Partido de la Ciudadanía,Citizens—Partyof the Citizenry,,,2019,2019
ESP,ESP,527,Vox,Vox,Voice(Latin),,,2019,2019
ESP,ESP,528,Pais,Más Pais,MoreCountry,,,2019,2019
ESP,ESP,550,PdeCat,Partit Demócrata Europeu Catalá (Junts per Cataluyna),CatalanEuropean Democratic Party (Together for Catalonia partner),,,2019,2019
FR,FRA,601,PCF,Parti Communiste Français,FrenchCommunist Party,,,2019,2019
FR,FRA,602,PS,Parti Socialiste,SocialistParty,,,2019,2019
FR,FRA,605,EELV,Europe Écologie Les Verts,EuropeEcology—The Greens,,,2019,2019
FR,FRA,609,LR,Les Républicains,TheRepublicans,,,2019,2019
FR,FRA,610,RN,Rassemblement national,NationalRally,,,2019,2019
