country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
BLR,KPB,Communist Party of Belarus,7418,1990,1990,1990 Nikolay Ivanovich Dementey (Chairman of the Supreme Soviet),1990 Vyachaslaw Frantsavich Kyebich (Vyacheslav Frantsevich Kebich) (Chairman of the Supreme Soviet)
BOL,PC,Conservative Party,5380,1880,1898,1880 José Narciso Campero Leyes (President),
BOL,LP,Liberal Party,5108,1899,1935,1899 Juan José Manuel Inocencio Pando Solares (President),
BOL,PRS,Socialist Republican Party,5109,1921,1933,1921 Rosa Bautista Saavedra Mallea (President),
BOL,Con,Concordance,8314,1940,1942,1940 Enrique Peñaranda del Castillo (President),
BOL,MNR,Revolutionary Nationalist Movement,568,1944,2002,1944 Gualberto Villarroel López (President),
BOL,PURS,Republican Socialist Unity Party,5106,1947,1950,1947 José Enrique Hertzog Garaizábal (President),
BOL,MPC,Popular Christian Movement,8695,1966,1968,1966 René Barrientos Ortuño (President),
BOL,PRIN,Revolutionary Party of the National Left,8315,1979,1979,1979 Lydia (Lidia) Gueiler Tejada (President),
BOL,MNRI,Revolutionary Nationalist Movement of the Left,4389,1982,1984,1982 Hernán Siles Zuazo (President),
BOL,MIR,Revolutionary Left Movement - New Majority,4387,1989,1992,1989 Jaime Paz Zamora (President),
BOL,ADN,Nationalist Democratic Action,4393,1997,2001,1997 Hugo Banzer Suárez (President),
BOL,MAS,Movement for Socialism,442,2006,2020,2006 Juan Evo Morales Ayma (President),
BOL,MDS,Democrat Social Movement,8312,2019,2019,2019 Jeanine Áñez Chávez (President),
BRA,Rep,Republican Party,8292,1889,1893,1889 Manuel Deodoro da Fonseca (Chief of the Provisional Government),
BRA,PRP,Republican Party of São Paulo,6318,1894,1929,1894 Prudente José de Morais Barros (President),
BRA,PRM,Mineiro Republican Party,6048,1906,1925,1906 Afonso Augusto Moreira Pena (President),
BRA,PRF,Partido Republicano Fluminense,8291,1909,1909,1909 Nilo Procópio Peçanha (President),
BRA,PRC,Conservative Republican Party,6335,1910,1913,1910 Hermes Rodrigues da Fonseca (President),
BRA,PSD,Social Democratic Party,3816,1946,1960,1946 Eurico Gaspar Dutra (President),
BRA,PTB,Brazilian Labour Party (1945),4616,1951,1963,1951 Getúlio Dorneles Vargas (President),
BRA,ARENA,National Renewal Alliance,4614,1964,1978,1964 Humberto de Alencar Castelo Branco (President),
BRA,PDS,Democratic Social Party,1163,1979,1984,1979 João Baptista de Oliveira Figueiredo (President),
BRA,PMDB,Brazilian Democratic Movement Party,654,1985,2018,1985 José Sarney de Araújo Costa (President),
BRA,PRN/PTC,National Reconstruction Party / Christian Labour Party,4410,1990,1991,1990 Fernando Alfonso Collor de Mello (President),
BRA,PSDB,Brazilian Social Democracy Party,225,1995,2002,1995 Fernando Henrique Silva Cardoso (President),
BRA,PT,Workers' Party,356,2003,2015,2003 Luiz Inácio Lula da Silva (President),
BRA,PRTB,Brazilian Labour Renewal Party,8290,2019,2020,2019 Jair Messias Bolsonaro (President),
BWA,BDP,Botswana Democratic Party,2301,1965,2020,1966 Sir Seretse Khama (President),1965 Seretse Khama (Commissioner)
CAF,MESAN,Movement for the Social Evolution of Black Africa,4710,1958,1979,1960 David Dacko (President),1958 Barthélemy Boganda (Chef de territoire)
CAF,UDC,Central African Democratic Union,6365,1980,1980,1980 David Dacko (President),1980 Jean-Pierre Lebouder (President)
CAF,RDC,Central African Democratic Rally,5808,1987,1992,1987 André-Dieudonné Kolingba (President),1991 Édouard Frank (President)
CAF,MLPC,Movement for the Liberation of the Central African People,4897,1993,2002,1993 Ange-Félix Patassé (President),1993 Jean-Luc Mandaba (President)
CAF,KNK,"Convergence Nationale ""Kwa Na Kwa""",4896,2008,2017,2009 François Bozizé Yangouvonda (President),2008 Faustin-Archange Touadéra (President)
CAF,UFDR,Union of Democratic Forces for Unity,8412,2013,2013,2013 Michel Djotodia Am-Nondroko (Chief of State of the Transition),
CHL,PL,Liberal Party,4633,1880,1937,1880 Aníbal Pinto Garmendia (President),
CHL,PLD,Liberal Democratic Party,4646,1886,1926,1886 José Manuel Emiliano Balmaceda Fernández (President),
CHL,AL,Liberal Alliance,8296,1901,1914,1901 Germán Riesco Errázuriz (President),
CHL,PN,National Party,4632,1906,1909,1906 Pedro Elías Pablo Montt Montt (President),
CHL,PR,Radical Party,256,1931,1951,1931 Juan Esteban Montero Rodríguez (President),
