country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
FRA,PS,Socialist Party,1478,1981,2016,1981 François Maurice Mitterrand (President),1981 Pierre Mauroy (President)
FRA,RPR,Rally for the Republic,509,1986,2001,1995 Jacques René Chirac (President),1986 Jacques René Chirac (President)
FRA,UMP,Union for a Popular Movement,1595,2002,2011,2002 Jacques René Chirac (President),2002 Jean Pierre Raffarin (President)
FRA,LaREM,The Republic Onwards!,5857,2017,2020,2017 Emmanuel Jean-Michel Macron (President),
GAB,BDG/PDG,Gabonese Democratic Bloc / Gabonese Democratic Party,5200,1957,2020,1960 Gabriel Léon M'ba (Head of state),1957 Gabriel Léon M'ba (Governor)
GAB,PSD,Social Democratic Party,7553,2018,2018,2018 Pierre Claver Maganga-Moussavou (President),
GEO,MM,Round Table - Free Georgia,4551,1990,1991,1990 Zviad Konstantines dz Gamsakhurdia (Chairman of the Supreme Council),1991 Bessarion Paatis Gugushvili (President)
GEO,SMK,Citizens’ Union of Georgia,2148,1995,2002,1995 Eduard Ambrosis dze Shevardnadze (President),"1995 Nikoloz ""Niko"" Mikheilis dze Lekishvili (President)"
GEO,BDA,Burjanadze-Democratic Alliance,2146,2003,2006,2003 Nino Anzoris asuli Burjanadze (President),2003 Zurab Besarionis dze Zhvania (President)
GEO,ENM,United National Movement,2172,2004,2012,2004 Mikheil Nikolozis dze Saakashvili (President),
GEO,KODS,Georgian Dream – Democratic Georgia,2988,2012,2020,2013 Giorgi Teimurazis dze Margvelashvili (President),2012 Bidzina Grigolis dze Ivanishvili (President)
GHA,CPP,Convention People's Party,3660,1951,1965,1960 Kwame Nkrumah (President),1951 Kwame Nkrumah (Governor and Commanders-in-chief)
GHA,PNP,People's National Party,4837,1979,1980,1979 Hilla Limann (President),
GHA,NDC,National Democratic Congress,2311,1993,2016,1993 Jerry John Kwasi Rawlings (President),
GHA,NPP,New Patriotic Party,2312,2001,2020,2001 John Kofi Agyekum Kufuor (President),
GIN,RDA,Democratic Party of Guinea – African Democratic Rally,4737,1957,1983,1958 Ahmed Sékou Touré (President of the Government),1957 Ahmed Sékou Touré (Governor)
GIN,PUP,Unity and Progress Party,5780,1991,2007,1991 Lansana Conté (President),1999 Lamine Sidimé (President)
GIN,RPG,Rally of the People of Guinea Rainbow,4063,2010,2020,2010 Alpha Condé (President),
GMB,PPP,People's Progressive Party,5084,1962,1993,1970 Sir Dawda Kairaba Jawara (President),1962 David Kairaba Jawara (Governor)
GMB,APRC,Alliance for Patriotic Reorientation and Construction,3716,1996,2016,1996 Yahya Abdul-Azziz Jemus Junkung Jammeh (President),
GMB,UDP,United Democratic Party,3715,2017,2020,2017 Adama Barrow (President),
GNB,PAIGC,African Party for the Independence of Guinea and Cape Verde,4237,1973,2019,1973 Luís Severino de Almeida Cabral (President of the Council of State),1973 Francisco Mendès (President of the Council of State)
GNB,PRS,Social Renewal Party,4236,2000,2003,2000 Kumba Ialá (President),2000 Caetano N'Tchama (President)
GNB,Madem,Madem G15,7901,2020,2020,2020 Umaro Sissoco Embaló (President),
GNQ,IPGE,Popular Idea of Equatorial Guinea,6249,1968,1969,1968 Francisco Macías Nguema (President),
GNQ,PUNT,Worker’s National United Party,6367,1970,1978,1970 Francisco Macías Nguema (President),
GNQ,PDGE,Democratic Party of Equatorial Guinea,3824,1987,2020,1987 Teodoro Obiang Nguema Mbasogo (President),
GRC,ND,New Democracy,794,1974,2020,1975 Konstantínos Dimitríou Tsátsos (President),1974 Konstantínos Georgíou Karamanlís (President)
GRC,PASOK,Panhellenic Socialist Movement,1468,1981,2014,2005 Károlos Gregoriou Papoúlias (President),1981 Andréas Georgíou Papandréou (President)
GTM,PL,Liberal Party,5242,1880,1956,1880 Justo Rufino Barrios Auyón (President),
GTM,Con,Conservative Party,8316,1920,1920,1920 Carlos Rafael Herrera y Luna (President),
GTM,PAR,Revolutionary Action Party,4782,1945,1953,1945 Juan José Arévalo Bermejo (President),
GTM,MLN,National Liberation Movement Party,4334,1957,1977,1957 Guillermo Flores Avendaño (President),
GTM,PRDN,National Democratic Reconciliation Party,4736,1958,1962,1958 José Miguel Ramón Ydígoras Fuentes (President),
GTM,PR,Revolutionary Party,4425,1966,1969,1966 Julio César Méndez Montenegro (President),
GTM,PID,Democratic Institutional Party,4437,1978,1981,1978 Fernando Romeo Lucas García (President),
GTM,DCG,Guatemalan Christian Democracy,1322,1986,1990,1986 Marco Vinicio Cerezo Arévalo (President),
GTM,MAS,Solidarity Action Movement,5505,1991,1992,1991 Jorge Antonio Serrano Elías (President),
GTM,PAN,National Advancement Party,1035,1996,1999,1996 Álvaro Enrique Arzú Irigoyen (President),
GTM,FRG,Guatemalan Republican Front,941,2000,2003,2000 Alfonso Antonio Portillo Cabrera (President),
GTM,PSN,National Solidarity Party,8318,2004,2004,2004 Óscar José Rafael Berger Perdomo (President),
GTM,GANA,Grand National Alliance,538,2005,2007,2005 Óscar José Rafael Berger Perdomo (President),
GTM,UNE,National Unity of Hope,1668,2008,2011,2008 Álvaro Colom Caballeros (President),
GTM,PP,Patriotic Party,524,2012,2014,2012 Otto Fernando Pérez Molina (President),
GTM,FCN,National Convergence Front,5955,2016,2019,2016 Jimmy Morales Cabrera (President),
GTM,Vamos,Come on or Let's go,7910,2020,2020,2020 Alejandro Eduardo Giammattei Falla (President),
GUY,PNC-R,People's National Congress – Reform,4247,1964,2019,1980 Linden Forbes Sampson Burnham (President),1964 Linden Forbes Sampson Burnham (Governor)
GUY,PPP,People's Progressive Party,4246,1953,2020,1992 Cheddi Berret Jagan (President),1953 Cheddi Berret Jagan (Governor)
HND,Lib,Liberal,8334,1880,1893,1880 Marco Aurelio Soto Martínez (President),
HND,Con,Conservative,8335,1883,1892,1883 Luis Bográn Barahona (President),
HND,PNH,National Party of Honduras,1416,1894,2020,1894 José Policarpo Bonilla Vásquez (President),
HND,PLH,Liberal Party of Honduras,593,1899,2009,1899 Terencio Esteban Sierra Romero (President),
HRV,U,Ustasha - Croatian Revolutionary Movement,8283,1941,1944,1941 Ante Pavelić (Leader),1943 Nikola Mandić (Leader)
HRV,HDZ,Croatian Democratic Union,1431,1991,2020,1991 Franjo Tudjman (President),1991 Franjo Gregurić (President)
HRV,SDP,Social Democratic Party of Croatia,1475,2000,2020,2010 Ivo Josipovic (President),2000 Ivica Račan (President)
HTI,PN,National Party,8329,1880,1912,"1880 Louis Étienne Félicité Lysius Salomon, dit Lysius Salomon jeune (President)",
HTI,PL,Liberal Party,8330,1888,1911,"1888 François Déus Légitime, dit François Denys Légitime (President)",
HTI,PUN,National Unity Party,5273,1957,1985,"1957 François Duvalier ""Papa Doc"" (President)",
HTI,MIDH,Movement for the Installation of Democracy in Haiti,8328,1992,1992,1992 Marc Louis Bazin (President),1992 Marc Louis Bazin (President)
HTI,FNCD,National Front for Change and Democracy,5269,1993,1993,1993 Jean-Bertrand Aristide (President),
HTI,OPL,Lavalas Political Organization / Struggling People's Organization,5602,1994,1997,1994 Jean-Bertrand Aristide (President),1995 Claudette Antoine Werleigh (President)
HTI,FL,Lavalas Family,5268,1996,2003,1996 René Garcia Préval (President),1999 Jacques-Édouard Alexis (President)
HTI,Lespwa,Front for Hope,5828,2006,2008,2006 René Garcia Préval (President),2006 Jacques-Édouard Alexis (President)
HTI,INITE,Inite,5271,2009,2016,2009 René Garcia Préval (President),2009 Jean-Max Bellerive (President)
HTI,RP,Peasant Response,6069,2011,2015,2011 Michel Joseph Martelly (President),
HTI,PHTK,Haitian Bald Head Party,7253,2017,2020,2017 Jovenel Moïse (President),
HUN,SP,Liberal Party,6813,1880,1904,1880 Kálmán Tisza borosjenői és szegedi (Prime minister),
HUN,OAP,National Constitution Party,6818,1906,1909,1906 Sándor Wekerle (Prime minister),
HUN,NMP,National Party of Work,6819,1910,1916,1910 Károly gróf Khuen-Héderváry hédervári (Prime minister),
HUN,F48P,Party of Independence and '48 / Függetlenségi Párt,6814,1917,1918,1917 Sándor Wekerle (Prime minister),
HUN,MSZP,Hungarian Socialist Party,1408,1919,2008,1919 Sándor Garbai (Chairman of the Revolutionary Governing Council),1989 Miklós Németh (President)
HUN,FKgP,Independent Smallholders' Party (1930),5756,1946,1947,1946 Zoltán Tildy (President),
HUN,MDP,Hungarian Working People's Party,5753,1948,1955,1948 Árpád Szákasits (President),1948 Mátyás Rákosi (President)
HUN,MSZMP,Hungarian Socialist Workers' Party,299,1955,1988,1956 István Dobi (Chairman of the Presidential Council),1955 János József Kádár (Chairman of the Presidential Council)
HUN,SzDSz,Alliance of Free Democrats,910,1990,1999,1990 Árpád Göncz (President),
HUN,Fidesz,Fidesz – Hungarian Civic Alliance,1691,1998,2020,2010 Pál Schmitt (President),1998 Viktor Orbán (President)
IDN,PNI,Indonesian National Party,4500,1945,1966,1945 Sukarno (President),1952 Wilopo (President)
IDN,Golkar,Party of the Functional Groups,2304,1967,1998,1967 Suharto (President),
IDN,PKB,National Awakening Party,2559,1999,2000,"1999 Abdurrahman Wahid ""Gus Dur"" (President)",
IDN,PDIP,Indonesian Democratic Party of Struggle,2560,2001,2020,2001 Dyah Permata Megawati Setyawati Sukarnoputri (President),
IDN,PD,Democratic Party,2561,2004,2013,2004 Susilo Bambang Yudhoyono (President),
IND,INC,Indian National Congress,1297,1946,2016,1950 Rajendra Prasad (President),"1946 Jawaharlal Nehru (Viceroy, Governor-general and Crown Representative)"
IND,BJP,Indian People's Party,422,1998,2020,2017 Ram Nath Kovind (President),1998 Atal Bihari Vajpayee (President)
IRL,SF,Sinn Fein / We Ourselves,2507,1919,1921,1919 Eamon de Valera (President of the Ministry),
IRL,FF,Fianna Fail – The Republican Party,1055,1932,2020,"1936 Francis ""Frank"" Patrick Fahy + Eamon de Valera (Governors-general)",1932 Eamon de Valera (Governors-general)
IRL,Lab,Labour Party,562,2011,2020,2011 Michael Daniel Higgins (President),
IRQ,IIA,Iraqi Arab Socialist Union,5752,1963,1968,1963 Abdul Salam Arif (President),1967 Tahir Yahya (President)
IRQ,HAB,Arab Socialist Ba'ath Party – Iraq Region,5361,1968,2002,1968 Ahmad Hassan al-Bakr (President),1991 Muhammad Hamza al-Zubaydi (President)
IRQ,PUK,Patriotic Union of Kurdistan,5616,2005,2020,2005 Jalal Talabani (President),
IRQ,IDP,Islamic Dawa Party,5615,2005,2017,2012 Khudair Moussa Jafar Abbas al-Khuzai (President),2005 Ibrahim al-Shiqr al-Jaafari (President)
ISL,He,Home Rule Party,1958,1904,1918,1904 Hannes Hafstein (Minister of Iceland),
ISL,Sj,Independence Party (1907),1954,1909,1923,1909 Björn Jonssón (Minister of Iceland),
ISL,SF,Union Party,8173,1912,1913,1912 Hannes Hafstein (Minister of Iceland),
ISL,Ih,Conservative Party,1891,1919,1928,1919 Jón Magnússon (Prime minister),
ISL,Sj,Independence Party,363,1929,2008,1929 Tryggvi Thórhallsson (Prime minister),1944 Ólafur Thors (President)
ISL,F,Progressive Party,964,1932,2016,1932 Ásgeir Ásgeirsson (Prime minister),"1940 Hermann Jónasson (Government of Iceland, the Holder of Royal Power)"
ISR,Mapai,Workers Party of the Land of Israel,109,1948,1972,1952 Yitzhak Ben-Zvi (President),1948 David Ben-Gurion (Chairman of the Provisional State Council)
ISR,Labor,Israeli Labor Party,1436,1968,2000,1973 Efrayim Katsir (President),1968 Levi Eshkol (President)
ISR,L,Likud-National Liberal Movement,1036,1977,2020,2000 Moshe Katzav (President),1977 Menachem Begin (President)
ISR,Kadima,Forward,484,2005,2013,2007 Shimon Peres (President),2005 Ariel Sharon (President)
ITA,PLI,Italian Liberal Party,1461,1946,1954,1946 Enrico De Nicola (Provisional Head of State),
ITA,DC,Christian Democrats,934,1945,1993,1955 Giovanni Gronchi (President),1945 Alcide De Gasperi (Regent)
ITA,PSDI,Italian Democratic Socialist Party,1126,1964,1970,1964 Giuseppe Saragat (President),
ITA,PSI,Italian Socialist Party,742,1978,1992,"1978 Alessandro ""Sandro"" Pertini (President)",1983 Bettino Craxi (President)
ITA,DS,Democrats of the Left,878,1998,2020,2006 Giorgio Napolitano (President),1998 Massimo D'Alema (President)
KAZ,QKP,Communist Party of Kazakhstan,4350,1990,1990,1990 Nursultan Äbishuly Nazarbaev (President),1990 Uzakbay Karamanovich Karamanov (President)
KAZ,NO,Bright Fatherland,3748,1999,2020,1999 Nursultan Äbishuly Nazarbaev (President),1999 Qasym-Zhomart Kemeluly Toqaev (President)
KEN,KANU,Kenya African National Union,2316,1963,2001,1964 Jomo Kenyatta (President),1963 Jomo Kenyatta (Governor)
KEN,DP,Democratic Party,3860,2002,2006,2002 Emilio Mwai Kibaki (President),
KEN,PNU,Party of National Unity,2359,2007,2012,2007 Emilio Mwai Kibaki (President),
KEN,TNA,The National Alliance,3867,2013,2015,2013 Uhuru Muigai Kenyatta (President),
KEN,JP,Jubilee Party,6912,2016,2020,2016 Uhuru Muigai Kenyatta (President),
KGZ,AJ,White Path,5382,2007,2009,2007 Kurmanbek Saliyevich Bakiyev (President),2007 Igor Vitalyevich Chudinov (President)
KGZ,KSP,Social Democratic Party of Kyrgyzstan,4526,2010,2019,2010 Roza Isakovna Otunbayeva (President),2010 Almazbek Sharshenovich Atambayev (President)
KGZ,R,Respublika,4528,2011,2020,2020 Talant Turdumamatovich Mamytov (President),2011 Omurbek Toktogulovich Babanov (President)
KHM,Sangkum,People's Socialist Community,4721,1955,1971,1970 Cheng Heng (Head of State),1955 Prince Norodom Sihanouk (King)
KHM,PSR,Social Republican Party,6887,1972,1974,1972 Lon Nol (President),1972 Hang Thun Hak (President)
KHM,FUNK,National United Front of Kampuchea,5830,1975,1975,1975 Prince Norodom Sihanouk (Head of State),1975 Samdech Penn Nouth (Head of State)
KHM,KCP,Communist Party of Kampuchea,8506,1976,1979,1976 Khieu Samphan (Chairman of the State Presidium),1976 Pol Pot (Chairman of the State Presidium)
KHM,FUNSK,Kampuchean United Front for National Salvation,8505,1979,1980,1979 Heng Samrin (President of the People's Revolutionary Council),
KHM,KPK,Cambodian Peoples' Party / Kampuchean People's Revolutionary Party,3765,1981,2020,1981 Heng Samrin (Chairman of the Council of State),1981 Chan Sy (Chairman of the Council of State)
KOR,LP,Liberal Party,4455,1948,1959,1948 Syngman Rhee (President),
KOR,DP,Democratic Party,4458,1960,1961,1960 Yun Po Sun (President),1960 Chang Myon (President)
KOR,DRP,Democratic Republican Party,4511,1963,1979,1963 Park Chung Hee (President),
KOR,DJP,Democratic Justice Party,4341,1981,1989,1981 Chun Doo Hwan (President),
KOR,MK/SH,Democratic Liberal Party / New Korea Party,894,1990,1997,1990 Roh Tae Woo (President),
KOR,NCNP,National Congress for New Politics,2019,1998,1999,1998 Kim Dae Jung (President),
KOR,MDP,Millenium Democratic Party,2548,2000,2002,2000 Kim Dae Jung (President),
KOR,Uri,Our Party,2452,2004,2006,2004 Roh Moo Hyun (President),
KOR,HD-SD,New World Party -- The Grand National Party,2307,2008,2015,2008 Lee Myung Bak (President),
KOR,DPK,Democratic Party / Minjoo Party of Korea,6561,2017,2020,2017 Moon Jae In (President),
LAO,LI,Free Laos,8507,1945,1945,1945 Prince Phetsarath Rattanavongga (Head of State),
LAO,LPRP,Lao People's Revolutionary Party,5203,1975,2020,1975 Prince Souphanouvong (President),1975 Kaysone Phomvihane (President)
LBN,NB,National Bloc,4741,1929,1940,1936 Émile Eddé (President),1929 Émile Eddé (President)
LBN,Kateab,Lebanese Phalanges Party,2566,1941,1987,1941 Alfred Georges Naccache (President),
LBN,CB,Constitutional Bloc,6039,1927,1957,1943 Béchara Khalil El-Khoury (President),1927 Béchara Khalil El-Khoury (President)
LBN,MM,Marada Movement,3166,1970,1975,1970 Suleiman Kabalan Franjieh (President),
LBN,FM,Future Movement,2562,1992,2019,2007 Fouad Siniora (President),1992 Rafiq Bahaeddine Hariri (President)
LBN,FPM,Free Patriotic Movement,2564,2016,2020,2016 Michel Naim Aoun (President),
LBR,TWP,True Whig Party,5837,1880,1979,1880 Anthony William Gerdner (President),
LBR,NDPL,National Democratic Party of Liberia,4143,1984,1989,1984 Samuel Kanyon Doe (Head of state),
LBR,LPP,Liberian People's Party,5870,1990,1993,1990 Amos Claudius Sawyer (President of the Interim Government of National Unity),
LBR,NPP,National Patriotic Party,4142,1997,2002,1997 Charles Ghankay MacArthur Dapkpana Taylor (President),
LBR,LAP,Liberian Action Party,5376,2003,2005,2003 Charles Gyude Bryant (Chairman of the National Transitional Government),
LBR,UP,Unity Party,4140,2006,2017,2006 Ellen Johnson-Sirleaf (President),
LBR,CDC,Congress for Democratic Change,4136,2018,2020,2018 George Manneh Weah (President),
LBY,NFP,National Front Party,8435,2013,2013,2013 Nuri Ali Abu Sahmayn (President of the General National Congress),
LKA,EJP,United National Party,1966,1947,1993,1978 Junius Richard Jayawardene (President),1947 Don Stephen Senanayake (Governor)
LKA,SLNP,Sri Lanka Freedom Party,1967,1956,2018,1994 Chandrika Bandaranaike Kumaratunga (President),1956 Solomon Ridgeway Dias Bandaranaike (Governor-general)
LKA,SLPP,Sri Lanka People's Front,8499,2019,2020,2019 Nandasena Gotabaya Rajapaksa (President),
LTU,TPP,Party of National Progress,51,1918,1919,1918 Antanas Smetona (President of the Lithuanian State Council),
LTU,LUS,Lithuanian Farmer's Union,8368,1920,1925,1920 Aleksandras Stulginskis (President),
LTU,LTS,Lithuanian National Union,377,1926,1939,1926 Antanas Smetona (Tautos Vadas),1926 Augustinas Voldemaras (Tautos Vadas)
LTU,LPS,Reform Movement of Lithuania,5779,1990,1991,1990 Vytautas Landsbergis (Chairman of the Supreme Council),
LTU,LDDP,Democratic Labour Party of Lithuania,546,1992,1997,1992 Algirdas Mykolas Brazauskas (President),1993 Adolfas Šleževičius (President)
LTU,TT-LDP,Order and Justice – Liberal Democratic Party,237,2003,2003,2003 Rolandas Paksas (President),
LVA,LZS,Latvian Farmers' Union,1702,1920,1998,1920 Jānis Čakste (President of the Constituent Assembly),1920 Kārlis Augusts Vilhelms Ulmanis (President of the Constituent Assembly)
LVA,DC,Democratic Centre,5707,1923,1929,1923 Jānis Čakste (State President),
LVA,LTF,Popular Front of Latvia,1315,1990,1992,1990 Anatolijs Gorbunovs (Chairman of the Supreme Council),1990 Ivars Godmanis (Chairman of the Supreme Council)
MDA,PCRM,Party of Communists of the Republic of Moldova,2260,1997,2008,1997 Petru Chiril Lucinschi (President),2001 Vasile Petru Tarlev (President)
MDA,PL,Liberal Party,2272,2009,2015,2009 Mihai Toader Ghimpu (President),2015 Gheorghe Brega (President)
MDA,PDM,Democratic Party of Moldova,2265,2010,2018,2010 Marian Ilie Lupu (President),2016 Pavel Filip (President)
MDA,PAS,Party of Action and Solidarity,7904,2020,2020,2020 Maia Sandu (President),
MDG,PSD,Social Democratic Party of Madagascar and the Comoros,5372,1957,1971,1959 Philibert Tsiranana (President),1957 Philibert Tsiranana (High Commissioner)
MDG,AREMA,Association for the Rebirth of Madagascar,5311,1975,2001,"1975 Didier Ignace Ratsiraka (President of the Supreme Revolutionary Council, Head of State and Government)",1976 Justin Rakotoniaina (President)
MDG,UNDD,National Union for Democracy and Development,5869,1993,1995,1993 Albert Zafy (President),1995 Emmanuel Rakotovahiny (President)
MDG,AVI,Judged By Your Work Party,5373,1996,1996,1996 Norbert Lala Ratsirahonana (President),1996 Norbert Ratsirahonana (President)
MDG,TIM,I Love Madagascar,5201,2002,2008,2002 Marc Ravalomanana (President),2007 Charles Rabemananjara (President)
MDG,TGV,Young Malagasies Determined,8438,2009,2020,2009 Andry Nirina Rajoelina (President of the High Transitional Authority),
MDG,HVM,New Forces for Madagascar,8436,2014,2018,2014 Hery Martial Rajaonarimampianina Rakotoarimanana (President),2014 Roger Kolo (President)
MDV,DRP,Maldivian People’s Party,5327,2005,2007,2005 Maumoon Abdul Gayoom (President),
MDV,MDP,Maldivian Democratic Party,5329,2008,2020,2008 Mohamed Nasheed (President),
MDV,GIP,National Unity Party,8344,2012,2012,2012 Mohamed Waheed Hassan (President),
MDV,PPM,Progressive Party of Maldives,5682,2013,2017,2013 Abdulla Yameen Abdul Gayoom (President),
MEX,PL,Liberal Party,8603,1880,1883,1880 Manuel del Refugio González Flores (President),
MEX,PNP,Porfirist National Party,8336,1884,1910,1884 José de la Cruz Porfirio Díaz Mori (President),
MEX,PCP,Progressive Constitutionalist Party,8337,1911,1912,1911 Francisco Ignacio Madero González (President),
MEX,Con,Conservative Party,8339,1914,1916,1914 Eulalio Martín Gutiérrez Ortiz (President),
MEX,PLC,Constitutionalist Liberal Party,8340,1917,1919,1917 José Venustiano Carranza de la Garza (President),
MEX,PLM,Mexican Labour Party,5867,1920,1927,1920 Álvaro Obregón Salido (President),
MEX,PRI,National Revolutionary Party / Party of the Mexican Revolution / Institutional Revolutionary Party,1474,1928,2017,1928 Emilio Cándido Portes Gil (President),
MEX,PAN,National Action Party,696,2000,2011,2000 Vicente Fox Quesada (President),
MEX,MORENA,National Regeneration Movement,6110,2018,2020,2018 Andrés Manuel López Obrador (President),
MKD,VMRO-DPMNE,Internal Macedonian Revolutionary Organization – Democratic Party for Macedonian National Unity,1674,1998,2018,1999 Boris Kiril Trajkovski (President),1998 Ljupčo Georgievski (President)
MKD,SDSM,Social Democratic Union of Macedonia,1508,1992,2020,2004 Branko Crvenkovski (President),1992 Branko Crvenkovski (President)
MLI,US-RDA,Sudanese Union – African Democratic Rally,2475,1959,1967,1959 Jean Charles Sicurani (High Commissioner),1959 Modibo Keïta (High Commissioner)
MLI,UDPM,Democratic Union of the Malian People,5374,1976,1990,"1976 Moussa Traoré (President of the Military Committee of National Liberation, Chief of State)",1986 Mamadou Dembélé (President)
MLI,ADEMA-PASJ,"The Alliance for Democracy in Mali – Pan-African Party for Liberty, Solidarity and Justice",2477,1992,2016,1992 Alpha Oumar Konaré (President),1992 Younoussi Touré (President)
MLI,RPM,Rally for Mali,2319,2013,2019,2013 Ibrahim Boubacar Keïta (President),
MLT,MLP,Malta Labour Party,808,1947,2020,1976 Anton Buttigieg (President),1947 Paul Boffa (Governor)
MLT,PN,Nationalist Party,699,1924,2012,"1989 Vincent ""Censu"" Tabone (President)",1924 Ugo Pasquale Mifsud (Governor)
MMR,FB,Freedom Bloc,8508,1942,1943,1943 Ba Maw (Supreme Chief of State),1942 Ba Maw (Japanese Military Commander)
MMR,MB,Greater Burma,8509,1944,1944,1944 Ba Maw (Supreme Chief of State),
MMR,AFPFL,Anti-Fascist People's Freedom League,4745,1946,1961,1948 Saw Shwe Thaik (President),1946 Aung San (Governor)
MMR,BSPP,Burma Socialist Programme Party,5796,1972,1988,1972 Ne Win (President),1974 Sein Win (President)
MMR,USDP,Union Solidarity and Development Party,5818,2010,2015,2010 Than Shwe (Chairman of the State Peace and Development Council),2010 Thein Sein (Chairman of the State Peace and Development Council)
MMR,NLD,National League for Democracy,5973,2016,2020,2016 Htin Kyaw (President),2016 Aung San Suu Kyi (President)
MNE,DPS,Democratic Party of Socialists of Montenegro,3162,1998,2020,1998 Milo Đukanović (President),1998 Filip Vujanović (President)
MNG,MAN,Mongolian People's [Revolutionary] Party,2322,1921,2020,1924 Peljidiyn Genden (Chairman of the Presidium of the State Little Hural),1921 Dogsomyn Bodoo (Bogd Khaan)
MNG,MSDP,Mongolian Social Democratic Party,5872,1993,1996,1993 Punsalmaagiyn Ochirbat (President),
MNG,AN,Democratic Party,2321,2004,2020,2009 Tsakhiagiyn Elbegdorj (President),2004 Tsakhiagiyn Elbegdorj (President)
MOZ,FRELIMO,Liberation Front of Mozambique,2314,1974,2020,1975 Samora Moisés Machel (President),1974 Joaquim Alberto Chissanó (High Commissioner and Governor-general)
MRT,PRM,Mauritanian Regroupment Party,6251,1958,1960,1960 Moktar Ould Daddah (President),1958 Moktar Ould Daddah (High Commissioner)
MRT,PPM,Mauritanian People's Party,5289,1960,1977,1961 Moktar Ould Daddah (President),1960 Moktar Ould Daddah (President)
MRT,PRDS / PRDR,Democratic and Social Republican Party / Democratic Republican Party for Renewal,5288,1992,2006,1992 Maaouya Ould Sid'Ahmed Taya (President),1992 Sidi Mohamed Ould Boubacar (President)
MRT,UPR,Union for the Republic,5819,2009,2020,2009 Mohamed Ould Abdel Aziz (President),2018 Mohamed Salem Ould Béchir (President)
MUS,MMM,Mauritian Militant Movement,2460,1982,2004,1992 Cassam Uteem (President),1982 Anerood Jugnauth (Governor-general and Commanders-in-chief)
MUS,MSM,Militiant Socialist Movement,3798,1983,2020,2002 Karl Auguste Offmann (President),1983 Anerood Jugnauth (Governor-general and Commanders-in-chief)
MUS,PT,Labour Party,2320,1961,2014,2012 Rajkeswur (Kailash) Purryag (President),1961 Seewoosagur Ramgoolam (Governor and Commander-in-chief)
MWI,MCP,Malawi Congress Party,3732,1963,2020,1966 Hastings Kamuzu Banda (President),1963 Hastings Kamuzu Banda (Governor)
MWI,UDF,United Democratic Front,3734,1994,2004,1994 Elson Bakili Muluzi (President),
MWI,DPP,Democratic Progressive Party,4846,2005,2019,2005 Bingu wa Mutharika (President),
MWI,PP,People's Party,4847,2012,2013,2012 Joyce Hilda Banda (President),
NAM,SWAPO,South West Africa People's Organization,2331,1990,2020,1990 Samuel Daniel Shafiishuna Nujoma (President),
NER,PPN-RDA,Nigerien Progressive Party – African Democratic Rally,5347,1959,1973,1960 Hamani Diori (President),1959 Hamani Diori (High commissioner)
NER,MNSD-N,National Movement for the Development of Society,2350,1988,2009,1989 Ali Saibou (President),1988 Mamane Oumarou (President of the Supreme Military Council)
NER,CDS,Democratic and Social Convention,2352,1993,1995,1993 Mahamane Ousmane (President),1994 Souley Abdoulaye (President)
NER,RDP-J/UNIRD,Rally for Democracy and Progress / National Union of Independents for Democratic Renewal,5804,1996,1999,1996 Ibrahim Baré Mainassara (President),1996 Amadou Boubacar Cissé (President)
NER,PNDS,Nigerien Party for Democracy and Socialism,2325,1993,2020,2011 Mahamadou Issoufou (President),1993 Mahamadou Issoufou (President)
NGA,NCNC,National Council of Nigeria and the Cameroons,5353,1960,1965,1960 Nnamdi Chukwuemeka Azikiwe (Governor-general and Commander-in-chief),
NGA,NPN,National Party of Nigeria,5351,1979,1982,1979 Shehu Usman Aliyu Shagari (President and Commanders-in-chief of the Armed Forces),
NGA,PDP,People's Democratic Party,2354,1999,2014,"1999 Olusegun Fajinmi Okikiolakan Aremu Obasanjo (President, Commander-in-chief of the Armed Forces)",
NGA,APC,All Progressives Congress,5538,2015,2020,"2015 Muhammadu Buhari (President, Commander-in-chief of the Armed Forces)",
NIC,PD / PL,Democratic Party / Liberal Party,5384,1880,1936,1880 Joaquín Zavala Solís (President),
NIC,PCN,Conservative Party,185,1889,1928,1889 Roberto Sacasa Sarria (President),
NIC,PRC,Conservative Republican Party,8379,1923,1925,1923 Bartolomé Martínez González (President),
NIC,PLN,Nationalist Liberal Party,4749,1937,1978,1937 Anastasio Somoza García (President),
NIC,FSLN,Sandinista National Liberation Front,769,1979,2020,1979 José Daniel Ortega Saavedra (President),
NIC,UNO,National Opposition Union,7145,1990,1996,1990 Violeta Barrios Torres de Chamorro (President),
NIC,PLC,Constitutionalist Liberal Party,286,1997,2006,1997 José Arnoldo Alemán Lacayo (President),
NOR,H,Conservative Party,503,1880,2020,1880 Christian August Selmer (Prime minister),1912 Jens Kristian Meinich Bratlie (King)
NOR,V,Liberal Party of Norway,1173,1884,1934,1884 Johan Sverdrup (Prime minister),1905 Peter Christian Hersleb Michelsen (King)
NPL,NC,Nepali Congress,3756,1951,2017,2007 Girija Prasad Koirala (Head of State),1951 Matrika Prasad Koirala (King)
NPL,CPN-UML,Communist Party of Nepal (Unified Marxist–Leninist),3755,1994,2017,2015 Bidhya Devi Bhandari (President),1994 Man Mohan Adhikari (King)
