party_id,country,party_name_short,party_name_english,party_name,family,url,first,last,cabinet_n,election_n,share_max_year,share_max,wikipedia
2002,ROU,UNPR,National Union for the Progress of Romania,Uniunea Naţională pentru Progresul României,soc,http://www.parlgov.org/explore/rou/party/2002/,2012,2012,4,,,,http://en.wikipedia.org/wiki/National_Union_for_the_Progress_of_Romania
2646,ROU,USR|PLUS,"Save Romania Union | Party of Liberty, Unity and Solidarity","Uniunea Salvați România | Partidul Libertate, Unitate și Solidaritate",lib,http://www.parlgov.org/explore/rou/party/2646/,2016,2020,1,2,2020,15.4,https://en.wikipedia.org/wiki/Save_Romania_Union
2015,SVK,99%,99 Percent -- Civic Voice,99% – občiansky hlas,com,http://www.parlgov.org/explore/svk/party/2015/,2012,2012,,1,2012,1.6,http://de.wikipedia.org/wiki/99%25_%E2%80%93_ob%C4%8Diansky_hlas
1624,SVK,ADS,Alliance of Democrats,Aliancia demokratov Slovenska,lib,http://www.parlgov.org/explore/svk/party/1624/,,,1,,,,http://sk.wikipedia.org/wiki/Aliancia_demokratov_Slovenska
1200,SVK,ANO,Alliance of the New Citizen,Aliancia nového občana,lib,http://www.parlgov.org/explore/svk/party/1200/,2002,2012,2,3,2002,8,http://en.wikipedia.org/wiki/Aliancia_Noveho_Obcana
1000,SVK,DS,Democratic Party,Demokratická strana,chr,http://www.parlgov.org/explore/svk/party/1000/,1990,1994,2,3,1990,4.4,http://en.wikipedia.org/wiki/Democratic_Party_%28Slovakia%29
1495,SVK,DUS,Democratic Union,Demokratická únia,lib,http://www.parlgov.org/explore/svk/party/1495/,1994,1994,1,1,1994,8.6,http://en.wikipedia.org/wiki/Democratic_Union_%28Slovakia%29
2797,SVK,DV,Good Choice,Dobrá voľba,soc,http://www.parlgov.org/explore/svk/party/2797/,2020,2020,,1,2020,3.1,https://sk.wikipedia.org/wiki/DOBR%C3%81_VO%C4%BDBA
2160,SVK,HZD,Movement for Democracy,Hnutie za demokraciu,con,http://www.parlgov.org/explore/svk/party/2160/,2002,2002,,1,2002,3.3,http://en.wikipedia.org/wiki/Movement_for_Democracy_%28Slovakia%29
1142,SVK,HZDS,Movement for a Democratic Slovakia,Hnutie za demokratické Slovensko,con,http://www.parlgov.org/explore/svk/party/1142/,1992,2010,6,6,1992,37.3,http://en.wikipedia.org/wiki/Movement_for_a_Democratic_Slovakia
2239,SVK,HZPCS,Movement for a Prosperous Czechia and Slovakia,Hnutie za prosperujúce Cesko a Slovensko,code,http://www.parlgov.org/explore/svk/party/2239/,1994,1994,,1,1994,1,http://sk.wikipedia.org/wiki/Vo%C4%BEby_do_N%C3%A1rodnej_rady_Slovenskej_republiky_v_roku_1994
44,SVK,KSS,Communist Party of Slovakia,Komunistická strana Slovenska,com,http://www.parlgov.org/explore/svk/party/44/,1994,2014,,4,2002,6.3,http://en.wikipedia.org/wiki/Communist_Party_of_Slovakia
936,SVK,KSU,Christian Social Union,Krest’anská sociálna únia Slovenska,chr,http://www.parlgov.org/explore/svk/party/936/,1992,1994,,2,1992,3,http://sk.wikipedia.org/wiki/Slovensk%C3%A9_kres%C5%A5ansko-demokratick%C3%A9_hnutie
