country,iso3
CZ,CZE
ESP,ESP
EST,EST
FR,FRA
GER,DEU
GR,GRC
HUN,HUN
IT,ITA
NL,NLD
POL,POL
POR,PRT
SLO,SVK
SV,SWE
UK,GBR
