wave,year,country,party,n,share
3,1998,36,36002,640,34.3
3,1998,36,36003,96,5.1
3,1998,36,36004,163,8.7
3,1998,36,36005,135,7.2
3,1998,36,36006,4,0.2
3,1998,36,36007,152,8.2
3,1998,36,36012,13,0.7
3,1998,50,50001,875,58.7
3,1998,50,50002,310,20.8
3,1998,50,50003,143,9.6
3,1998,50,50004,56,3.8
3,1998,50,50005,106,7.1
3,1998,51,51001,351,21.3
3,1998,51,51002,263,16
3,1998,51,51003,388,23.5
3,1998,51,51004,50,3
3,1998,51,51005,181,11
3,1998,51,51006,89,5.4
3,1998,51,51007,116,7
3,1998,51,51008,23,1.4
3,1998,51,51009,38,2.3
3,1998,51,51010,31,1.9
3,1998,51,51011,12,0.7
3,1998,51,51012,31,1.9
3,1998,51,51013,27,1.6
3,1998,51,51014,30,1.8
3,1998,51,51015,18,1.1
3,1998,100,100001,482,55
3,1998,100,100003,186,21.2
3,1998,100,100004,71,8.1
3,1998,100,100005,31,3.5
3,1998,100,100006,66,7.5
3,1998,100,100011,2,0.2
3,1998,100,100012,15,1.7
3,1998,100,100013,1,0.1
3,1998,100,100038,23,2.6
3,1998,112,112002,48,3.6
3,1998,112,112009,141,10.6
3,1998,112,112010,15,1.1
3,1998,112,112013,61,4.6
3,1998,112,112015,77,5.8
3,1998,112,112019,126,9.5
3,1998,112,112020,253,19.1
3,1998,112,112023,22,1.7
3,1998,112,112024,88,6.6
3,1998,112,112025,52,3.9
3,1998,112,112026,57,4.3
3,1998,112,112028,93,7
3,1998,112,112030,76,5.7
3,1998,112,112031,58,4.4
3,1998,112,112032,80,6
3,1998,112,112043,80,6
3,1998,152,152001,62,10.2
3,1998,152,152002,63,10.4
3,1998,152,152003,20,3.3
3,1998,152,152005,17,2.8
3,1998,152,152006,123,20.3
3,1998,152,152007,68,11.2
3,1998,152,152008,21,3.5
3,1998,152,152009,15,2.5
3,1998,152,152010,216,35.7
3,1998,158,158001,320,64.9
3,1998,158,158002,107,21.7
3,1998,158,158003,39,7.9
3,1998,158,158016,27,5.5
3,1998,170,170001,812,20.7
3,1998,170,170002,2101,53.5
3,1998,170,170003,84,2.1
3,1998,170,170009,303,7.7
3,1998,170,170014,105,2.7
3,1998,170,170018,87,2.2
3,1998,170,170019,434,11.1
3,1998,191,191001,16,1.5
3,1998,191,191002,6,0.6
3,1998,191,191004,368,33.9
3,1998,191,191005,7,0.6
3,1998,191,191007,18,1.7
3,1998,191,191009,157,14.4
3,1998,191,191010,280,25.8
3,1998,191,191011,37,3.4
3,1998,191,191012,10,0.9
3,1998,191,191014,12,1.1
3,1998,191,191016,43,4
3,1998,191,191020,5,0.5
3,1998,191,191021,120,11
3,1998,191,191023,8,0.7
3,1998,203,203001,231,26
3,1998,203,203002,7,0.8
3,1998,203,203003,124,14
3,1998,203,203004,17,1.9
3,1998,203,203006,96,10.8
3,1998,203,203007,5,0.6
3,1998,203,203008,56,6.3
3,1998,203,203009,184,20.7
3,1998,203,203011,17,1.9
3,1998,203,203012,23,2.6
3,1998,203,203013,75,8.5
3,1998,203,203022,13,1.5
3,1998,203,203026,4,0.5
3,1998,203,203029,27,3
3,1998,203,203032,1,0.1
3,1998,203,203034,1,0.1
3,1998,203,203035,6,0.7
3,1998,214,214001,168,49.1
3,1998,214,214002,134,39.2
3,1998,214,214003,35,10.2
3,1998,214,214005,2,0.6
3,1998,214,214006,1,0.3
3,1998,214,214007,1,0.3
3,1998,214,214008,1,0.3
3,1998,222,222001,312,55.4
3,1998,222,222002,151,26.8
3,1998,222,222003,40,7.1
3,1998,222,222004,39,6.9
3,1998,222,222005,18,3.2
3,1998,222,222006,1,0.2
3,1998,222,222007,2,0.4
3,1998,233,233002,105,11.3
3,1998,233,233003,49,5.3
3,1998,233,233005,70,7.5
3,1998,233,233008,142,15.2
3,1998,233,233009,1,0.1
3,1998,233,233010,58,6.2
3,1998,233,233012,40,4.3
3,1998,233,233014,141,15.1
3,1998,233,233016,49,5.3
3,1998,233,233017,27,2.9
3,1998,233,233018,21,2.3
3,1998,233,233019,30,3.2
3,1998,233,233020,1,0.1
3,1998,233,233021,5,0.5
3,1998,233,233022,21,2.3
3,1998,233,233023,10,1.1
3,1998,233,233024,10,1.1
3,1998,233,233025,4,0.4
3,1998,233,233026,39,4.2
3,1998,233,233027,1,0.1
3,1998,233,233028,14,1.5
3,1998,233,233035,84,9
3,1998,233,233036,10,1.1
3,1998,246,246001,207,27.7
3,1998,246,246002,161,21.6
3,1998,246,246003,107,14.3
3,1998,246,246004,47,6.3
3,1998,246,246005,19,2.5
3,1998,246,246006,90,12
3,1998,246,246008,12,1.6
3,1998,246,246021,35,4.7
3,1998,246,246024,20,2.7
3,1998,246,246025,49,6.6
3,1998,268,268001,34,2
3,1998,268,268002,109,6.3
3,1998,268,268003,174,10.1
3,1998,268,268004,31,1.8
3,1998,268,268005,420,24.3
3,1998,268,268006,20,1.2
3,1998,268,268007,44,2.6
3,1998,268,268008,42,2.4
3,1998,268,268009,35,2
3,1998,268,268010,3,0.2
3,1998,268,268011,44,2.6
3,1998,268,268012,94,5.4
3,1998,268,268013,454,26.3
3,1998,268,268014,15,0.9
3,1998,268,268015,57,3.3
3,1998,268,268017,19,1.1
3,1998,268,268018,33,1.9
3,1998,268,268019,26,1.5
3,1998,268,268020,18,1
3,1998,268,268021,27,1.6
3,1998,268,268022,26,1.5
3,1998,276,276001,425,26.1
3,1998,276,276002,612,37.5
3,1998,276,276003,58,3.6
3,1998,276,276005,174,10.7
3,1998,276,276011,25,1.5
3,1998,276,276014,1,0.1
3,1998,276,276016,3,0.2
3,1998,276,276017,3,0.2
3,1998,276,276018,1,0.1
3,1998,276,276019,2,0.1
3,1998,276,276020,1,0.1
3,1998,276,276030,326,20
3,1998,348,348001,11,2.2
3,1998,348,348002,35,6.9
3,1998,348,348003,29,5.7
3,1998,348,348005,5,1
3,1998,348,348006,165,32.6
3,1998,348,348007,17,3.4
3,1998,348,348009,1,0.2
3,1998,348,348010,6,1.2
3,1998,348,348013,10,2
3,1998,348,348021,20,4
3,1998,348,348022,3,0.6
3,1998,348,348023,204,40.3
3,1998,356,356001,653,39.6
3,1998,356,356003,129,7.8
3,1998,356,356004,18,1.1
3,1998,356,356005,113,6.9
3,1998,356,356006,62,3.8
3,1998,356,356014,16,1
3,1998,356,356017,61,3.7
3,1998,356,356018,21,1.3
3,1998,356,356021,1,0.1
3,1998,356,356030,2,0.1
3,1998,356,356037,31,1.9
3,1998,356,356038,4,0.2
3,1998,356,356047,2,0.1
3,1998,356,356052,1,0.1
3,1998,356,356054,2,0.1
3,1998,356,356055,4,0.2
3,1998,356,356060,3,0.2
3,1998,356,356063,16,1
3,1998,356,356068,471,28.6
3,1998,356,356071,37,2.2
3,1998,392,392001,240,53.5
3,1998,392,392004,25,5.6
3,1998,392,392010,120,26.7
3,1998,392,392011,44,9.8
