id,id_duplicate,ignore,country,name_short,name,name_english,name_source
818101,,0,EGY,,,Al Nour Party,EG: Al Nour Party
818102,,0,EGY,,,Any party except those,EG: Any party except those
818103,,0,EGY,,,Arab Democratic Nasserist Party,EG: Arab Democratic Nasserist Party
818104,,0,EGY,,,Boycott,EG: Boycott
818105,,0,EGY,,,Building and Development Party,EG: Building and Development Party
818106,,0,EGY,,,Center Party,EG: Center Party
818107,,0,EGY,,,Constitution Party,EG: Constitution Party
818108,,0,EGY,,,Democratic Front Party,EG: Democratic Front Party
818109,,0,EGY,,,Dignity Party,EG: Dignity Party
818123,,0,EGY,,,Egypt 2000 Party,EG: Egypt 2000 Party
818124,,0,EGY,,,Egypt Unity Democratic Party,EG: Egypt Unity Democratic Party
818125,,0,EGY,,,Egypt Youth Party,EG: Egypt Youth Party
818126,,0,EGY,,,Egyptian Current Party,EG: Egyptian Current Party
818127,,0,EGY,,,Egyptian Social Democratic Party,EG: Egyptian Social Democratic Party
818128,,0,EGY,,,Free Egyptians Party,EG: Free Egyptians Party
818129,,0,EGY,,,Free Republican Party,EG: Free Republican Party
818130,,0,EGY,,,Free Social Constitutional Party,EG: Free Social Constitutional Party
818131,,0,EGY,,,Freedom and Justice Party,EG: Freedom and Justice Party
818132,,0,EGY,,,Freedom Egypt Party,EG: Freedom Egypt Party
818133,,0,EGY,,,Ghad El-Thawra Party,EG: Ghad El-Thawra Party
818140,,0,EGY,,,Justice Party,EG: Justice Party[6]
818141,,0,EGY,,,Liberal Egyptian Party,EG: Liberal Egyptian Party
818142,,0,EGY,,,Liberal Party,EG: Liberal Party
818143,,0,EGY,,,National Conciliation Party,EG: National Conciliation Party
818144,,0,EGY,,,New Wafd Party,EG: New Wafd Party
818145,,1,EGY,,,No decision for any party in Egypt,EG: No decision for any party in Egypt
818146,,1,EGY,,,No party in Egypt good to stand for election,EG: No party in Egypt good to stand for election
818147,,1,EGY,,,None should know first each program & think what is good for the country,EG: None should know first each program & think what is good for the country
818148,,1,EGY,,,Others Specify,EG: Others Specify
818149,,0,EGY,,,Party of Liberation,EG: Party of Liberation
818150,,0,EGY,,,Popular Socialist Alliance Party,EG: Popular Socialist Alliance Party
818151,,0,EGY,,,Social Justice Party,EG: Social Justice Party
818152,,0,EGY,,,Socialist Party of Egypt,EG: Socialist Party of Egypt
818153,,0,EGY,,,The Nation's Party (Egypt,EG: The Nation's Party (Egypt)
818154,,0,EGY,,,The People's Democratic Party,EG: The People's Democratic Party
818155,,0,EGY,,,Tomorrow Party,EG: Tomorrow Party
818156,,1,EGY,,,When at home tell me to vote I will vote but not to any party I will vote to a person,EG: When at home tell me to vote I will vote but not to any party I will vote to a person
818157,,1,EGY,,,Will not go to the election,EG: Will not go to the election
818158,,1,EGY,,,Will not vote for a party I will vote for a person,EG: Will not vote for a party I will vote for a person
818159,,0,EGY,,,Workers Democratic Party,EG: Workers Democratic Party
826001,,0,GBR,,,Conservative,GB: Conservative
826002,,0,GBR,,,Labour,GB: Labour
826003,,0,GBR,,,Liberal Democrat,GB: Liberal Democrat
826004,,0,GBR,,,Social Democrat,GB: Social Democrat
826005,,0,GBR,,,Plaid Cymru,GB: Plaid Cymru
826006,,0,GBR,,,Scottish / Welsh National Party,GB: Scottish/Welsh National Party
826007,,0,GBR,,,Referendum Party,GB: Referendum Party
826008,,0,GBR,UK,,UK Independence Party,GB: UK Independence Party
826009,,0,GBR,,,Green Party,GB: Green Party
826010,,0,GBR,,,Nationalist,GB: Nationalist
826011,,0,GBR,,,Communist Party,GB: Communist Party
826012,,0,GBR,,,Liberal,GB: Liberal
826014,,1,GBR,,,unknown,GB: unknown
826015,,0,GBR,SNP,,Scottish National Party ,GB - Scottish National Party SNP
826016,,1,GBR,,,Other,GB - Other
834001,,0,TZA,UDP,,United Democratic Party,TZ: United Democratic Party (UDP)
834002,,0,TZA,NCCR,Mageuzi,Party for National Reconstruction,TZ: NCCR – Mageuzi (Party for National Reconstruction)
834003,,0,TZA,,,Tanzania Labour Party,TZ: Tanzania Labour Party
834004,,0,TZA,,,Chama Cha Mapinduzi,TZ: Chama Cha Mapinduzi (now ruling)
834005,,0,TZA,CHADEMA,Chama cha Demokrasia na Maendeleo,,TZ: Chama cha Demokrasia na Maendeleo (CHADEMA)
834006,,0,TZA,CUF,,Civic United Front,TZ: Civic United Front (CUF)
834007,,1,TZA,,,Other parties not listed here,TZ: Other parties not listed here
834008,,0,TZA,,,Popular Christian Democratic Party,TZ: Popular Christian Democratic Party
834009,,0,TZA,,,Social -- Liberal Party,TZ: Social - Liberal Party
834010,,0,TZA,,,Communist Party of Moldavia,TZ: Communist Party of Moldavia
834011,,0,TZA,,,Social Liberal Union ´Force of Moldova´,TZ: Social Liberal Union ´Force of Moldova´
834012,,0,TZA,,,Reconciliation and Conciliation Party of Moldova,TZ: Reconciliation and Conciliation Party of Moldova
834013,,0,TZA,,,Democratic Party of Moldavia,TZ: Democratic Party of Moldavia
834014,,0,TZA,,,Social political movement ´Native Region´,TZ: Social political movement ´Native Region´
834015,,0,TZA,,,Democratic Forces Party,TZ: Democratic Forces Party
834016,,0,TZA,,,Democratic Agrarian Party of Moldavia,TZ: Democratic Agrarian Party of Moldavia
