country,name_english,name,ees,ches,ess
AT,The Greens,Die Grünen – Die grüne Alternative,1040110,1304,5
AT,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs (SPÖ),1040320,1301,1
AT,Austrian Freedom Party,Freiheitliche Partei Österreichs (FPÖ),1040420,1303,3
AT,NEOS - The New Austria and Lib,NEOS - Das Neue Österreich,1040423,1309,7
AT,Austrian People's Party,Österreichische Volkspartei (ÖVP),1040520,1302,2
AT,Alliance for the Future of Aus,Bündnis Zukunft Österreich (BZÖ),1040600,1307,4
BE,Ecologists,Ecolo,1056111,104,10
BE,Francophone Socialist Party,PS (Parti Socialiste),1056322,102,13
BE,Workers Party of Belgium  (PVD,PTB-go! (Parti du Travail de Belgique),1056325,,14
BE,Socialist Party Different,sp.a (Socialistische Partij – Anders),1056327,103,5
BE,Workers Party of Belgium (PTB-,PVDA+ | PTB-go! (Partij van de Arbeid – Parti du Travail de Belgique),1056335,,6
BE,Open Flemish Liberals and Demo,Open VLD (Vlaamse Liberalen en Democraten),1056421,107,8
BE,Reform Movement,MR (Mouvement Réformateur),1056427,106,12
BE,Christian Democratic and Flemi,CD&V (Christen-Democratisch en Vlaams),1056521,109,2
BE,Humanist Democratic Centre,cdH (Centre Démocrate Humaniste),1056522,108,9
BE,People's Party,Parti populaire (PP),1056601,120,15
BE,Flemish Interest,Vlaams Belang (VB),1056711,112,7
BE,New Flemish Alliance,N-VA (Nieuw-Vlaamse Alliantie),1056913,110,3
BG,Union of Democratic Forces,СДС,1100001,2002,
BG,Coalition for Bulgaria,Коалиция за България (БСП и коалиция),1100300,2003,
BG, National Movement for Stability and Progress,НДСВ (Национално движение за стабилност и възход),1100400,,
BG,Citizens for European Developm,ГЕРБ (Граждани за европейско развитие на България),1100600,2010,
BG,Attack,Партия Атака,1100700,2007,
BG,Movement for Rights and Freedo,Коалиция за България (БСП и коалиция),1100900,2004,
HR,Coalition SDP + HNS + HSU + SD,Hrvatska stranka umirovljenika (HSU) + Samostalna demokratska srpska stranka (SDSS) + Istarski demokratski sabor (IDS),1191002,3102,
HR,Croatian Labouristi - Labour P,Hrvatski laburisti - Stranka rada (HL-SR),1191330,3112,
HR,Croatian Social-Liberal Party,Hrvatsko socijalno-liberalna stranka,1191410,3104,
HR,Croation Democratic Union,Hrvatska demokratska zajednica (HDZ),1191511,3101,
