country,name_english,name,ees,ches,ess,country_iso3
NL,Green Left,GroenLinks,1528110,1005,8,NLD
NL,Socialist Party,Socialistische Partij (SP),1528220,1014,4,NLD
NL,Labour Party,Partij van de Arbeid (PvdA),1528320,1002,2,NLD
NL,Democrats '66,Democraten 66 (D66),1528330,1004,6,NLD
NL,People's Party for Freedom and,Volkspartij voor Vrijheid en Democratie (VVD),1528420,1003,1,NLD
NL,Christian Democratic Appeal,Christen-Democratisch Appèl (CDA),1528521,1001,5,NLD
NL,Christian Union,ChristenUnie,1528526,1016,7,NLD
NL,Party of Freedom,Partij voor de Vrijheid (PVV),1528600,1017,3,NLD
NL,Party for the Animals,Partij voor de Dieren (PvdD),1528951,1018,10,NLD
PL,Congress of the New Right,Nowa Prawica,1616001,2614,1,POL
PL,Coalition of the Democratic Le,Sojusz Lewicy Demokratycznej,1616210,2601,8,POL
PL,Civic Platform,Platforma Obywatelska,1616435,2603,2,POL
PL,Law and Justice,Prawo i Sprawiedliwość,1616436,2605,6,POL
PL,Polish Peasants' Party,Polskie Stronnictwo Ludowe,1616811,2606,5,POL
PT,Left Bloc,Bloco de Esquerda (BE),1620211,1208,,PRT
PT,Unified Democratic Coalition,Coligação Democrática Unitária (CDU) or (PCP/PEV),1620229,1201,,PRT
PT,Socialist Party,Partido Socialista (PS),1620311,1205,,PRT
PT,Social Democratic Party,Partido Social Democrata (PSD),1620313,1206,,PRT
PT,Coalition PSD (1620313) + CDS-,Centro Democrático Social/Partido Popular) (Coal. (PSD + CDS-PP)),1620314,,,PRT
PT,Social Democratic Center-Popul,Centro Democrático e Social - Partido Popular (CDS-PP),1620520,1202,,PRT
RO,Greater Romania Party,Partidul România Mare (PRM),1642700,,,ROU
RO,Hungarian Democratic Alliance,Uniunea Democrată Maghiară din România (UDMR),1642900,2706,,ROU
RO,People's Party - Dan Diancones,Partidul Poporului - Dan Diaconescu (PPDD),1642981,2710,,ROU
SK,Communist Party of Slovakia,Komunistická strana Slovenska,1703222,,,SVK
SK,Direction,Smer–sociálna demokracia (Smer-SD),1703423,2803,,SVK
SK,Freedom and Solidarity,Sloboda a Solidarita (SaS),1703440,2812,,SVK
SK,Christian Democratic Movement,Kresťanskodemokratické hnutie (KDH),1703521,2805,,SVK
SK,Democratic Party,Slovenská demokratická a kresťanská únia – Demokratická strana (SDKÚ–DS),1703523,2802,,SVK
SK,Ordinary People and Independen,Obyčajní Ľudia a nezávislé osobnosti (OĽaNO,1703620,2814,,SVK
SK,Slovakian National Party,Slovenská národná strana (SNS),1703710,2809,,SVK
SK,Party of the Hungarian Communi,Strana mad'arskej koalície - Magyar Koalíció Pártja (SMK–MKP),1703954,2804,,SVK
SK,Bridge,Most–Híd,1703955,2813,,SVK
SI,Slovenian Democratic Party,Slovenska demokratska stranka (SDS),1705320,2902,6,SVN
SI,Social Democratic Party,Socialni demokrati (SD),1705323,2903,5,SVN
SI,Zares - Social Liberals,Zares - socialno liberalni (Zares),1705324,,,SVN
SI,Positive Slovenia,Pozitivna Slovenija (PS),1705340,2914,4,SVN
SI,Liberal Democracy of Slovenia,Liberalna demokracija Slovenije (LDS),1705421,,,SVN
SI,Civic List,Državljanska lista (DL),1705450,,2,SVN
SI,Slovenian People's Party,Slovenska ljudska stranka (SLS),1705521,2904,7,SVN
SI,New Slovene Christian People's,Nova Slovenija (NSI),1705522,2905,3,SVN
SI,Slovene National Party,Slovenska Nacionalna Stranka (SNS),1705710,,,SVN
SI,Democratic Party of Pensioners,Demokraticna stranka upokojencev Slovenije (DESUS),1705951,2906,1,SVN
SI,Youth Party - European Greens,SMS - Zeleni,1705952,,,SVN
ES,Convergence and Union,CiU - Convergència i Unió,1724007,505,,ESP
ES,"Union, Progress and Democracy",UPyD - Unión Progreso y Democracia,1724010,523,,ESP
ES,Spanish Socialist Workers' Par,PSOE - Partido Socialista Obrero Español,1724320,501,,ESP
ES,Citizens - Party of the Citize,Ciudadanos – Partido de la Ciudadanía,1724410,526,,ESP
ES,Popular Party,PP - Partido Popular,1724610,502,,ESP
ES,Basque Nationalist Party,EAJ-PNV - Partido Nacionalista Vasco- Euzko Alderdi Jeltzalea,1724902,506,,ESP
ES,Catalan Republican Left,ERC - Esquerra Republicana de Catalunya,1724905,511,,ESP
ES,Canarian Coalition,CC - Coalición Canaria,1724907,517,,ESP
ES,Galician Nationalist Bloc,BNG - Bloque Nacionalista Galego,1724908,513,,ESP
SE,Pirate Party,Piratpartiet (PP),1752000,1611,9,SWE
SE,Green Ecology Party,Miljöpartiet de Gröna (MP),1752110,1607,4,SWE
SE,Left Party,Vänsterpartiet (VP),1752220,1601,7,SWE
SE,Social Democratic Labour Party,Socialdemokratiska arbetarpartiet (SP),1752320,1602,6,SWE
SE,Liberal People's Party,Folkpartiet liberalerna (FP),1752420,1604,2,SWE
SE,Christian Democrats,Kristdemokraterna (KD),1752520,1606,3,SWE
SE,Moderate Coalition Party,Moderata samlingspartiet (M),1752620,1605,5,SWE
SE,Sweden Democrats,Sverigedemokraterna (SD),1752700,1610,10,SWE
SE,Centre Party,Centerpartiet [C],1752810,1603,1,SWE
SE,Feminist Initiative,Feministiskt initiativ (FI),1752953,1612,8,SWE
UK,Green Party,Green Party (GP),1826110,1107,,GBR
UK,Sinn Fein,Sinn Féin (SF),1826210,,,GBR
UK,Labour Party,Labour Party (Lab),1826320,1102,,GBR
UK,Liberal Democrats,Liberal Democrats (LD),1826421,1104,,GBR
UK,Conservative Party,Conservative (Con),1826620,1101,,GBR
UK,British National Party,The British National Party (BNP),1826720,,,GBR
UK,Social Democratic & Labour Par,Social Democratic & Labour Party (SDLP),1826724,,,GBR
UK,Party of Wales,Plaid Cymru (Plaid),1826901,1106,,GBR
UK,Scottish National Party,Scottish National Party (SNP),1826902,1105,,GBR
UK,Democratic Unionist Party,Democratic Unionist Party (DUP),1826903,,,GBR
UK,United Kingdom Independence Pa,United Kingdom Independence Party (UKIP),1826951,1108,,GBR
