statename,party,chisols_first
Venezuela,"MVR, PSUV","1999 Chavez (MVR, PSUV)"
Venezuela,Non-party,1993 Velasquez (Non-party)
Vietnam,DCSV,1986 Truong Chinh (DCSV)
Vietnam,"DLDV, DCSV","1969 Le Duan (DLDV, DCSV)"
Yemen Arab Republic,al-Ahrar,1948 Ibn Ahmed Alwazir (al-Ahrar)
Yemen Arab Republic,al-Qasimi Dynasty,1948 Ibn Yahya Hamid (al-Qasimi Dynasty)
Yemen Arab Republic,Mil,1962 Al-Sallal (Mil)
Yemen People's Republic,HIY,1978 Ali Nassir Hassani (HIY)
Yemen People's Republic,NLF,1967 Al-Shaabi (NLF)
Yemen People's Republic,"NLF, UPONF","1969 Ali Rubayyi (NLF, UPONF)"
Yugoslavia,DPS,2003 Marovic (DPS)
Yugoslavia,DS,2006 Tadic (DS)
Yugoslavia,DSS,2000 Kostunica (DSS)
Yugoslavia,House of Karadjordjevic,1934 Prince Paul (House of Karadjordjevic)
Yugoslavia,mil,1941 Peter II (mil)
Yugoslavia,SKJ,1945 Tito (SKJ)
Yugoslavia,"SKS, SPS","1989 Milosevic (SKS, SPS)"
Zambia,MMD,1991 Chiluba (MMD)
Zambia,"ZANC, UNIP","1964 Kaunda (ZANC, UNIP)"
Zimbabwe,RF,1965 Smith (RF)
Zimbabwe,UANC,1979 Muzorewa (UANC)
Zimbabwe,ZANU-PF,1980 Mugabe (ZANU-PF)
