statename,affiliation,first,last
Mongolia,MAKN,1921,2008
Mongolia,MUAN,1994,1997
Montenegro,DPSC,2006,2008
Montenegro,PSC,2006,2006
Montenegro,SDP,2006,2008
Morocco,Alaoui dynasty,1956,2008
Mozambique,FRELIMO,1975,2008
Myanmar,AFPFL,1948,1958
Myanmar,Mil,1958,2008
Myanmar,PSPB,1962,1988
Myanmar,UnP,1960,1962
Namibia,SWAPO,1990,2008
Nepal,CPN-M,2008,2008
Nepal,CPN-UML,1994,1995
Nepal,NCP,1990,2008
Nepal,NSP,1995,1999
Nepal,NWPP,1997,1997
Nepal,Rana Dynasty,1920,1951
Nepal,RPP,1995,1998
Nepal,Shah Dynasty,1951,2006
Nepal,UML,1997,1999
Netherlands,AB,1919,1926
Netherlands,ARP,1919,1977
Netherlands,CDA,1977,2008
Netherlands,CHU,1919,2008
Netherlands,D'66,2004,2006
Netherlands,D66,1973,2002
Netherlands,DS70,1971,1972
Netherlands,KVP,1945,1977
Netherlands,LPF,2002,2003
Netherlands,PPR,1973,1977
Netherlands,PvdA,1945,2008
Netherlands,RKSP,1926,1940
Netherlands,SDAP,1940,1940
Netherlands,VB,1933,1937
Netherlands,VDB,1933,1946
Netherlands,VVD,1948,2007
New Zealand,All,1999,2002
New Zealand,Lab,1935,2008
New Zealand,Nat,2008,2008
New Zealand,NP,1949,1999
New Zealand,NZF,1997,1998
New Zealand,PP,2003,2008
New Zealand,Ref,1920,1935
New Zealand,Uni,1928,1935
Nicaragua,APRE,2005,2007
Nicaragua,FSLN,1979,2008
Nicaragua,Mil,1936,1956
Nicaragua,PC,1919,1929
Nicaragua,PL,1929,1936
Nicaragua,PLC,1997,2004
Nicaragua,PLN,1936,1979
Nicaragua,PN,1921,1923
Nicaragua,UNO,1990,1997
Niger,CDS,1993,1996
Niger,Mil,1974,1999
Niger,MNSD,1990,2008
Niger,PPN,1960,1974
Nigeria,Mil,1966,1999
Nigeria,NCNC,1960,1966
Nigeria,NNDP,1965,1966
Nigeria,Non-party,1993,1993
Nigeria,NPC,1960,1966
Nigeria,NPN,1979,1983
Nigeria,PDP,1999,2008
North Korea,CND,1948,2008
Norway,AP,1945,2008
Norway,Bp,1931,1933
Norway,CON,1963,2005
Norway,CP,1963,2008
Norway,CPP,1963,2005
Norway,DNA,1928,1940
Norway,FV,1920,1928
Norway,H,1920,1928
Norway,LIB,1963,2005
Norway,NS,1940,1945
Norway,SV,2005,2008
Norway,V,1919,1935
Oman,Al-Sa'id Dynasty,1971,2008
Pakistan,AL,1956,1957
Pakistan,ANP,1993,1996
Pakistan,Diss-krisScram,1957,1958
Pakistan,IJI,1990,1990
Pakistan,KrisSram,1957,1957
Pakistan,Mil,1958,2008
Pakistan,ML,1947,1957
Pakistan,MQM,1988,1990
Pakistan,N-i-Islam,1957,1957
Pakistan,Non-party,1996,1997
Pakistan,Non-Party,1993,1993
Pakistan,PML-J,1993,1996
Pakistan,PML-N,1991,1999
Pakistan,PML-Q,2008,2008
Pakistan,PPP,1971,2008
Pakistan,RP,1956,1958
Pakistan,UF,1955,1956
Panama,AC,1931,1931
Panama,CNP,1952,1960
Panama,Mil,1968,1990
Panama,Non-party,1941,1945
Panama,PA,1990,2004
Panama,PL,1919,1949
Panama,PLD,1932,1936
Panama,PLN,1949,1968
Panama,PNR,1936,1941
Panama,PP,1968,1968
Panama,PPA,1990,1994
Panama,PRA,1949,1952
Panama,PRD,1978,2008
Papua New Guinea,NAP,2002,2008
Papua New Guinea,PDM,1985,2002
Papua New Guinea,PGU,1975,1992
Papua New Guinea,PNC,1997,1999
Papua New Guinea,PPP,1980,1997
Paraguay,ANR-PC,1948,2008
Paraguay,APC,2008,2008
Paraguay,Mil,1940,1993
Paraguay,Non-party,1948,1948
Paraguay,PDC,2008,2008
Paraguay,PL,1919,1940
Paraguay,PRF,1936,1937
Peru,AP,1963,2001
Peru,APRA,1985,2008
Peru,CC,1939,1945
Peru,FDN,1945,1948
Peru,MDP,1956,1962
Peru,Mil,1930,1980
Peru,NM-C'90,1990,2000
Peru,PC,1919,1919
Peru,PDR,1919,1930
Peru,PP,2001,2006
Peru,PR,1950,1956
Peru,UR,1931,1933
Philippines,KBL,1978,1986
Philippines,LEN-NUCD,1992,1998
Philippines,LEN-UCD-UMDP,2001,2008
Philippines,LMP,1998,2001
Philippines,PL,1946,1965
Philippines,PN,1953,1977
Philippines,UNIDO,1986,1992
Poland,Mil,1919,1939
Poland,Non-party,1922,1926
Poland,PiS,2005,2008
Poland,PPR,1945,1947
Poland,PZPR,1948,1990
Poland,SdRP,1995,1999
Poland,SLD,2000,2005
Poland,Soldr,1990,1995
Portugal,MFA,1974,1976
Portugal,Mil,1919,1976
Portugal,PD,1923,1926
Portugal,PRD,1976,1986
Portugal,PRE,1919,1923
Portugal,PS,1986,2006
Portugal,PSD,2006,2008
Portugal,UN,1931,1974
Qatar,Al-Thani Dynasty,1971,2008
Republic of Vietnam,CL+NRM,1954,1963
Republic of Vietnam,DVP,1954,1954
Republic of Vietnam,Mil,1963,1975
Republic of Vietnam,Non-party,1954,1954
Romania,ADP,1991,1992
Romania,CDR,1997,2000
Romania,FSN,1989,1992
Romania,FSND,1992,1994
Romania,House of Hohenzollern-Sigmaringen,1919,1940
Romania,Mil,1940,1944
Romania,NLP,1991,1992
Romania,Non-party,1944,2000
Romania,PCR,1947,1989
Romania,PD,2004,2008
Romania,PDSR,2000,2000
Romania,PSD,2001,2007
Romania,PUNR,1995,1996
Romania,REM,1991,1992
Romania,SDPR,1995,1996
Romania,UDMR,1997,2000
Romania,USD,1997,2000
Russia,AUCP,1926,1952
Russia,CPSU,1953,1991
Russia,Non-party,1991,2008
Russia,RCP,1919,1925
Rwanda,FPR,1994,2008
Rwanda,MDR-PARMEH,1962,1973
Rwanda,Mil,1973,1975
Rwanda,MRND,1976,1994
Rwanda,MRNDD,1994,1994
Saudi Arabia,Saudi Dynasty,1927,2008
Senegal,PDS,2000,2008
Senegal,PSS,1977,2000
Senegal,UPS,1960,1976
Sierra Leone,APC,1968,2008
Sierra Leone,Mil,1967,1998
Sierra Leone,SLPP,1961,2007
Singapore,PAP,1965,2008
Slovakia,AD,1994,1994
Slovakia,ANO,2003,2006
Slovakia,APR,1994,1994
Slovakia,HZDS,1993,1998
Slovakia,KDH,1994,2006
Slovakia,LZ-HZDS,2006,2008
Slovakia,NDK,1994,1994
Slovakia,SDK,1998,2000
Slovakia,SDKU,2001,2006
Slovakia,SDL,1994,1994
Slovakia,SMER,2006,2008
Slovakia,SMK,2003,2006
Slovakia,SNS,1993,2008
Slovakia,ZRS,1994,1998
Slovenia,DeSUS,1998,2008
Slovenia,LDS,1992,2008
Slovenia,NS-KLS,2005,2008
Slovenia,SDS,1992,2008
Slovenia,SDSS,1994,1994
Slovenia,SKD,1994,1997
Slovenia,SKD-DEMOS,1992,1992
Slovenia,SLS,1998,2008
Slovenia,SLS-SKD,2000,2004
Slovenia,Zares,2008,2008
Slovenia,ZLSD,1992,2008
Slovenia,ZS,1992,1994
Solomon Islands,AIM,2006,2006
Solomon Islands,GNUR,1994,1997
Solomon Islands,NCP,1993,1994
Solomon Islands,NFP,1986,1989
Solomon Islands,Non-party,1991,1994
Solomon Islands,PAP,1981,2006
Solomon Islands,PPP,2000,2001
Solomon Islands,SAS,1984,1985
Solomon Islands,SIAC,2007,2008
Solomon Islands,SILP,2007,2008
Solomon Islands,SILP-SIAC,1997,2000
Solomon Islands,SISCP,2006,2007
Solomon Islands,SIUPA,1978,1989
Somalia,Mil,1969,1976
Somalia,SRSP,1977,1991
Somalia,SYL,1960,1969
South Africa,ANC,1994,2008
South Africa,AP,1948,1953
South Africa,Labour,1924,1929
South Africa,NP,1924,1994
South Africa,SAP,1920,1934
South Africa,UP,1935,1948
South Korea,DJP,1988,1989
South Korea,DP,1960,1961
South Korea,HD,2008,2008
South Korea,LP,1949,1960
South Korea,MDD,1990,1994
South Korea,Mil,1961,1988
South Korea,SHD,1995,1998
South Korea,SJKH,1998,2000
South Korea,SMD,2001,2003
South Korea,UD,2004,2008
Spain,ACR,1931,1931
Spain,Ag,1934,1935
Spain,AR,1933,1933
Spain,CEDA,1934,1935
Spain,CNT,1937,1939
Spain,CNT-FAT,1937,1937
Spain,Dem,1919,1922
Spain,ER,1932,1939
Spain,FET,1939,1976
Spain,FR,1933,1933
Spain,IR,1936,1939
Spain,IRS,1933,1933
Spain,ISR,1933,1933
Spain,Lib,1919,1922
Spain,Mil,1923,1975
Spain,Non-party,1930,1975
Spain,ORGA,1931,1933
Spain,PC,1919,1939
Spain,PL,1919,1923
Spain,PLD,1934,1936
Spain,PNV,1936,1938
Spain,PP,1996,2004
Spain,PRC,1931,1931
Spain,PRP,1933,1934
Spain,PRR,1931,1936
Spain,PRS,1931,1933
Spain,PSOE,1931,2008
Spain,RA,1931,1933
Spain,Rad.Dis,1936,1936
Spain,RSR,1933,1933
Spain,UCD,1976,1982
Spain,UR,1936,1938
Sri Lanka,CP,1970,1977
Sri Lanka,FP,1965,1968
Sri Lanka,LSSP,1965,1975
Sri Lanka,MEP,1965,1970
Sri Lanka,MEP-SLFP,1956,1959
Sri Lanka,SLFP,1959,1977
Sri Lanka,SLFP-PA,1994,2005
Sri Lanka,SLFP-UPFA,2005,2008
Sri Lanka,SLFSP,1965,1970
Sri Lanka,TC,1953,1956
Sri Lanka,UNP,1948,1994
Sudan,DUP,1968,1989
Sudan,four Southern parties,1986,1988
Sudan,Mil,1958,1996
Sudan,NIF,1989,1989
Sudan,NUP,1956,1967
Sudan,PDP,1956,1967
Sudan,SNC,1997,2008
Sudan,Southern parties,1989,1989
Sudan,SSU,1969,1985
Sudan,trade unions,1989,1989
Sudan,Umma,1956,1989
Sudan,UNF,1964,1965
Swaziland,Nkosi-Dlamini dynasty,1968,2008
Sweden,BF,1936,1945
Sweden,BF-CP,1952,1957
Sweden,C,2006,2008
Sweden,CP,1976,1994
Sweden,FF,1926,1932
Sweden,FP,1940,2008
Sweden,KD,2006,2008
Sweden,KDS,1991,1994
Sweden,LS,1919,1920
Sweden,M,2006,2008
Sweden,MUP,1976,1994
Sweden,Non-party,1920,1921
Sweden,NP,1923,1945
Sweden,SAP,1919,1936
Sweden,SDA,1936,2006
Switzerland,CVP,1919,2008
Switzerland,FDP,1919,2008
Switzerland,LP,1919,1920
Switzerland,SP,1944,2008
Switzerland,SVP,1930,2007
Syria,Baath,1963,1972
Syria,HS,1961,1963
Syria,KW,1946,1955
Syria,Mil,1949,1972
Syria,Non-party,1961,1961
Syria,NPF,1973,2008
Syria,SNP,1948,1958
Syria,SSNP,1949,1949
Taiwan,KMT,1949,2008
Taiwan,MCT,2000,2008
Tajikistan,HDKT,1999,2008
Tajikistan,KPT,1991,1992
Tajikistan,Kulobi,1992,1998
Tanzania,CCM,1978,2008
Tanzania,TANU,1961,1977
Thailand, RuamjaithaiChartpattana,2008,2008
Thailand,Bhumjaithai,2008,2008
Thailand,CF,1946,1947
Thailand,Chakri dynasty,1919,1932
Thailand,Chart Pattana,1997,1997
Thailand,Chart Thai,2008,2008
Thailand,CP,1995,2005
Thailand,CPP,1999,2003
Thailand,CT,1988,2004
Thailand,CTP,2008,2008
Thailand,KR,1944,1946
Thailand,MCP,1995,1997
Thailand,Mil,1933,2008
Thailand,NAP,1992,2002
Thailand,NDP,2008,2008
Thailand,Non-party,1973,1977
Thailand,Non-Party,1957,2008
Thailand,NT,1995,1996
Thailand,PD,1992,2001
Thailand,PDP,1995,1996
Thailand,PKS,1975,1976
Thailand,PP,1975,2008
Thailand,PPP,2008,2008
Thailand,PT,1997,2001
Thailand,PTP,1995,1997
Thailand,PuePandin,2008,2008
Thailand,RP,1958,1963
Thailand,SAP,1992,1999
Thailand,SC,2008,2008
Thailand,Seritham,1994,2001
Thailand,SM,1947,1957
Thailand,Sol,1992,2001
Thailand,Thai,1997,2001
Thailand,TP,2008,2008
Thailand,TPP,1932,1944
Thailand,TRT,2001,2006
Thailand,TUNDP,2008,2008
Togo,CUT,1960,1963
Togo,Mil,1967,1969
Togo,MPT,1963,1967
Togo,RPT,1970,2008
Trinidad and Tobago,NAR,1986,2001
Trinidad and Tobago,PNM,1962,2008
Trinidad and Tobago,UNC,1995,2001
Tunisia,Husayni dynasty,1956,1957
Tunisia,PND,1957,1964
Tunisia,PSD,1965,1988
Tunisia,RCD,1989,2008
Turkey,AKP,2002,2008
Turkey,AnaP,1983,2002
Turkey,CHP,1923,1996
Turkey,DP,1950,1979
Turkey,DSP,1997,2002
Turkey,DYP,1991,1999
Turkey,IND,1963,1963
Turkey,JP,1961,1980
Turkey,MHP,2000,2002
Turkey,Mil,1922,1983
Turkey,NAP,1975,1978
Turkey,Non-party,1965,1975
Turkey,NP,1965,1965
Turkey,NPT,1963,1963
Turkey,NRP,1971,1973
Turkey,NSP,1974,1978
Turkey,NTP,1965,1965
Turkey,Osmanli Dynasty,1919,1922
Turkey,RP,1996,1997
Turkey,RPNP,1963,1965
Turkey,RRP,1973,1979
Turkey,SHP,1991,1995
Turkmenistan,TCP,1991,1992
Turkmenistan,TDP,1993,2008
Uganda,Mil,1971,1986
Uganda,Non-party,1979,1979
Uganda,NRM,1986,2008
Uganda,UPC,1962,1985
Ukraine,BYNU,2005,2008
Ukraine,Non-party,1991,2005
United Arab Emirates,Al-Nahyan Dynasty,1971,2008
United Kingdom,Con,1919,1997
United Kingdom,Lab,1924,2008
United Kingdom,Lib,1919,1945
United Kingdom,Nlab,1935,1940
United Kingdom,NLab,1932,1935
United States of America,Dem,1919,2001
United States of America,Rep,1921,2008
Uruguay,FA,2005,2008
Uruguay,Mil,1972,1985
Uruguay,PC,1919,2005
Uruguay,PN,1959,1995
Uzbekistan,F,1998,2008
Uzbekistan,non-party,1995,1998
Uzbekistan,PDP,1991,1995
Venezuela,AD,1945,1993
Venezuela,CD,1994,1999
Venezuela,COPEI,1969,1984
Venezuela,Mil,1935,1959
Venezuela,MVR,1999,2006
Venezuela,Non-party,1993,1994
Venezuela,PDV,1941,1945
Venezuela,PLR,1919,1935
Venezuela,PSUV,2007,2008
Vietnam,DCSV,1977,2008
Vietnam,DLDV,1954,1976
Yemen,MSA,1990,2008
Yemen Arab Republic,al-Ahrar,1948,1948
Yemen Arab Republic,al-Qasimi Dynasty,1926,1962
Yemen Arab Republic,Mil,1962,1978
Yemen Arab Republic,MSA,1978,1990
Yemen People's Republic,HIY,1978,1990
Yemen People's Republic,NLF,1967,1975
Yemen People's Republic,UPONF,1976,1978
Yugoslavia,DOS,2000,2003
Yugoslavia,DPS,2003,2006
Yugoslavia,DS,2006,2008
Yugoslavia,DSS,2000,2003
Yugoslavia,House of Karadjordjevic,1919,1941
Yugoslavia,mil,1941,1941
Yugoslavia,SKJ,1945,1989
Yugoslavia,SKS,1989,1989
Yugoslavia,SPS,1990,2000
Yugoslavia,unknown,1944,1945
Zambia,MMD,1991,2008
Zambia,UNIP,1973,1991
Zambia,ZANC,1964,1972
Zimbabwe,RF,1965,1979
Zimbabwe,UANC,1979,1980
Zimbabwe,ZANU-PF,1980,2008
