dataset_party_id,partyfacts_id
COL-anapo,4855
COL-av,5926
COL-cr,561
COL-independent,2642
COL-msn,4853
COL-nl,6062
COL-pcc,1577
COL-plc,362
COL-partidou,759
COL-pvo,3814
COL-pda,218
COM-crc,5297
COM-fnj,6578
COM-independent,4926
COM-mb,6585
COM-s,6586
COM-uwezd,7483
COM-pcdp,6581
COM-pj,5712
COM-po,5710
COM-psn,8421
COM-rnd,6582
COM-rdr,5298
COM-ucp,5296
COM-undc,6579
COM-updc,6517
COG-apc,
COG-fdu,6364
COG-independent,4673
COG-rc,
COG-mar,7994
COG-mcddi,5362
COG-mnr,5363
COG-pct,5365
COG-pur,8401
COG-rdpc,
COG-rdd,8418
COG-rdsp,5589
COG-upads,5364
COG-updp,
COG-up,
CRI-csx,8697
CRI-fa,1252
CRI-independent,2646
CRI-pac,1247
CRI-pln,1367
CRI-pusc,1199
CRI-pun,4422
CRI-uc,5117
CIV-fn,8522
CIV-fpi,5096
CIV-independent,4932
CIV-mfa,7860
CIV-pdcirda,5098
CIV-pit,8801
CIV-rdr,5097
CIV-udcy,4934
CIV-upci,7861
CIV-udpci,5628
HRV-dc,78
HRV-hdz,1431
HRV-hns,799
HRV-hss,72
HRV-hsls,214
HRV-independent,2650
HRV-ids,513
HRV-libra,799
HRV-most,4865
HRV-sdss,2348
HRV-sdp,1475
CUB-pcc,4892
CYP-epalxi,2654
CYP-akel,1076
CYP-diko,635
CYP-disy,563
CYP-ed,321
CYP-ek,834
CYP-independent,2652
CYP-edek,1028
CYP-sym,3117
CZE-ano,2141
CZE-cssd,177
CZE-independent,2655
CZE-ksc,1041
CZE-kducsl,676
CZE-kds,824
CZE-kdh,824
CZE-lidem,1127
CZE-hzds,5549
CZE-oda,1008
CZE-ods,466
CZE-of,1349
CZE-oh,1796
CZE-sz,1554
CZE-top,223
CZE-us,905
CZE-vv,1202
CZE-vpn,6305
DNK-cd,800
DNK-rv,1507
DNK-independent,2658
DNK-kf,536
DNK-krfkd,53
DNK-la,212
DNK-sd,379
DNK-sf,329
DNK-v,1204
DJI-frud,6244
DJI-independent,4938
DJI-rpp,5125
DJI-ump,7543
DOM-independent,2661
DOM-mcn,4187
DOM-pld,1225
DOM-plrdle,4185
DOM-ple,8696
DOM-pqd,4195
DOM-pr,7429
DOM-prsc,194
DOM-prd,1441
DOM-ucn,4188
COD-afdc,
COD-afdl,8416
COD-amp,
COD-ccu,
COD-ect,
COD-independent,4944
COD-mpr,5091
COD-mlc,5089
COD-msr,5598
COD-panu,
COD-pprd,5090
COD-palu,5597
COD-rcd-lm,
COD-udps,5092
ECU-pais,4044
ECU-cfp,4348
ECU-fra,4198
ECU-independent,2665
ECU-id,797
ECU-mp,7725
ECU-mpd,1521
ECU-pa,4199
ECU-pce,4349
ECU-pd,4272
ECU-pre,1450
ECU-psc,950
ECU-pse,885
ECU-psfa,885
ECU-psp,246
ECU-pur,4271
ECU-udcdp,1405
EGY-asu,5153
EGY-fjp,5129
EGY-ndp,2370
EGY-wafd,2303
EGY-independent,2670
EGY-ep,6289
SLV-arena,1709
SLV-cdu,4226
SLV-dc,4227
SLV-ad,6211
SLV-fmln,978
SLV-independent,2674
SLV-pcn,686
SLV-pdc,11
GNQ-cld,3825
GNQ-cpds,3821
GNQ-ipge,6249
GNQ-independent,3391
GNQ-munge,6248
GNQ-monalige,6247
GNQ-pdge,3824
GNQ-psge,8751
GNQ-punt,6367
GNQ-ub,6250
GNQ-uds,3827
GNQ-unf,3394
GNQ-up,6064
ERI-pfdj,4904
EST-ap,2679
EST-ek,533
EST-ekk,1556
EST-ekd,790
EST-eldp,8705
EST-eme,174
EST-era,110
EST-ersp,1299
EST-ere,821
EST-etre,175
EST-irl,685
EST-independent,2567
EST-i,779
EST-emke,533
EST-rki,908
EST-sdem,1150
EST-uverp,491
ETH-copwe,8434
ETH-eprdf,4322
ETH-independent,3575
ETH-wpe,5793
FJI-ap,4891
FJI-fap,4886
FJI-ff,5795
FJI-flp,4887
FJI-independent,4956
FJI-mv,5893
FJI-nlup,8706
FJI-panu,6213
FJI-sdl,4890
FJI-svt,4889
FJI-vlv,7470
FIN-independent,2685
FIN-kok,495
FIN-kd,703
FIN-l,249
FIN-kesk,901
FIN-rkp,1229
FIN-smp,3202
FIN-skdl,1096
FIN-sp p,1689
FIN-ssdp,1303
FIN-tpsl,1164
FIN-uvsin,5859
FIN-vas,1044
FIN-vihr,479
FRA-cd,399
FRA-cdp,288
FRA-cds,3155
FRA-ge,1273
FRA-independent,2688
FRA-larem,5857
FRA-v,1108
FRA-unr,5514
FRA-mr,167
FRA-nc,1255
FRA-pcf,1251
FRA-prg,1783
FRA-pr,14
FRA-rad,14
FRA-ps,1478
FRA-psu,912
FRA-rpr,509
FRA-ri,1246
FRA-udr,8041
FRA-udf,213
FRA-ump,1595
GAB-apsg,6591
GAB-bdg pdg,5200
GAB-independent,4962
GAB-morena,5294
GAB-mrn,
GAB-pgp,5290
GAB-psd,7553
GAB-rnbrpg,5592
GAB-rdpc,
GAB-upg,5591
GAB-usg,6065
GMB-aprc,3716
GMB-independent,3397
GMB-ppp,5084
GEO-lesp,2693
GEO-ep,7091
GEO-enm,2172
GEO-ics,2158
GEO-independent,2691
GEO-gd,2988
GEO-ktk,2169
GEO-slp,2153
GEO-smk,2148
GEO-srket,2165
GEO-srp,4554
GEO-td,5885
DDR-sed,4658
DEU-bgrue,1816
DEU-cdu,1375
DEU-csu,1731
DEU-fdp,573
DEU-independent,2700
DEU-spd,383
GHA-independent,2704
GHA-ndc,2311
GHA-npp,2312
GHA-pnp,4837
GHA-pp,4833
GHA-unc,4839
GRC-pdk,8287
GRC-anel,1651
GRC-independent,2708
GRC-kp,619
GRC-nd,794
GRC-pasok,1468
GRC-syriza,301
GRC-syn,516
GRD-gnp,3861
GRD-gulp,4431
GRD-independent,3409
GRD-ndc,4240
GRD-njm,8384
GRD-nnp,3859
GRD-tnp,3857
GTM-dcg,1322
GTM-fcn,5955
GTM-frg,941
