country,id,accronym,party_name,party_name_english
Italy,3201,PdL,Popolo della libertà,The People of Freedom
Italy,3202,PD,Partito Democratico,Democratic Party
Italy,3203,LN,Lega Nord,Northern League
Italy,3204,PNE,Progetto NordEst,North-East Project
Italy,3205,MPA,Movimento per le Autonomie,Movement for Autonomy
Italy,3206,NS,Noi Sud – Libertà e Autonomia,We the South – Freedom and Autonomy
Italy,3207,SVP,Südtiroler Volkspartei/Partito Popolare Sudtirolese,South Tyrolean People's Party
Italy,3208,UpT,Unione per il Trentino,Union for Trentino
Italy,3209,PATT,Partito Autonomista Trentino Tirolese,Trentino Tyrolean Autonomist Party
Italy,3210,STF,Süd-Tiroler Freiheit/Libertà Sud-Tirolese,South Tyrolean Freedom
Italy,3211,BU,BürgerUnion/Unione per il Sudtirolo,Union for South Tyrol
Italy,3212,UV,Union Valdôtaine,Valdotanian Union
Italy,3213,ALPE,Autonomie Liberté Participation Écologie,"Autonomy, Liberty, Participation, Ecology"
Italy,3214,PSd'Az,Partitu Sardu/Partito Sardo d'Azione,Sardinian Action Party
Italy,3215,UDS,Unione Democratica Sarda – Progetto Nazionalitario,Sardinian Democratic Union
Kosovo,9901,PDK,Partia Demokratike e Kosovës,Democratic Party of Kosovo
Kosovo,9902,LDK,Lidhja Demokratike e Kosovës,Democratic League of Kosovo
Kosovo,9903,VV,Lëvizja Vetëvendosje,Self-Determination Movement
Kosovo,9904,AAK,Aleanca për Ardhmërinë e Kosovës,Alliance for the Future of Kosovo
Kosovo,9905,KKR,Koalicioni për Kosovë të,New Kosovo Coalition
Kosovo,9906,SLS,Samostalna liberalna stranka,Independent Liberal Party
Kosovo,9907,JSL,Jedinstvena srpska lista,Unique Serbian List
Kosovo,9908,SDSKIM,Srpska demokratska stranka Kosova i Metohije,Serb Democratic Party of Kosovo and Metohija
Kosovo,9909,NDS,Nova demokratska stranka,New Democratic Party
Kosovo,9910,BSDAK,Bošnjačka stranka demokratske akcije Kosova,Bosniak Party of Democratic Action of Kosovo
Kosovo,9911,KV,Koalicija Vakat,Vakat Coalition
Kosovo,9912,KDTP,Kosova Demokratik Türk Partisi,Kosovo Turkish Democratic Party
Kosovo,9913,GIG,Građanska inicijativa Goranaca,Civic Initiative of Gorani
Latvia,8701,PS,Pilsoniskā Savienība,Civic Union
Latvia,8702,JL,Jaunais Laikas,New Era Party
Latvia,8703,SCP,Sabiedrība Citai Politikai,Society for Other Politics
Latvia,8704,SDPS,Sociāldemokrātiska Partija 'Saskaņa',Social Democratic Party 'Harmony'
Latvia,8705,LSP,Latvijas Sociālistiskā Partija,Latvian Socialist Party
Latvia,8706,LZS,Centriska Partija - Latvijas Zemnieku Savienība,Centre Party - Latvian Peasants' Union
Latvia,8707,LZP,Latvijas Zaļā Partija,Latvian Green Party
Latvia,8708,VL,Visu Latvijai,All For Latvia
Latvia,8709,TB-LNNK,Tēvzemei un Brīvībai/LNNK,Fatherland and Freedom
Latvia,8710,TP,Tautas Partija,People's Party
